Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,3048.87589548709 + (133.00918377000977 - ((133.00918377000977)^(X_0)))(((2)(X_7) - (X_4))^(X_3)) - ((898.7144981889139)^(X_0) + X_7),18,223870.16632629978,231343.4315018662,223870.16632629978,231343.4315018662,0.5829142163666801,0.5568719514373787
1,2969.8960384613188 + X_6 + (-0.004076187029069456)((-104225.17350906781 + X_3 - (X_4))((X_7)((sqrt(X_4 + (exp(X_0))^(6.722656622108012)))^(-1)))) - (X_4 + (exp(X_0))^(6.722656622108012)),23,231876.48609810972,236176.0622550081,231876.48609810972,236176.0622550081,0.5679978824449144,0.547615262275464
2,3084.0938148031073 + (125.76498281841174)(((X_3)^(X_3))((X_7)((X_4 + (exp(X_0))^(6.8337613926407235))^(-1)))) - (X_0 + X_4 + (exp(X_0))^(6.8337613926407235) + sqrt(X_1)),23,223039.559120485,232909.78232568668,223039.559120485,232909.78232568668,0.5844616957071107,0.5538716761349074
3,3141.2567381841072 + (2669245252.552972)((16421440.700963896 + (-19112674.81626162)(X_0) + (2)(X_3) + (2)(X_7) - (X_4))^(-1)),20,244880.08929071183,244332.59372962415,244880.08929071183,244332.59372962415,0.5437712598598485,0.531991789190787
4,883.7110755162971 + (47104803260.4284)((17359377.364549357 + (17359377.364549357)(X_0) + (4807711.693679895)((exp(X_7))^(-1)) - (X_4 + X_7))^(-1)),19,235691.86272949498,238881.2521459371,235691.86272949498,238881.2521459371,0.5608895688260371,0.5424335914167907
5,3063.983831832948 + (222.75121806685232)((X_3)(((X_7)(X_7) - (X_0))((sqrt(X_4 + (exp(X_0))^(6.815216423696649)))^(-1)))) - (X_4 + (exp(X_0))^(6.815216423696649)),20,227051.08910134842,233308.36230897647,227051.08910134842,233308.36230897647,0.5769879346736808,0.5531082139132022
6,3117.3773525132005 + X_1 + (43.51989006904142 - ((43.51989006904142 + X_0)^(X_0)))((2)(((X_3)(X_3))(X_7)) - (X_4)) - ((986.9632070729635)^(X_0) + X_6 + X_8),25,229875.09736013855,237396.63923672,229875.09736013855,237396.63923672,0.5717266096970974,0.5452773013810693
7,3063.8664806935544 + (222.85429493951307)((X_3)((sqrt(X_7))((sqrt(X_4 + (exp(X_0))^(6.824145255303844)))^(-1)))) - (X_0 + X_4 + (exp(X_0))^(6.824145255303844)),20,227033.06326999582,233236.88847896704,227033.06326999582,233236.88847896704,0.5770215180587237,0.5532451188540934
8,3084.0938466250686 + (125.76496814303226)(((X_3)^(X_3))((X_7)((X_4 + (exp(X_0))^(6.8348374046788605))^(-1)))) - (X_4 + (exp(X_0))^(6.8348374046788605) + sqrt(X_1)),22,223039.56253689172,232909.7917448739,223039.56253689172,232909.7917448739,0.584461689342106,0.5538716580928733
9,3063.8665807534107 + (222.85421890134586)((X_3)((X_7)((sqrt(X_4 + (exp(X_0))^(6.825227996559352)))^(-1)))) - (X_4 + (exp(X_0))^(6.825227996559352)),18,227033.0811496289,233237.00904265512,227033.0811496289,233237.00904265512,0.5770214847477162,0.5532448879197139
10,2152.095289774452 + (-11326.390841049531)((-14.24338480683408 + (-2)(X_0) + (-2893271.634932778)(X_0) + (2)(X_3) + (2)(X_7) - (X_4))^(-1)),23,227342.08831509537,232749.01085415203,227342.08831509537,232749.01085415203,0.5764457827778118,0.5541796267345125
11,3071.6278859345566 + (131.92321812279494 - ((X_0)(131.92321812279494 + X_0)))(((2)(X_7) - (X_4))^(X_3)) - ((898.2747923339934)^(X_0) + X_1),20,224087.5855729794,231569.21648116672,224087.5855729794,231569.21648116672,0.582509149097707,0.556439470356664
12,2093.059124413467 + (23941.77817944768)((26.823370317140586 + (2)((-2.447507043601755 + ((1851223.4120048145)^(X_5))(X_0) + (X_0)(-2.447507043601755 - (X_3)) - (X_3))(X_7 - (((1851223.4120048145)^(X_5))(X_0) + (X_0)((-2.447507043601755 - (X_3))(-2.447507043601755 + (X_0)(-2.447507043601755 - (X_3)) - (X_3)))))))^(-1)),30,229370.23564281684,237362.66355022354,229370.23564281684,237362.66355022354,0.5726672024006767,0.5453423802966797
13,3004.330208454771 + (131.89931874176165)((((2)(X_7))^(X_3))((sqrt(X_4 + exp((6.760921366664869)(X_0))))^(-1))) - (X_4 + exp((6.760921366664869)(X_0))),20,224678.87660287475,233450.58363994386,224678.87660287475,233450.58363994386,0.5814075325375094,0.5528357952823968
14,3046.506345511376 + X_8 + (((2)(X_7) - (X_4))^(X_3))(137.1018193468789 - ((X_8)(X_8) + (137.1018193468789 + X_0 - ((X_8)(X_8)))^(X_0))) - ((919.2773852563321 - (X_1))^(X_0) + X_6),27,223588.0708389791,231481.1089461889,223588.0708389791,231481.1089461889,0.5834397799972403,0.5566082364192442
15,4020.0361923833098 + X_2 + (0.025342573055873896)(X_3 + ((-1)(23510.703233291584))((X_0)(1 + X_7)) + (-27668.56101330909)((exp(X_7))^(-1)) + ((X_1)(exp(X_7)))^(X_3) - (23510.703233291584 + X_4)),29,234891.61583712784,243506.27245961723,234891.61583712784,243506.27245961723,0.5623804847782619,0.5335745708132729
16,3048.2773236617295 + (132.89559787947277 - ((132.89559787947277 + X_0)^(X_0)))(((2)(X_7) - (X_4))^(X_3)) - ((897.4523461166392)^(X_0) + X_6),20,223826.25070980738,231327.71633364377,223826.25070980738,231327.71633364377,0.582996034232897,0.5569020531428044
17,3551.8690534377224 + (-1123.2926639222337)^(X_0) + (-66980.20744266766 + (37977.49787631019)^((X_7)^(X_8)))((X_2)^(-1)) - (X_7),18,235480.3375986009,241875.88637384845,235480.3375986009,241875.88637384845,0.5612836549449016,0.536697502810521
18,2970.05579498615 + (425.8246915653182)((X_7)((sqrt(X_4 + (exp(X_0))^(6.721849421945332)))^(-1))) - (X_4 + X_7 + (exp(X_0))^(6.721849421945332)),18,231871.26276722059,236176.5919465647,231871.26276722059,236176.5919465647,0.5680076138758274,0.5476142476748579
19,3084.0938466250686 + (125.76496814303226)(((X_3)^(X_3))((X_7)((X_4 + (exp(X_0))^(6.8348374046788605))^(-1)))) - (X_4 + (exp(X_0))^(6.8348374046788605) + sqrt(X_1)),22,223039.56253689172,232909.7917448739,223039.56253689172,232909.7917448739,0.584461689342106,0.5538716580928733
20,3063.913137255504 + (222.8246120165798)((X_3)((sqrt(X_7))((sqrt(X_4 + sin(sqrt(((X_0)^(sin(X_3)))(X_5))) + (exp(X_0))^(6.82503205517809)))^(-1)))) - (X_4 + sin(sqrt(((X_0)^(sin(X_3)))(X_5))) + (exp(X_0))^(6.82503205517809)),26,227014.1491271497,233218.31867199755,227014.1491271497,233218.31867199755,0.5770567564302325,0.5532806884930115
21,3666.510683829168 + (-189403907.560417)((654528.454522095 + (-363.74865421025874)(X_0) + (-2)(X_7) + sin(X_7) + (-363.74865421025874 + (-363.74865421025874)(X_0))(((-1)(-363.74865421025874))(X_0) + X_7 - (-363.74865421025874 + sin(X_7))))^(-1)),25,244890.29218910311,244367.15470081815,244890.29218910311,244367.15470081815,0.5437522511462682,0.5319255891883828
22,2149.4175657781834 + (-8617.375544193465)((-10.188576832433734 + ((-1)(1 + -27771535.068506334))((X_0)((X_2)^(-1))) + (3)(X_7) + ((-1)(-27771535.068506334))((X_0)(((X_2)^(-1))((-27771535.068506334)((X_0)((X_2)^(-1))) - (X_7)))))^(-1)),28,235621.60925141186,240696.0748980264,235621.60925141186,240696.0748980264,0.5610204559712075,0.5389573791923954
23,(132.8940930899881 - ((132.8940930899881)^(X_0) + X_0))(((2)(X_7) - (X_4))^(X_3)) - (((0.7058052223857268)^(X_0))(-3046.281634340048 + X_6 - ((X_4)^(X_4)))),22,223823.87218969018,231328.1649050106,223823.87218969018,231328.1649050106,0.583000465582296,0.556901193924312
