Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(sqrt(X_2))((-0.12701746039221629)(X_0) + sqrt(X_3)),11,0.0856833241829427,0.3331987757593211,0.0856833241829427,0.3331987757593211,0.876190261340638,0.8262963683222102
1,(0.9357177672190925)(sqrt((X_2)(X_3))),7,0.0891743180718194,0.3327064761642609,0.0891743180718194,0.3327064761642609,0.8711458837424904,0.8265530146059205
2,(-0.07007314920939356 + sqrt(X_2))(sqrt(X_3)),9,0.092184555059267,0.3250327450027239,0.092184555059267,0.3250327450027239,0.8667961849151796,0.8305534944043241
3,(-0.3298735949099306)(0.31002114190761565 + (-2)(X_3) - (X_2)),8,0.0790954060742684,0.2909579816336634,0.0790954060742684,0.2909579816336634,0.8857095981208353,0.8483173956439929
4,(-1.1578526333859316e-05)((-103570.88731727365 + X_2)(sqrt(X_3))),8,0.2974328861927132,1.0059943608498572,0.2974328861927132,1.0059943608498572,0.5702187297309543,0.4755536735428453
5,(0.15971023128633777)(X_2) + ((0.15971023128633777)(X_2) - (-0.2612629660365944))(X_3) - (-0.2612629660365944),12,0.0755485072974103,0.4639057809759542,0.0755485072974103,0.4639057809759542,0.8908347565434519,0.7581560174457204
6,(0.883743929322966)((sqrt(X_2))(sqrt((X_3)^(1.21114767326148)))),10,0.0833714260663525,0.3067239692605175,0.0833714260663525,0.3067239692605175,0.8795308822181725,0.8400982498757329
7,(-0.14902620174767373)(-1.2371257497347985 - (X_2 + X_3 + (1.8783156679875919 + X_2 - (X_0))(X_3))),17,0.0672647210860164,0.3902019805746488,0.0672647210860164,0.3902019805746488,0.9028045699899157,0.7965793813040839
8,(0.06807909340943574)(-30.979391187679393 + X_1 + (7.348295752938045 + X_2)(4.177612756373374 + X_3) - (X_0 + sin(exp(X_1)))),21,0.0671604745461734,0.3195011232377462,0.0671604745461734,0.3195011232377462,0.9029552029978808,0.8334372468654634
9,(-1.1578526333859316e-05)((-103570.88731727365 + X_2)(sqrt(X_3))),8,0.2974328861927132,1.0059943608498572,0.2974328861927132,1.0059943608498572,0.5702187297309543,0.4755536735428453
10,((1340.6272910555115)(-1.846124018230453 - (X_2)) - (X_4))(5.926841315921554e-05 + (-0.00029165039627998237)(sqrt(X_3))),16,0.0714959679581334,0.3778638080677305,0.0714959679581334,0.3778638080677305,0.896690549853144,0.8030115339067899
11,(X_2 + X_3)(0.361187384280905 + (0.041623461600630574)(X_3)),9,0.0766839363386067,0.2977296302721529,0.0766839363386067,0.2977296302721529,0.8891940968912118,0.8447871907137047
12,(-0.6232171313089875)(-0.3033194829770185 + sqrt(X_2) - (X_2 + X_3)),13,0.0780028492164349,0.2905342705503499,0.0780028492164349,0.2905342705503499,0.8872883088014577,0.8485382852729717
13,(0.439380225873213)(X_2 + X_3),7,0.0918157688849571,0.3292673872051039,0.0918157688849571,0.3292673872051039,0.8673290694676627,0.8283458850644243
14,((sqrt(-0.10881658861880104))^(-1))(-0.033735443062091974 + ((-1)(-0.10881658861880104))(X_2 + (2)(X_3))),11,0.0790954060742684,0.2909579816336632,0.0790954060742684,0.2909579816336632,0.8857095981208352,0.8483173956439931
15,(0.3585639786106141)((1.4817778328396018 + X_2)(sqrt(X_3))),8,0.0767724154535918,0.3921830548811259,0.0767724154535918,0.3921830548811259,0.8890662473217934,0.7955466049954842
16,(0.9357177672190929)(sqrt((X_2)(X_3))),7,0.0891743180718194,0.3327064761642606,0.0891743180718194,0.3327064761642606,0.8711458837424904,0.8265530146059207
17,0.16322479558095448 + (0.33919150758519034)(X_3 + (X_2)(sqrt(X_3))),11,0.0708787171039596,0.3680269343654977,0.0708787171039596,0.3680269343654977,0.8975824581406816,0.8081397060693065
18,(0.35856397861061406)((1.4817778328396032 + X_2)((X_3)((sqrt(X_3))^(-1)))),8,0.0767724154535918,0.3921830548811256,0.0767724154535918,0.3921830548811256,0.8890662473217934,0.7955466049954845
19,(-0.024955951242450196)(((0.524961931692502)(X_2) + X_3)(-20.86037616177857 - (X_4))),12,0.0741109388690646,0.3225064479897393,0.0741109388690646,0.3225064479897393,0.8929119982134694,0.8318705069439175
20,0.16322479558095582 + (0.3391915075851908)(X_3 + (X_2)(sqrt(X_3))),11,0.0708787171039596,0.3680269343654981,0.0708787171039596,0.3680269343654981,0.8975824581406816,0.8081397060693063
21,(-0.04999614469662186)((-10.840344026900508 - (X_2))((0.40644087609549734)(X_2) + X_3)),12,0.0699752476961121,0.3509978294678044,0.0699752476961121,0.3509978294678044,0.8988879433367681,0.8170173418235509
22,(0.34312537244715263)(X_2 + (1.6784641234688409)(X_3)),7,0.0811062840553696,0.3044028174720108,0.0811062840553696,0.3044028174720108,0.8828039419772379,0.8413083158323684
23,(5.2957010141374185e-05)((-1.4836479800929578 - (X_2))((-6763.168867726847 - (X_0 + X_4))(sqrt(X_3)))),18,0.0767766553678018,0.3925047820285622,0.0767766553678018,0.3925047820285622,0.889060120777623,0.7953788817684355
24,(0.5759236275044299)((0.595782767124792)(X_2) + X_3),7,0.0811062840553696,0.3044028174720241,0.0811062840553696,0.3044028174720241,0.8828039419772379,0.8413083158323615
25,(X_2 + X_3)(-0.5965162414864411 + (X_3)^(0.07182345661624683)),9,0.0752327499245158,0.2981844495329358,0.0752327499245158,0.2981844495329358,0.8912910161271064,0.8445500837280173
26,(0.3856320089748428)(0.3722080955654482 + X_3 + (X_2)(sqrt((-0.6898445093292647)(X_3)))),13,0.0702935174177261,0.3426970759552834,0.0702935174177261,0.3426970759552834,0.8984280534873492,0.8213447017530741
27,sqrt((X_2)(X_3)),5,0.0974876210055699,0.3060135245438589,0.0974876210055699,0.3060135245438589,0.859133419550203,0.8404686198661648
28,(0.3296972956924968)(0.10626638039855751 + X_2 + (2)(X_3)) + (-0.013912761486122865)(((X_3)^(-1))(X_4)) - (0.10626638039855751),14,0.0786590194301638,0.2891866922841385,0.0786590194301638,0.2891866922841385,0.8863401632497705,0.8492408065780923
29,sqrt((X_2)(X_3)),5,0.0974876210055699,0.3060135245438589,0.0974876210055699,0.3060135245438589,0.859133419550203,0.8404686198661648
30,(0.2454004386992852)((X_2 + (2)(X_3))^(1.1306273997193979)),9,0.0756964785129263,0.2687815372183678,0.0756964785129263,0.2687815372183678,0.8906209427389943,0.859878449323914
31,log((exp(sqrt((X_2)(X_3))))^(0.9357177672190939)),9,0.0891743180718194,0.3327064761642599,0.0891743180718194,0.3327064761642599,0.8711458837424904,0.826553014605921
32,((X_3)((log(X_0))^(-1)))^((-4.708267388212084)((X_0)(sqrt(X_3)))),13,1.2509472386849845,3.5530054497160872,1.2509472386849845,3.5530054497160872,-0.8075798549500113,-0.8522575558094567
33,(-0.3298735949099307)(0.3100211419076202 + (-2)(X_3) - (X_2)),8,0.0790954060742684,0.2909579816336636,0.0790954060742684,0.2909579816336636,0.8857095981208353,0.8483173956439929
34,(0.282698859512558)(2.6408645790227854 - (-0.487127461603435) + X_2 + (2.6408645790227854)(log(log(-0.487127461603435)) + X_3)) - (sqrt(-0.487127461603435 + log(log(-0.487127461603435)) + X_3)),29,0.1976412816564789,0.5209512454261028,0.1976412816564789,0.5209512454261028,0.7144144947277697,0.7284169995782159
35,(sqrt(X_2))(-0.08990156397195807 + sqrt(X_3)),9,0.0860668945070159,0.3263388846465469,0.0860668945070159,0.3263388846465469,0.8756360141515398,0.8298725759372819
36,2.2710135743486983 + X_3 + (-0.006382275993023193)((7.91956112941707 - (X_2))(-15.810830328890196 + (2)(X_0) + (38.65597493821337)(sqrt(2.2710135743486983 + X_3)))),22,0.0701307638497977,0.2940462630439365,0.0701307638497977,0.2940462630439365,0.8986632273313059,0.8467074086463369
37,(-0.1567000353623579)((-4.349281435340718 - (X_2))(sqrt(X_2))),10,0.2355817102483118,0.6287281054374239,0.2355817102483118,0.6287281054374239,0.6595917553747821,0.6722306226861288
38,-0.003611107719029061 + X_3,3,0.2035230776227239,0.5112612995826098,0.2035230776227239,0.5112612995826098,0.7059154824827072,0.7334685751127901
39,(0.9357177672190904)(sqrt((X_2)(X_3))),7,0.0891743180718194,0.3327064761642623,0.0891743180718194,0.3327064761642623,0.8711458837424904,0.8265530146059197
40,(0.9357177672190904)(sqrt((X_2)(X_3))),7,0.0891743180718194,0.3327064761642623,0.0891743180718194,0.3327064761642623,0.8711458837424904,0.8265530146059197
41,(0.41445387264091343)(0.26498533404336966 + X_3 + (X_2)((-0.08481917441606934)(((X_0)^(X_0))(X_3)) + (0.8825216750018609)(sqrt(X_3)))),20,0.0699375706245276,0.3183515545447004,0.0699375706245276,0.3183515545447004,0.8989423855334362,0.8340365415549175
42,(X_2 + X_3)(0.36118738428090524 + (0.04162346160063324)(X_3)),9,0.0766839363386067,0.2977296302721529,0.0766839363386067,0.2977296302721529,0.8891940968912118,0.8447871907137047
43,X_3 + (2.9409019727697353e-06)((186938.5908590673 - (X_2))(sin(sqrt(X_3)) + (sqrt(X_3))(sqrt(X_3)))) - ((X_3)^(0.7881120525831009)),20,0.1991446721634516,0.5598329625479489,0.1991446721634516,0.5598329625479489,0.7122421422012286,0.7081471307753013
