Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(0.40126134520251167)(X_0 + sqrt(((-1)((18.27423431008804)^(-1)))(((X_0)^(-1))(sin(sqrt(18.27423431008804)) + (18.27423431008804)(X_0))) + (2)(X_3))),20,0.6904817620537048,0.6636324958487392,0.6904817620537048,0.6636324958487392,0.16338558029308936,0.031154063957595235
1,(0.40444967068282045)(X_0 + sqrt((2)(X_3) - (sin(sqrt(X_4) - (log(X_4)))))),14,0.6324198261112918,0.5781775830990349,0.6324198261112918,0.5781775830990349,0.2337356684707168,0.15591083137074513
2,(0.4940417910578147)(X_0 + sin(4.515076485373793 + (2)(X_3))),10,0.6659959939884711,0.7087896288735376,0.6659959939884711,0.7087896288735376,0.19305348430846025,-0.03477143711125863
3,(0.5128016276178615)((X_0 + sqrt(1.0841796312281518 + (-6.79176137157199)(X_3)))^(0.8529956700183954)),12,0.6193152571279921,0.5929106676549362,0.6193152571279921,0.5929106676549362,0.24961367130581513,0.13440180463283868
4,(0.3407928697906203)(X_0 + sqrt(X_3 + (X_0)(X_3) - (X_1 + sin(exp(X_5))))),14,0.6139920708279808,0.6598606729618731,0.6139920708279808,0.6598606729618731,0.2560634497968933,0.0366605985204308
5,(0.3594481727610424)(X_0 + sqrt(((X_0)^(-1))(24.971347789735766 + X_0 + X_3))),12,0.7198453936218038,0.613294535347022,0.7198453936218038,0.613294535347022,0.12780746811853205,0.10464312419172184
6,(0.3717232892898181)(X_0 + sqrt(log(sin(X_2)) - (exp(sin(X_2) + sqrt(X_3))))),13,0.6307118320256868,0.575883658382376,0.6307118320256868,0.575883658382376,0.23580514019223076,0.15925976267417652
7,(0.41067784300012483)(X_0 + sqrt((2)(X_3) - (exp((-197.00245928732215)((X_4)^(-1)))))),15,0.6290146383504519,0.5959626295675869,0.6290146383504519,0.5959626295675869,0.23786152571864005,0.1299462047119121
8,(0.39466098386018694)(X_0 + sqrt(1.55744410517233 + X_3)),8,0.7363066536581816,0.6223738339546653,0.7363066536581816,0.6223738339546653,0.10786236852311704,0.0913881350024408
9,(0.40023117862723157)(X_0 + sqrt((3)(X_3))),8,0.6461957382521124,0.6179892026721538,0.6461957382521124,0.6179892026721538,0.21704424028969316,0.09778931671924729
