Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(0.4004330636154721)(1 + X_0 + X_1 + (0.674156200085615)((X_2)(X_2)) + (1.4195400047005422)(X_3) + X_4 + (-0.00012883929867520152)((14229.379353612796 + X_3)(sqrt(X_0)))),25,0.16049917455921636,0.18635495626523105,0.16049917455921636,0.18635495626523105,0.8455044752037283,0.794960681942314
1,X_3 + (0.41267008033888897)(-0.1904044231679336 + X_0 + X_1 + (X_2)(X_2) + (-1.0069532438462996)(X_3) + X_4 - ((sqrt(X_0))(sqrt(X_2)))),21,0.16488843483005708,0.2074576768104548,0.16488843483005708,0.2074576768104548,0.8412794000849726,0.7717421557680151
2,(0.401275092579889)(1 + X_0 + X_1 + (0.6787400085254378)((X_2)(X_2)) + (1.3001542820006484)(X_3) + X_4 + (0.13085615991363803)((-14.02506357569991 + X_3)(sqrt(X_0)))),25,0.16022994874244342,0.1856508173223065,0.16022994874244342,0.1856508173223065,0.8457636303300102,0.7957354194194843
3,(0.20017192310182913)(-2.770077275507647 + X_0 + X_1 + (1.8478603823155186)((X_2)(X_2)) + X_4 + (3.1176891792414154)(X_3 + sin(X_0 + X_1)) + sqrt(sqrt(X_1))),24,0.15723796115517233,0.14624664468560714,0.15723796115517233,0.14624664468560714,0.8486436993007627,0.8390903419178003
4,(0.41151050777359993)(0.7199353886817262 + X_0 + X_1 + (0.7234260180579165)((X_2)(X_2)) + X_3 + X_4 + (0.4015230001271056)((-3.956607173485156 + X_3)(sqrt(X_0)))),23,0.16047709736206314,0.18667407409830417,0.16047709736206314,0.18667407409830417,0.8455257265788184,0.7946095686465655
5,X_3 + (0.41267008033888897)(-0.1904044231679336 + X_0 + X_1 + (X_2)(X_2) + (-1.0069532438462996)(X_3) + X_4 - ((sqrt(X_0))(sqrt(X_2)))),21,0.16488843483005708,0.2074576768104548,0.16488843483005708,0.2074576768104548,0.8412794000849726,0.7717421557680151
6,(0.3591893522532864)(0.1689408888339429 + X_0 + X_1 + (X_2)(X_2) + (2)(X_3) + X_4 + sqrt(0.1689408888339429 - (sin(X_3) + sqrt(X_1))) - ((X_0)(X_0) + sin(X_3) + sqrt(X_1))),25,0.1510307478117712,0.16400675997816055,0.1510307478117712,0.16400675997816055,0.8546187249396475,0.8195495580224248
7,(0.34869579418655827)(0.11807236181970558 + X_0 + X_1 + (X_2)(X_2) + (2)(X_3) + X_4 + sqrt(0.11807236181970558 - (sin(X_3) + sqrt(X_1))) - ((-0.11777215189509001 + X_0)(-0.11777215189509001 + X_0) + sin(X_3) + sqrt(X_1))),27,0.14481740538291,0.1738631903745125,0.14481740538291,0.1738631903745125,0.8605996503987481,0.8087049000243047
8,(0.3591940580573386)(1 + (2)(-0.4219158858560428) + X_0 + X_1 + (X_2)(X_2) + (2)(X_3) + X_4 + sqrt(1 + (2)(-0.4219158858560428) - (sin(X_3) + sqrt(X_1))) - ((X_0)(X_0) + sin(X_3) + sqrt(X_1))),28,0.15110264285655575,0.1641313944180438,0.15110264285655575,0.1641313944180438,0.8545495192088096,0.8194124274567972
9,(0.4056126562682265)((2)(0.31739105422318975) + X_0 + X_1 + (0.7310633157733557)((X_2)(X_2)) + (exp(0.31739105422318975))(X_3) + X_4 + (0.04743505945742812)((-31.978281147446328 + X_3)(sqrt(X_0)))),27,0.15835488508233997,0.18252656142828258,0.15835488508233997,0.18252656142828258,0.8475685551527682,0.7991729201481295
10,(0.3666954359827061)(X_0 + X_1 + (2)(X_3) + X_4 + (-0.7372449219489322)(((-0.9987131997839012 - (sin(X_3) + sqrt(X_1)))^(-1))((X_2)(X_2) + sqrt(((-0.7372449219489322)^(-1))(-0.9987131997839012 - (sin(X_3) + sqrt(X_1)))))) - ((X_0)(X_0))),30,0.16886590085799516,0.20109344661797787,0.16886590085799516,0.20109344661797787,0.8374507155884121,0.7787444778139625
11,(0.3872587665909096)(0.4330530121627465 + X_0 + X_1 + (X_2)(X_2) + (1.4782594380518517)(X_3) + X_4 + sqrt(X_0)) - (sqrt(X_0)),19,0.16538276224509443,0.17425333757777547,0.16538276224509443,0.17425333757777547,0.8408035635355504,0.8082756357959614
12,(0.3835697933914058)(-0.8558634915486343 + X_0 + (-0.5229821884651623)((X_0)(X_0)) + X_1 + (X_2)(X_2) + (2)(X_3) + X_4 + sqrt(-0.8558634915486343 - (sin(X_3) + sqrt(X_1))) - (sin(X_3) + sqrt(X_1))),27,0.1422236974139492,0.15788274310536432,0.1422236974139492,0.15788274310536432,0.8630963378423651,0.8262875824277687
13,(0.405612656432354)((2)(0.31739105131472994) + X_0 + X_1 + (0.7310633166822036)((X_2)(X_2)) + (exp(0.31739105131472994))(X_3) + X_4 + (0.047435062992836875)((-31.978279098664856 + X_3)(sqrt(X_0)))),27,0.15835488508234002,0.18252656025950556,0.15835488508234002,0.18252656025950556,0.8475685551527681,0.7991729214340907
14,(0.4155707676263305)(-0.0660855802260166 + sqrt(-0.0660855802260166) + X_0 + X_1 + (0.8126769277980253)((X_2)(X_2)) + (exp(-0.0660855802260166))(X_3) + X_4 + (0.45861413459593126)((-2.4854421107426092 + X_3)(sqrt(X_0)))),27,0.16625340982471773,0.18901121553177597,0.16625340982471773,0.18901121553177597,0.8399654834949775,0.7920381002223965
15,(0.3879146398092418)(-0.0901165684998655 + X_0 + X_1 + (X_2)(X_2) + (1.5117246558396331)(X_3) + X_4 - (sqrt(X_1))),18,0.17657713715121728,0.19200794134518176,0.17657713715121728,0.19200794134518176,0.8300279266474642,0.788740916023485
16,(0.376364204668221)(X_1 + (0.9299650825143901)(0.8242175497866038 + X_0 + (X_2)(X_2) + (2)(X_3) + X_4 + sqrt(0.8242175497866038 - ((X_1)(X_1) + sin(X_3) + sqrt(X_3))) - ((X_0)(X_0) + (X_1)(X_1) + sin(X_3) + sqrt(X_3)))),30,0.13652617419441015,0.12634450186239837,0.13652617419441015,0.12634450186239837,0.8685807388821776,0.8609879177813018
