Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(-0.06918514622392129)(-185.8086668268768 + X_0),5,8.978448141782186,5.598255326144163,8.978448141782186,5.598255326144163,0.3620637747103397,0.3463094648195384
1,15.881729680720499 - (sqrt(X_0)),7,9.194379540988358,5.549436855559606,9.194379540988358,5.549436855559606,0.3467214282874581,0.352009842938071
2,14.916823228142896 - (sqrt(X_0 - (sqrt(X_2)))),13,8.946540774914256,6.067201106936731,8.946540774914256,6.067201106936731,0.3643308552633739,0.2915521519500575
3,(-0.06918514622392133)(-185.80866682687667 + X_0),5,8.978448141782188,5.598255326144164,8.978448141782188,5.598255326144164,0.3620637747103395,0.3463094648195383
4,(-0.06918514622392129)(-185.80866682687682 + X_0),5,8.978448141782186,5.598255326144163,8.978448141782186,5.598255326144163,0.3620637747103397,0.3463094648195384
5,16.290854178638174 - (sqrt(sqrt(16.290854178638174) + X_0)),9,9.07519162095141,5.449461933185782,9.07519162095141,5.449461933185782,0.3551899621151095,0.3636835978320233
6,16.714173234154785 - (sqrt(-8.735211347808695 - (X_0))),11,9.050224852534315,5.390074606295316,9.050224852534315,5.390074606295316,0.3569638996319465,0.3706180678117453
7,15.881729680720506 - (sqrt((-1)(X_0))),9,9.194379540988358,5.5494368555596045,9.194379540988358,5.5494368555596045,0.3467214282874581,0.3520098429380711
8,((4.239239444329158)^(-1))(X_0) + (sin(X_0))^(sqrt(1)) - (4.239239444329158),7,143.32241752171038,89.44157440335466,143.32241752171038,89.44157440335466,-9.1833368739645,-9.443809228576503
9,15.88172968072051 - (sqrt(X_0)),7,9.194379540988358,5.549436855559602,9.194379540988358,5.549436855559602,0.3467214282874581,0.3520098429380716
10,12.85519978408934 + X_0 + (-1.0691851462239224)(X_0),5,8.978448141782184,5.598255326144189,8.978448141782184,5.598255326144189,0.3620637747103398,0.3463094648195354
11,(6.515009595122934e-06)(1586214.1361582244 + X_0),5,14.07517354946912,9.984000401767885,14.07517354946912,9.984000401767885,-6.84909745316542e-05,-0.1658000905022543
12,15.881729680720508 - (sqrt(X_0)),7,9.194379540988356,5.549436855559602,9.194379540988356,5.549436855559602,0.3467214282874582,0.3520098429380716
13,(767.0254195250459)((X_2)^(-1)),5,10.969859866755296,7.484007809037243,10.969859866755296,7.484007809037243,0.2205700935345248,0.126116122796803
14,12.855199784089343 + (-0.06918514622392131)(X_0),5,8.978448141782186,5.598255326144163,8.978448141782186,5.598255326144163,0.3620637747103397,0.3463094648195384
