Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(2.5241360803006325e-05)((X_46)(X_46)),4,0.08992632066177728,0.13947446000547362,0.08992632066177728,0.13947446000547362,0.2076158366368145,0.003970347494987481
1,((X_17)^(-1))(sqrt((1.032970310719806)^(X_48))),8,0.058057038820954414,0.11993193832854698,0.058057038820954414,0.11993193832854698,0.48843144259721183,0.14352945440371478
2,(2.539550711211369e-05)((X_39)(X_48)),5,0.09116817488654733,0.13837964308427092,0.09116817488654733,0.13837964308427092,0.19667326038470156,0.011788769000540045
3,(0.008491716540298455)(X_48),3,0.09777852458921357,0.13598701131259056,0.09777852458921357,0.13598701131259056,0.13842628241274912,0.028875282130081614
4,(-5.508455125924635e-05)((183.9563278799323 - (X_45))(X_48)),7,0.08185845681835915,0.1378247045853628,0.08185845681835915,0.1378247045853628,0.2787056743467232,0.015751754053197065
5,-15.74365153425566 + sqrt(X_48),4,0.07352678830247086,0.13315037058243565,0.07352678830247086,0.13315037058243565,0.352120022201696,0.049132598635389324
6,(0.0008859959547687507)((X_19)((X_48)((log((X_19)(X_48)))^(-1)))),10,0.09715151189495841,0.15619829830366028,0.09715151189495841,0.15619829830366028,0.1439511935344232,-0.11545968183109268
7,-15.213065271881593 + (-0.9480862083987512)(X_48) + exp(log(X_48)),8,0.06117122652703844,0.15093844392864855,0.06117122652703844,0.15093844392864855,0.4609908334198126,-0.07789745771375745
8,(1.205692933042322e-08)((X_45)(((X_48)(X_48))(log(X_40 + X_56)))),11,0.07583628591734326,0.1355668718272506,0.07583628591734326,0.1355668718272506,0.33176992534592886,0.031875626319048944
9,(0.00043460622431756857)((X_48 - (X_5))(X_54)),7,0.09077345578722236,0.14901095778305787,0.09077345578722236,0.14901095778305787,0.20015132065649277,-0.0641326913491802
10,(0.0008596484312293207)((X_17)((X_48)((sqrt(1 + X_18))^(-1)))),12,0.09832397132303207,0.14645776941239955,0.09832397132303207,0.14645776941239955,0.13362008829010164,-0.04589959458360138
11,(6.921603891048839e-08)((X_48)((X_48)(X_48))),5,0.07464201636046411,0.1318366531117691,0.07464201636046411,0.1318366531117691,0.3422932101494629,0.05851425571975022
12,(3.427102796616662e-06)(((-2)(X_48) + (X_48)^(log(log(X_48))) - (X_36))((log(log(X_48)))^(log(X_48)))),13,0.06756212503560184,0.13381395892923414,0.06756212503560184,0.13381395892923414,0.4046775457129411,0.044393711885498566
13,(2.512614002214697e-05)((X_45)(X_48)),5,0.08656915425775064,0.13331791368757936,0.08656915425775064,0.13331791368757936,0.23719744825785272,0.04793612222824384
14,(6.921603891048838e-08)(((X_48)(X_48))(exp(log(X_48)))),7,0.07464201636046414,0.13183665311176912,0.07464201636046414,0.13183665311176912,0.3422932101494628,0.05851425571975
15,(7.635844927382669)(-5.43362690588919 + log(X_45)),6,0.09117066285775301,0.14101233824275733,0.09117066285775301,0.14101233824275733,0.19665133767099807,-0.007012109983009607
16,(0.008491716540292238)(X_48),3,0.09777852458921359,0.13598701131280044,0.09777852458921359,0.13598701131280044,0.1384262824127489,0.028875282128582702
17,(0.008491716540296235)(X_48),3,0.09777852458921359,0.13598701131266555,0.09777852458921359,0.13598701131266555,0.1384262824127489,0.028875282129546043
18,(0.008491716540300231)(X_48),3,0.09777852458921359,0.13598701131253055,0.09777852458921359,0.13598701131253055,0.1384262824127489,0.02887528213051005
19,(0.06745107317822575)((((X_13)^(-1))(249.23799738146937 - (X_31)))((X_48)((log(((X_5 - (sin(X_28)))^(-2))(sqrt(X_48))))^(-1)))),22,0.06598730086172398,0.13173747367346095,0.06598730086172398,0.13173747367346095,0.41855408070602396,0.05922252633409664
20,(-5.056618768348545e-07)((-16660.28421008186 - (X_22))(X_48)),7,0.09780445061123928,0.13595844889484676,0.09780445061123928,0.13595844889484676,0.13819783573416833,0.029079255065477372
21,(0.008491716540300454)(X_48),3,0.09777852458921357,0.13598701131252308,0.09777852458921357,0.13598701131252308,0.13842628241274912,0.02887528213056334
22,(0.000922725159873577)(((X_5)^(-1))((X_48)(X_48))),8,0.07529851178903346,0.12366473720877637,0.07529851178903346,0.12366473720877637,0.3365085124426014,0.1168723992597116
23,(0.008491716540288685)(X_48),3,0.09777852458921359,0.13598701131292043,0.09777852458921359,0.13598701131292043,0.1384262824127489,0.028875282127725943
24,(0.008491716540307337)(X_48),3,0.09777852458921357,0.13598701131229066,0.09777852458921357,0.13598701131229066,0.13842628241274912,0.028875282132223234
25,(-1.446604275605973)((((X_17)^(-1))(X_48))((((17.316322537719724)(((X_17)^(-1))(X_48)) - (X_18))^(-1))(X_54))),15,0.08034896287291796,0.06986213903999478,0.08034896287291796,0.06986213903999478,0.2920065532024132,0.5010931602206451
26,21.11409738249386 + (-6354.053797816084)((X_48)^(-1)),7,0.06140780771622212,0.15194062633636543,0.06140780771622212,0.15194062633636543,0.45890620250998315,-0.08505434790903554
27,(0.04259274870859331)((X_48)((log(X_20))^(-1))),8,0.09509194399262662,0.13526291861367742,0.09509194399262662,0.13526291861367742,0.16209903920595747,0.03404624890960217
28,(0.0008539373203060308)((X_48)(sqrt(X_17))),6,0.09835850968157776,0.1462129071579124,0.09835850968157776,0.1462129071579124,0.13331575416257624,-0.0441509585520381
29,-3.2836547489640595 + (1.5150551490914115e-07)(((X_46)(X_46))(X_48)),8,0.06269620940486743,0.1581639097761469,0.06269620940486743,0.1581639097761469,0.44755347411389235,-0.12949671278158958
30,(2.690267766345024e-08)(((X_18)^(-1.0613956880538706))((X_45)((X_48)((X_48)(X_48))))),11,0.06730741162224363,0.11182027077117816,0.06730741162224363,0.11182027077117816,0.40692194839122187,0.2014573461344673
31,(-0.008690810106794955)((X_8)((log(X_8))^(-1)) - (X_48)),9,0.09752143745055336,0.13509549649019792,0.09752143745055336,0.13509549649019792,0.14069160112900003,0.03524186134978935
32,(0.008033969524645634)(((X_15)^(-1))((X_17)(X_48))),9,0.09225244326756006,0.1287534960126864,0.09225244326756006,0.1287534960126864,0.18711924897149912,0.0805320207922745
33,(2.4749004580573577e-05)((X_46)(X_48)),5,0.08538135874135734,0.13393131867140293,0.08538135874135734,0.13393131867140293,0.2476636871696365,0.043555610177086534
