Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,sqrt(X_0 + (0.09338679320464409)(2.2242831138806842 + ((-0.24203899907398763)((-0.24203899907398763 - (X_0))^(-1)))^(-3.3863009160782145 + (1.2177933732038644)(X_0)))),17,0.0027901164023692855,0.0025633927689198673,0.0027901164023692855,0.0025633927689198673,0.9477614852911553,0.9656858134858277
1,sqrt(X_0 + (0.697278867229059)(((-37868387.41467972)((-37868387.41467972 + X_0)^(-1)))^(113509182.86078748 + (-54685035.880823076)(X_0)))),15,0.0074767780920736325,0.008578128474507622,0.0074767780920736325,0.008578128474507622,0.860014520539039,0.8851711278951537
2,(-1.9128031220271808)(sin((-0.44127373333844305)(-9.023220413825955 - (X_0)))),8,0.0375641753444815,0.04847103193608239,0.0375641753444815,0.04847103193608239,0.29669718274406365,0.3511552148561403
3,sqrt(X_0 + (0.2150130569435996)(((0.2953370395662436)((0.2953370395662436 + X_0)^(-1)))^(-2.96591491364497 + (1.1054060334679054)(X_0)))),15,0.0031174986249822177,0.0029816894590260854,0.0031174986249822177,0.0029816894590260854,0.9416320058770142,0.96008639430333
4,(exp((0.4682224606958796)^((-1)(X_0))))^(sqrt(X_0)) - (exp((-3.4554247454244202)(X_0))),12,2.7697977904257263e+20,5.083173970428168e+18,2.7697977904257263e+20,5.083173970428168e+18,-5.185809541595222e+21,-6.804457819343668e+19
5,1.8059500000000002,1,0.05341109749999999,0.0750182975617284,0.05341109749999999,0.0750182975617284,0.0,-0.0042128095701505774
6,sqrt(X_0 + (8.311154130617444e-06)((((-11.855823585746212)((-11.855823585746212 - (X_0))^(-1)))^(-33.7788498371978 + (18.226489981213525)(X_0)))(sqrt((sqrt(-11.855823585746212 - (X_0)))^(18.226489981213525))))),19,0.006836094523080376,0.007740575356686972,0.006836094523080376,0.007740575356686972,0.8720098473340605,0.896382813536498
7,sqrt((-0.21503020700005293)(((-0.29537152056004956)((-0.29537152056004956 - (X_0))^(-1)))^(-2.966038320281164 + (1.1054692874456449)(X_0))) - (X_0)),15,0.0031174986233570012,0.0029816904052250826,0.0031174986233570012,0.0029816904052250826,0.9416320059074427,0.9600863816372848
8,sqrt((-2.1173888714001587)(((15924770.462523496)((15924770.462523496 - (X_0))^(-1)))^(10848805.235067861 + (-3355340.172252699)(X_0)))),14,0.03762496797853393,0.04911746084748436,0.03762496797853393,0.04911746084748436,0.29555898044345685,0.3425019633907601
9,1.8059499999999988,1,0.05341109749999999,0.07501829756172836,0.05341109749999999,0.07501829756172836,0.0,-0.004212809570150133
10,1.8059500000000002,1,0.05341109749999999,0.0750182975617284,0.05341109749999999,0.0750182975617284,0.0,-0.0042128095701505774
11,sqrt((-4.367322937989616)((-3.7223079236940837)^(((4.4208793250383245)(4.4208793250383245))((4.4208793250383245 - (X_0))^(-1))))),12,inf,inf,inf,inf,-inf,-inf
12,sqrt(X_0 + (3.0575768666491223)(((50092686.110795535)((50092686.110795535 - (X_0))^(-1)))^(-19752876.79557825 + X_0))),13,0.06562189182943005,0.08495038041088787,0.06562189182943005,0.08495038041088787,-0.22861904924215537,-0.13716603760936263
13,sqrt(X_0 + (-0.2559549775556863)(((-8.987516170302134e-09)((-7.560079075637841e-08 - (X_0))^(-1)))^(-0.21755168226582156 + X_0))),14,0.45568892757145135,0.481842045941542,0.45568892757145135,0.481842045941542,-7.531727466776944,-5.450052459879326
14,sqrt(X_0 + (1.0233070434543)(((24809723.854555294)((24809723.854555294 - (X_0))^(-1)))^(38671589.93149402 + (-10579169.159302713)((X_0)(X_0))))),16,0.013119151395979644,0.015763957271874428,0.013119151395979644,0.015763957271874428,0.7543740531454227,0.7889799110822677
