Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,198.58789,1,1576.1145165875841,1584.2337821520996,1576.1145165875841,1584.2337821520996,-3.330195208484099e-08,-0.12918847164787528
1,powabs((x1; 1.0750077),3,1044.8124901781407,913.6576384254824,1044.8124901781407,913.6576384254824,0.3370960587086399,0.3487756138228678
2,181.81148 + (x2 * x11),5,751.591315274271,1092.4986797903998,751.591315274271,1092.4986797903998,0.5231365916665844,0.22130374417719378
3,(x1 + (x2 * x11)) / 0.7699722,7,463.5225680299165,786.3715615382704,463.5225680299165,786.3715615382704,0.7059080551648703,0.4395008415269982
4,((x1 + (x2 * x11)) / 0.7699722) + -0.62032735,9,460.8380520756685,787.7289527387736,460.8380520756685,787.7289527387736,0.7076113045261285,0.43853333880587686
5,((x1 + (x2 * x11)) / 0.7699722) + sin(x6),10,457.3816901895094,799.8792693408337,457.3816901895094,799.8792693408337,0.7098042682764695,0.42987300244107585
6,x1 + sqrtabs((((x2 * x11) * 198.5806) + x6) + x6),12,443.6255747441679,874.6215285920678,443.6255747441679,874.6215285920678,0.7185321340239598,0.3765992378980929
7,x1 + sqrtabs((x6 + ((x2 * x11) * (x11 + x1))) + x6),14,431.2602390557558,838.6380906925671,431.2602390557558,838.6380906925671,0.7263775893954221,0.4022470202545434
8,x1 + sqrtabs(200.24057 + ((x6 + ((x2 * x11) * (x11 + x1))) + x6)),16,425.7175831867931,805.7660350348432,425.7175831867931,805.7660350348432,0.7298942476047154,0.4256771141625557
9,x1 + sqrtabs(200.24057 + (x6 + (x6 + (((x2 * x11) * (x11 + x1)) + x9)))),18,424.63647865676654,793.2466485911799,424.63647865676654,793.2466485911799,0.7305801778176864,0.43460051107755215
10,x1 + sqrtabs(((x6 + ((x2 * x1) * x11)) + x7) + (sin(x11 * x11) * x7)),19,345.3716070001989,866.4357669984036,345.3716070001989,866.4357669984036,0.780871494509482,0.38243377300734116
11,x1 + sqrtabs(((x7 + (x2 * (198.5806 * x11))) + x7) + (sin(x11 * x11) * (x7 + x7))),21,287.87107097352816,1247.9005766297216,287.87107097352816,1247.9005766297216,0.817353956498376,0.1105385071521402
12,sqrtabs((((x7 + ((x2 * x1) * x11)) + x7) + (sin(x11 * x11) * (x7 + x7))) + x9) + x1,23,283.32079338942464,1119.749637255492,283.32079338942464,1119.749637255492,0.8202409787849854,0.2018801797022921
13,sqrtabs(x11) + (x1 + sqrtabs(((x7 + ((x2 * x1) * x11)) + x7) + (sin(x11 * x11) * (x7 + x7)))),24,267.270359440668,1214.7280654584556,267.270359440668,1214.7280654584556,0.8304245246595693,0.13418275562872495
14,sqrtabs(sqrtabs(x6)) + (x1 + sqrtabs((x7 + ((x2 * x1) * x11)) + (x7 + (sin(x11 * x11) * (x7 + x7))))),25,264.6041441131633,1203.51035704582,264.6041441131633,1203.51035704582,0.8321161627913387,0.14217836029298614
