Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,21.447102,1,255.994691109424,249.089393442502,255.994691109424,249.089393442502,-1.5772476658071355e-09,-0.0032881413808667492
1,21.79352 - x0,3,246.57715171735364,239.85565483043504,246.57715171735364,239.85565483043504,0.036788024635759475,0.03390372906397365
2,28.830856 / exp(x0),4,156.61792811828113,149.6333806192609,156.61792811828113,149.6333806192609,0.3881985298735722,0.39730313581301513
3,powabs((0.2618685; x0) * 28.830864,5,153.37671020663234,146.92620390728547,153.37671020663234,146.92620390728547,0.4008597999284873,0.4082071661059564
4,(powabs((0.27712816; x0) * 28.830856) - x8,7,152.10279829213292,145.73418552042006,152.10279829213292,145.73418552042006,0.4058361215505797,0.41300840591517396
5,powabs(((29.01252; powabs(sin(x8 - -2.407012); x0)),8,150.07091565022967,144.33944559438203,150.07091565022967,144.33944559438203,0.4137733277336545,0.418626172327325
6,powabs((((28.83076; powabs(sin(sin(powabs(19.306293; x8))); x0)),9,148.65594845317642,143.0447025788206,148.65594845317642,143.0447025788206,0.41930065798082816,0.42384116882194034
7,powabs((((28.83076; powabs(sin(sin(powabs(sin(28.753965); x8))); x0)),10,148.65439208950448,143.03775179916911,148.65439208950448,143.03775179916911,0.4193067376525106,0.42386916533636954
8,powabs(((powabs(exp(x0); -0.89082444); sqrtabs(x7) + x8) * 28.83076,11,148.1846261313578,142.3606387735903,148.1846261313578,142.3606387735903,0.421141798984649,0.42659645717143746
9,powabs((((powabs(powabs(-2.4428813; x0); -0.89082444); sqrtabs(x7) + sqrtabs(x8)) * 28.83076,13,147.8176280612284,141.9639707209232,147.8176280612284,141.9639707209232,0.42257541492847095,0.42819416612164773
10,powabs(((((powabs(powabs(sqrtabs(sqrtabs(exp(x0))); sqrtabs(x4)); -1.3401192); powabs(x0 + 0.86025953; x8)) * 28.830856,17,147.76497619408636,142.38594383057492,147.76497619408636,142.38594383057492,0.42278109055008983,0.4264945328653128
11,powabs((((((powabs(powabs(sqrtabs(sqrtabs(exp(x0))); powabs(sqrtabs(x4); sin(1.0078155))); -1.3401192); powabs(1.0078155 + x0; x8)) * 28.830856,20,146.96162349058363,141.64942545655393,146.96162349058363,141.64942545655393,0.425919252131833,0.4294610989657476
12,powabs(((((((powabs(sqrtabs(powabs(powabs(-1.7145611; x0); powabs(sqrtabs(x4 + -1.2417971); sin(x0)))); -1.3401192); powabs(-2.407012; x8)) * (28.830856 - x2),22,145.82236379783572,141.71452589238166,145.82236379783572,141.71452589238166,0.43036957760384786,0.42919888589291455
13,(powabs(((((((powabs(sqrtabs(powabs(powabs(-1.7145611; x0); powabs(sqrtabs(x4 + -1.2417971); sin(x0)))); -1.3401192); powabs(x0 + x0; x8)) * 28.830856) - x2,24,145.66979613363736,141.39238813551265,145.66979613363736,141.39238813551265,0.4309655574024045,0.43049639995760836
