Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"0.5276393",1,0.03447771481953349,0.009969043316611213,0.03447771481953349,0.009969043316611213,-1.8988848271561665e-09,-0.005879380491628838
1,"powabs(x0, -0.15538928)",3,0.007091015474961724,0.0026518698781893583,0.007091015474961724,0.0026518698781893583,0.7943304675050766,0.7324255552413153
2,"powabs(0.93534493, sqrtabs(x0))",4,0.0036899463077224013,0.003237597528358883,0.0036899463077224013,0.003237597528358883,0.8929759024331093,0.673325464372253
3,"powabs(5.6346755 / x0, 0.266947)",5,0.0012307172127781429,0.0014638455604952497,0.0012307172127781429,0.0014638455604952497,0.964303979496406,0.8522975556668646
4,"powabs(sin(-5.9120398 / x0), 0.2714208)",6,0.0012282420483561438,0.0014791636973821357,0.0012282420483561438,0.0014791636973821357,0.9643757697655597,0.8507519511837953
5,"powabs(-2.357132 / (x0 + -22.593544), 0.2253773)",7,0.0012198984084401407,0.009059362515725203,0.0012198984084401407,0.009059362515725203,0.9646177707211195,0.08590767784281061
6,"powabs((sqrtabs(x1) + 3.4670262) / x0, 0.2681926)",8,0.0012117491686303781,0.001430980054096237,0.0012117491686303781,0.001430980054096237,0.9648541332488536,0.8556136948555767
7,"powabs((5.968435 / x0) + powabs(-0.3415827, x1), 0.28560424)",9,0.0010482359483623847,0.0013868975063355622,0.0010482359483623847,0.0013868975063355622,0.9695967103434888,0.8600616367918018
8,"powabs((6.2225313 / powabs(x1, x1)) + (5.7908792 / x0), 0.27952975)",11,0.0009091340612971919,0.0012272398980771118,0.0009091340612971919,0.0012272398980771118,0.9736312552098593,0.8761711360672425
9,"powabs(((1.0689607 + x1) / x0) + (10.318794 / powabs(x1, x1)), 0.2904922)",13,0.0006078280807421478,0.0007579489511257923,0.0006078280807421478,0.0007579489511257923,0.9823704069403122,0.9235227295950945
10,"powabs(((x1 + 1.3341033) / x0) + (sqrtabs(x0) / powabs(x1, x1)), 0.2975663)",14,0.0005073058432279206,0.0005543410645040411,0.0005073058432279206,0.0005543410645040411,0.9852859782950633,0.9440668247859574
11,"powabs(((x1 + 1.3341033) / x0) + (x0 / powabs(powabs(1.663911, x1), x1)), 0.2919567)",15,0.0003417670393141292,0.0003232636314421294,0.0003417670393141292,0.0003232636314421294,0.9900873059089903,0.9673826052306675
12,"powabs(((x1 + 3.0799282) / (x0 + 3.3753605)) + (x0 / powabs(powabs(1.6531014, x1), x1)), 0.31292456)",17,0.0003109480766497316,0.00036289608020511537,0.0003109480766497316,0.00036289608020511537,0.9909811865760889,0.9633836795822404
13,"sqrtabs(sin(sin(sin(powabs((x1 + x1) / x0, powabs((x0 / powabs(x1, x1)) + 1.43412, -0.9725851))))))",19,0.00029466863582588613,0.00044840645768648674,0.00029466863582588613,0.00044840645768648674,0.9914533594257099,0.9547556575349045
14,"sqrtabs(powabs(-11.972138 / ((x0 + 3.9546278) + 3.9546278), powabs((x0 / powabs(x1, x1)) + (x1 / 3.9546278), -1.0958154)))",20,0.0002812609775075473,0.00033028551930748117,0.0002812609775075473,0.00033028551930748117,0.9918422383990984,0.9666740946954477
15,"sqrtabs(powabs(15.320059 / (x0 + 12.908959), powabs((-10.171799 / x1) + (3.333246 + ((x0 + x0) / powabs(x1, x1))), -0.6681051)))",22,0.00018525884623067187,0.000226446211285273,0.00018525884623067187,0.000226446211285273,0.9946267074963594,0.9771515111843515
16,"sqrtabs(powabs(15.320059 / (x0 + 12.908959), powabs(((-10.171799 / x1) + 3.333246) + (((x0 + 5.533162) + x0) / powabs(x1, x1)), -0.6681051)))",24,0.0001816734139704849,0.00023339967900157599,0.0001816734139704849,0.00023339967900157599,0.9947307002431457,0.9764499042621417
17,"sqrtabs(powabs(-14.105618 / ((x0 + 1.3341033) + (x1 + x1)), powabs((-10.711265 / x1) + (3.455248 + ((x0 + x0) / powabs(x1, x1))), -0.7208729)))",26,0.0001663452058372301,0.0002081599292474097,0.0001663452058372301,0.0002081599292474097,0.995175283309123,0.9789966023795208
18,"sqrtabs(powabs(-17.167555 / ((x1 + x1) + (x0 + x1)), powabs((-16.694183 / x1) + (4.558399 + (((x0 + x0) + x0) / powabs(x1, x1))), -0.5421518)))",28,0.00011694734090006035,0.00017837350128777164,0.00011694734090006035,0.00017837350128777164,0.9966080309633552,0.9820020616549535
19,"sqrtabs(powabs(17.32645 / ((x1 + (x1 + x1)) + x0), powabs(((-20.565994 / x1) + 5.3654275) + (((x0 + x0) + (x0 + x0)) / powabs(x1, x1)), -0.45182306)))",30,0.00010066951283853818,0.00016605470923079443,0.00010066951283853818,0.00016605470923079443,0.9970801570360266,0.9832450313692118
20,"sqrtabs(powabs(18.288702 / (x0 + ((x1 + 17.64333) / (6.9852953 / x1))), powabs(((-20.236416 / x1) + 5.206716) + ((x0 + (x0 + (x0 + x0))) / powabs(x1, x1)), -0.45961952)))",32,9.10572446124864e-05,0.00016212731502477412,9.10572446124864e-05,0.00016212731502477412,0.9973589535947491,0.9836413065909592
21,"sqrtabs(powabs(18.118233 / (x0 + ((x1 + 10.745691) / (4.8899393 / x1))), powabs((-20.180996 / x1) + (5.247477 + ((((x0 + x0) + (x0 + x0)) + -17.167555) / powabs(x1, x1))), -0.45068693)))",34,8.508267899080006e-05,0.00012886994918175104,8.508267899080006e-05,0.00012886994918175104,0.9975322413449468,0.986996984511951
22,"sqrtabs(powabs(18.118233 / (x0 + ((x1 + 10.745691) / (4.8899393 / x1))), powabs(((-20.180996 / x1) + 5.247477) + (((((x0 + x0) + x0) + (x1 + x0)) + -17.167555) / powabs(x1, x1)), -0.45068693)))",36,8.374159409580507e-05,0.0001299285590062464,8.374159409580507e-05,0.0001299285590062464,0.9975711384964708,0.9868901704716637
23,"sqrtabs(powabs(18.118233 / (x0 + ((x1 + 10.745691) / (4.8899393 / x1))), powabs(((-20.180996 / x1) + 5.247477) + ((((x0 + x0) + 5.3099933) + (((x0 + x0) + 0.28560424) + -20.238556)) / powabs(x1, x1)), -0.45068693)))",38,8.343478129133061e-05,0.00012920030268087477,8.343478129133061e-05,0.00012920030268087477,0.9975800373694578,0.9869636517474631
24,"sqrtabs(powabs(18.34268 / (x0 + ((((x0 / -20.447899) / 3.1336513) + (x1 + 8.4403305)) / (4.07476 / x1))), powabs(((-20.445175 / x1) + 5.2514057) + (((8.4403305 + (x0 + -15.207866)) + (x0 + (x0 + x0))) / powabs(x1, x1)), -0.44959238)))",42,8.243292805275639e-05,0.00013524377245478965,8.243292805275639e-05,0.00013524377245478965,0.9976090953637512,0.9863538638832579
25,"sqrtabs(powabs(18.34268 / ((x0 + ((-0.44959238 / 4.07476) / (5.2514057 / x0))) + ((x1 + 8.4403305) / (4.07476 / x1))), powabs(((-20.445175 / x1) + 5.2514057) + (((0.93534493 + (x0 + -15.207866)) + (x0 + (5.2514057 + (x0 + x0)))) / powabs(x1, x1)), -0.44959238)))",46,8.221634006836546e-05,0.00013017276704542808,8.221634006836546e-05,0.00013017276704542808,0.9976153773341757,0.9868655298092288
26,"sqrtabs(powabs(18.34268 / ((x0 + ((-0.44959238 / 4.07476) / (5.2514057 / x0))) + ((x1 + 8.4403305) / (4.07476 / x1))), powabs(((-20.445175 / x1) + 5.2514057) + (((((5.2514057 + 18.34268) / x0) + (x0 + -15.207866)) + (x0 + (5.2514057 + (x0 + x0)))) / powabs(x1, x1)), -0.44959238)))",50,8.182879389632698e-05,0.00013034836833119353,8.182879389632698e-05,0.00013034836833119353,0.9976266178173343,0.9868478115882392
