Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,-16.8987*stillalive - 2.19311*wallindex + 2.89273*(0.912515 - 1.32789*aliveat1)*(2.05233 - 1.23889*pericardial) + 2.89273*(3.89925 - 0.0540701*age)**2 + 25.9462,29,132.15742143313383,144.79324288960936,132.15742143313383,144.79324288960936,0.4516616323607614,0.41924176766374266
1,-0.132754*epss - 16.9959*stillalive + 3.63132*(1.24396 - 1.66784*aliveat1)*(1.36219 - 0.767611*pericardial) + 3.63132*(0.0490776*age - 3.53136)**2 + 23.8481,29,132.25987862191036,144.29142754589282,132.25987862191036,144.29142754589282,0.4512365241297034,0.4212545231360282
2,-7.26324*aliveat1 - 16.853*stillalive + 6.0458*exp((0.0413671*age - 2.05687)*(-0.101074*epss - 1.7451*pericardial + 0.500519)) + 25.0106,25,132.1985702667869,143.68147924125137,132.1985702667869,143.68147924125137,0.4514909004863732,0.4237009943397302
3,9.52089*(-0.103983*pericardial + (0.298385*stillalive + 0.0817658)*(-0.560873*wallindex + (3.70734 - 0.0880527*age)*(0.804573*aliveat1 + 0.385537) - 0.689305) + 1.86925)**2 + 2.31828,33,132.22705729903694,144.78383177298966,132.22705729903694,144.78383177298966,0.45137270407641394,0.4192795151673091
4,-13.5078*(-0.00577109*age - 0.344244)*(-1.72309*stillalive - 0.223581*wallindex + exp((-6.78567*aliveat1 - 0.362549)*(1.48239*pericardial + 0.570118)) - 1.41435) + 38.2841,29,132.33668646049446,144.44094569884237,132.33668646049446,144.44094569884237,0.45091783839586874,0.4206548135330368
5,13.015*(0.00701673*age + 0.0732785)*(-2.46692*stillalive - 0.464) + 13.015*(0.302483*pericardial - 0.642127)*(0.261724*wallindex + 0.0699341*exp(2.67646*aliveat1) - 1.2155) + 26.1357,32,132.40459622547195,144.66015345479227,132.40459622547195,144.66015345479227,0.45063607192925115,0.4197755825252961
6,-7.2429*aliveat1 - 16.7351*stillalive + 10.4328*(0.0450196*age - 2.41484)*(-0.543415*pericardial - 0.164827) + 10.4328*(0.0267573*epss - 0.6421)**2 + 28.7826,29,132.42065394884605,143.70661420718042,132.42065394884605,143.70661420718042,0.4505694463419214,0.4236001792872355
7,-16.9205*stillalive + 9.26497*(0.345917 - 0.463988*aliveat1)*(1.90418 - 1.0587*pericardial) + 9.26497*(0.0238884*age + 0.0178697*epss - 2.07636)**2 + 21.9743,29,132.44788226879243,144.73325244483217,132.44788226879243,144.73325244483217,0.4504564724933774,0.4194823862449041
8,-6.96003*aliveat1 + 25.1913*exp(-0.153876*pericardial + (0.965106*stillalive + 0.0711423)*(-0.0584441*age - 0.606866*wallindex + 2.86619)) + 7.25806,26,132.3184104608795,145.11229849859768,132.3184104608795,145.11229849859768,0.4509936679004639,0.417962052065175
9,-7.29815*aliveat1 - 16.9417*stillalive + 3.58243*(5.27682 - 0.0975029*age)*(0.763179*pericardial + 0.220901) + 3.58243*(0.0466039*epss - 1.10749)**2 + 28.7592,29,132.45563861989842,143.83866911084806,132.45563861989842,143.83866911084806,0.4504242903816339,0.4230705138767866
