Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,-0.495798*(0.0338026*temperatureat2m + 0.232447*windspeed + 0.272402)*(-0.538982*carsperhour - 0.00253166*day + 5.92075 + 1/(0.00860844*day - 2.53584)) + 3.83389,27,0.49651212803235834,0.8046384099579239,0.49651212803235834,0.8046384099579239,0.29197671912721335,0.14930587032595044
1,-1.30647*(3.01167 - 0.348911*carsperhour)*(0.00134531*day - 0.299703)*(-0.225573*windspeed - 0.0156996)*(-0.123817*hourofday + 1.39557 + 1/(0.343824 - 0.00128114*day)) + 3.73686,31,0.4986129168884383,0.8573804493362583,0.4986129168884383,0.8573804493362583,0.2889810069696932,0.09354499347626977
2,0.647365*(0.0015877*day - 1.84304)*(-0.303913*carsperhour + 3.42789 + 1/(0.0153711*day - 4.22955)) + 0.647365*(0.073015*temperatureat2m - 0.697448)*(0.33611*windspeed - 1.566) + 3.97639,33,0.502359803433608,0.7915805726264427,0.502359803433608,0.7915805726264427,0.2836379694989223,0.16311110933350736
3,-0.000493835*day - 0.257189*(0.393782*windspeed + 0.00437628)*(-0.839963*carsperhour + exp((-0.218511*temperatureat2m - 0.908582)*(0.135761*temperatureat2m - 0.570671)) + 6.54153) + 3.88221,29,0.5028370334768767,0.792057686518521,0.5028370334768767,0.792057686518521,0.2829574423538851,0.16260668649940702
4,0.258374*carsperhour + 0.516583*(0.120498*temperatureat2m - 1.20681)*(0.251649*windspeed - 0.961641) + 1.24413 + 0.516583*(-0.00908849*hourofday - 0.0357364)/(0.00427224*day - 1.05649),31,0.5077352255507339,0.8282601963451117,0.5077352255507339,0.8282601963451117,0.2759726501873351,0.12433202522570741
5,0.202094*(6.60803 - 0.76037*carsperhour)*(-0.572798*windspeed - 0.00225652 + 1/((1.41017 - 0.00492306*day)*(0.0836816*hourofday - 2.25661)*(0.340633*windspeed - 3.87611))) + 3.68174,36,0.5076082061922829,0.8404121495241101,0.5076082061922829,0.8404121495241101,0.2761537790215114,0.11148452117231722
6,1.26965*(0.235229*carsperhour - 1.95258)*(-0.226233*windspeed - 0.0471359)*(-0.347904*carsperhour + (1.11737 - 0.254554*hourofday)*(0.00140792*day - 0.414833) + 0.365284) + 3.74698,30,0.5090857965686071,0.8519508902659972,0.5090857965686071,0.8519508902659972,0.27404674411346786,0.09928532847721905
7,0.164715*(0.796397*carsperhour - 4.18512)**2 + 0.164715*(-0.0908123*temperatureat2m - 1.95074)*(0.0907721*temperatureat2m - 0.749014)*(-0.417122*temperaturediff2m25m - 0.765992)*(0.982003*windspeed - 2.67075) + 2.81617,33,0.5103164341055766,0.7569309126489906,0.5103164341055766,0.7569309126489906,0.2722918624554038,0.19974403907341598
8,0.662423*(2.21925 - 0.242393*carsperhour)*(-0.453784*windspeed - 0.267709) + 0.662423*exp(2*(1.58195 - 0.00779548*day)**2*(0.00208503*day - 3.7178)) + 3.71247,31,0.51122568674082,0.8099239354246324,0.51122568674082,0.8099239354246324,0.27099527371647714,0.14371781309288012
9,1.89302*(0.732772 - 0.0907558*temperatureat2m)*(0.951135 - 0.361828*windspeed)*(-0.0218682*temperatureat2m - 0.41715)*(-0.488896*temperaturediff2m25m - 0.90243) + 0.0153533*exp(0.522505*carsperhour) + 2.59672,30,0.5112171195009866,0.7481137472158105,0.5112171195009866,0.7481137472158105,0.2710074905484786,0.20906587951944122
