Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,-0.0457532*ozone + 2.21623*(9.0526 - 0.106174*temperature)**2*(-0.0325434*ozone + (0.194369 - 0.00135909*radiation)*(30.758 - 0.466577*temperature) + 0.637485) + 11.6977,30,4.937312713468865,35.74369466404936,4.937312713468865,35.74369466404936,0.5444252742993702,-1.595552243050502
1,-0.0807691*ozone - 2.54697*(0.00409962*ozone + 0.0590936)/(-0.0617936*temperature + (0.883707 - 0.00741428*radiation)*(6.98694 - 0.0730655*temperature) + 4.91226) + 12.6617,30,4.997659110026043,13.285507544458257,4.997659110026043,13.285507544458257,0.5388570037331654,0.03526400303083732
2,-6.86512*(0.489311 - 0.00791639*ozone)*(0.00260732*ozone + (0.00498369*radiation - 1.2242)*(-0.0551732*ozone + (0.13998*temperature - 10.4133)**2 - 0.303895) - 1.52965) + 8.40781,32,5.003538401458914,29.87435226966449,5.003538401458914,29.87435226966449,0.5383145109365196,-1.1693460279358843
3,2.88465*(5.38017 - 0.0550145*temperature)*(8.92267 - 0.132677*temperature)*(0.0109947*ozone - 0.14127)*exp((0.108009*temperature - 9.0406)**2) + 11.4748,27,5.112822710209647,13086.111918037495,5.112822710209647,13086.111918037495,0.528230651178826,-949.25675048177
4,-0.0335531*temperature + 0.469383*(0.540637 - 0.0116692*ozone)*((2.20536 - 0.00166381*radiation)*(0.0202873*radiation + 1.6704) + 1/(0.790006 - 0.0525845*ozone)) + 12.3138,31,5.1155743888607335,12.693158081859387,5.1155743888607335,12.693158081859387,0.5279767488397529,0.07827785458616165
5,-0.0474066*ozone + 1.6266*(1.87651 - 0.0261503*ozone)**2*(0.00737604*ozone + (1.56443 - 0.00648726*radiation)*(0.0862569*temperature - 5.72847) - 0.968166)**2 + 10.7644,32,5.147391941682095,30.307337670123996,5.147391941682095,30.307337670123996,0.5250408860049938,-1.2007875517608158
6,11.2635 - 3.94411*log(0.0310877*ozone + (9.97096 - 0.119242*temperature)*(0.102475*temperature - 6.6676)*(-0.00341484*radiation - 0.0131713*temperature + 1.7595) + 0.271948),29,5.149262993228023,230.94412688803473,5.149262993228023,230.94412688803473,0.5248682407130553,-15.770161904009225
7,-1.95559*(0.0151842*ozone - 1.14343)*((10.6003 - 0.126679*temperature)*(0.00321505*radiation - 0.859264)*(0.266606*temperature - 17.6121) + 1/(0.00508396*ozone + 0.246539)) + 7.34566,33,5.151977944154852,24.88708907881125,5.151977944154852,24.88708907881125,0.5246177273071682,-0.8071925828774476
8,7.85909 - 3.97431*log(0.0137489*ozone + (0.00193368*radiation - 0.384688)*(0.0908114*temperature - 6.01522)*(-0.00292386*radiation + 0.133785*temperature - 10.7622) + 0.166265),29,5.153733122135355,141.60476830861248,5.153733122135355,141.60476830861248,0.5244557738775542,-9.282724756479533
9,0.509993*(-0.022326*ozone + 1.35581 + 129.768*exp(-0.0744544*radiation))*(0.0223371*radiation + 0.439799 + 1/(0.0279165*ozone - 1.98716)) + 9.10805,27,5.156001401681373,11.625992162397441,5.156001401681373,11.625992162397441,0.5242464756434821,0.1557708200448339
