Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.00960692*expc - 0.0108875*vrel + 0.0448777*exp((1.14072*prel + 0.0291394)*(0.904247*expb + 1.3322*expd - 1.71075)) + 0.086727,25,2.4475370771314975e-05,2.825478443927241e-05,2.4475370771314975e-05,2.825478443927241e-05,0.8734295793699608,0.8003081487375635
1,-0.0260882*(0.443803 - 0.145387*expc)*(-0.862363*expb - 1.76135*expd + 0.960194*vrel + 3.10285 + 1/(-0.522982*prel - 0.188379)) + 0.1132,27,2.4749388671813714e-05,2.824722111044081e-05,2.4749388671813714e-05,2.824722111044081e-05,0.8720125401246581,0.8003616028751923
2,0.0131829*(0.360079*expc - 1.06363)*(-0.707405*expb - 1.44909*expd + 0.792204*vrel + 2.45561 + 1/(-0.637856*prel - 0.227999)) + 0.111874,27,2.4803261861509862e-05,2.821370994449356e-05,2.4803261861509862e-05,2.821370994449356e-05,0.8717339436390632,0.8005984444189794
3,-0.00941449*(0.328449*expc - 0.957328)*(1.11157*expb + 2.27209*expd - 1.23149*vrel - 2.80973 + 4.6243*exp(-1.76067*prel)) + 0.111354,26,2.4892328487573217e-05,2.8587392697548998e-05,2.4892328487573217e-05,2.8587392697548998e-05,0.871273349990441,0.7979574261906199
4,0.0181248*(1.10433 - 0.363439*expc)*(-0.555129*vrel - 0.893472) + 0.0181248*(-0.333943*expb - 0.804934)*(-1.40114*expd - 1.6526) + 0.0705461 + 0.0181248/(0.773463*prel + 0.309364),35,2.4955756426157907e-05,2.8713077475869546e-05,2.4955756426157907e-05,2.8713077475869546e-05,0.8709453426666146,0.797069143849897
5,-0.00543039*(0.460961*expc - 1.22854)*(1.49715*expb + 3.06011*expd - 1.67045*vrel - 3.31323 + 6.25753*exp(-1.78903*prel)) + 0.10849,26,2.5012252349180154e-05,2.8470386111932507e-05,2.5012252349180154e-05,2.8470386111932507e-05,0.870653183139896,0.7987843750474365
6,0.00997681*expb + 0.0324949*(-0.197257*vrel - 0.678327)*(-0.340935*expc - 0.707615*expd + 1.76454) + 0.115579 + 0.0324949/(1.34698*prel + 0.556917),29,2.5102750584308656e-05,2.9177686687620593e-05,2.5102750584308656e-05,2.9177686687620593e-05,0.870185186156581,0.7937854991345195
7,0.0100699*expb + 0.00967868*expc + 0.0205428*expd - 0.0108628*vrel - 0.0104269*log(1.63267*prel - 0.191512) + 0.0972626,22,2.5138893952858745e-05,2.8560017753898626e-05,2.5138893952858745e-05,2.8560017753898626e-05,0.8699982765729382,0.7981508997309154
8,0.010064*expb + 0.00878971*(0.760943*expc - 1.64174)*(-1.42173*expd + 0.774508*vrel + 0.614714) + 0.094544 + 0.0406178*exp(-1.66457*prel),26,2.5162739366160612e-05,2.923767628624154e-05,2.5162739366160612e-05,2.923767628624154e-05,0.8698749638754549,0.7933615201786419
9,-0.0113855*(0.24174*expb - 1.56059 + 1.08209*exp(-1.94065*prel))*(0.647793*expc + 1.34015*expd - 0.710802*vrel - 2.88182) + 0.139602,26,2.516623123668238e-05,2.551119008109431e-05,2.516623123668238e-05,2.551119008109431e-05,0.8698569062319219,0.819698614719539
