Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,329.167*(8.95671 - 2.27564*Voltage10)*(-0.00183148*dischargeCycles + 6.83694*initialCapacity - 18.7252) + 329.167*(43.8935 - 12.0702*Voltage10)**2*(0.00326713*dischargeCycles - 0.653849)**2 + 2597.21,33,530.1112664897938,1462.7933107696447,530.1112664897938,1462.7933107696447,0.9962932459801307,0.980879083516303
1,1064.56*initialCapacity + 228.273*(0.427016 - 0.00227473*dischargeCycles)*(58.3177 - 16.1721*Voltage10)**2 + 228.273*(72.9855 - 19.7106*Voltage10)*(-0.0035208*dischargeCycles - 0.220901) - 553.982,31,617.0170847779824,1411.1266359637127,617.0170847779824,1411.1266359637127,0.9956855650805663,0.9815544449406965
2,1.50799*dischargeCycles - 834.861*(2.94921*initialCapacity - 5.93708)**2 - 834.861*log((9.55121*Voltage10 - 37.1482)*(-0.00684432*dischargeCycles - 0.976065)) + 2455.52,28,667.9349094258769,1116.1034098169087,667.9349094258769,1116.1034098169087,0.9953295268992871,0.985410843808788
3,224.428*(0.0374545*Temperature10 + 1.10808 + 3.36235*exp(-0.00892119*dischargeCycles))*(-0.0016825*dischargeCycles + (6.09176 - 2.4088*initialCapacity)*(4.28192*Voltage10 - 16.4474) + 0.877319) + 1735.93,31,677.0181376495796,1639.9837138929176,677.0181376495796,1639.9837138929176,0.9952660132657163,0.9785629374997137
4,-987.826*(13.6979 - 3.50166*Voltage10)*(-1.67679*initialCapacity + (0.421681 - 0.0100663*dischargeCycles)*(1.24866 - 0.00633564*dischargeCycles)*(7.17851*DeltaVoltage3 - 2.76835) + 5.01391) + 2983.7,30,698.8380775691048,3005.9257732224246,698.8380775691048,3005.9257732224246,0.9951134393531761,0.9607080130577456
5,4039.92*Voltage10 + 1020.77*initialCapacity + 297.91*(0.855784 - 0.004841*dischargeCycles)*exp((8.15886*Voltage10 - 29.9493)**2) - 15428.9,23,706.4530837886128,1584.0997471770206,706.4530837886128,1584.0997471770206,0.9950601921262262,0.9792934252948693
6,2027.95 - 614.208*log((6.47154 - 3.20499*initialCapacity)*(35.4013 - 9.30003*Voltage10) + (-0.0160119*dischargeCycles - 1.01663)*(5.48288*Voltage10 + 0.00274395*dischargeCycles - 21.2332)),31,696.0170063880682,900.159188754503,696.0170063880682,900.159188754503,0.9951331654325893,0.9882335607201053
7,1309.8 - 695.168*(-1.31031*initialCapacity + (31.8022 - 8.41638*Voltage10)*(1.04138*initialCapacity - 3.22896)**2 + 0.799882)/(0.00586906*dischargeCycles + 1.16441),29,710.2464506995217,1945.1111368973402,710.2464506995217,1945.1111368973402,0.9950336673588147,0.9745744615276138
8,230.375*(1.40817 - 0.00260005*dischargeCycles)*(14.7588 - 6.58853*initialCapacity)*(9.21642*Voltage10 + (13.2554 - 7.28438*initialCapacity)*log(0.00555865*dischargeCycles + 0.494404) - 34.5618) + 1848.92,31,727.6032996151533,2544.782710992608,727.6032996151533,2544.782710992608,0.9949123011974873,0.9667358489215104
9,2141.03*Voltage10 + 1040.47*initialCapacity - 232.109*log((6.25375*Voltage10 - 23.7744)*(-0.0321715*dischargeCycles - 1.64731)) - 8065.54,22,734.5846618717046,1273.2622194613664,734.5846618717046,1273.2622194613664,0.9948634846673652,0.9833565409542666
