Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.0700203*(0.270939*logRe - 1.71404)*(2.18027*logRe - 9.77431)*(-0.735601*logRe + 0.00921939*rk + 2.57587) + 0.369757 + 0.525455*exp(-0.0212186*rk),28,0.00027449343556203734,0.0012643946691941698,0.00027449343556203734,0.0012643946691941698,0.9920385258268987,0.8724222088164941
1,-0.256748*(3.4738 - 0.968475*logRe)*(0.259027*logRe - 2.18887 + 1/(0.551087*logRe + (4.23102 - 0.496678*logRe)*(0.00792253*rk + 0.353372) - 2.91411)) + 0.559791,32,0.00029834178973991613,0.00045265401808634496,0.00029834178973991613,0.00045265401808634496,0.991346822378802,0.9543270774507463
2,0.193491*(0.243836*logRe + 114.558*exp(-1.30728*logRe + 0.00123556*rk) - 2.13596)*log(0.0236646*rk - 0.133132) + 0.56913,25,0.00030376451524233446,0.00044299616996821786,0.00030376451524233446,0.00044299616996821786,0.9911895403332518,0.9553015571448766
3,0.367256*(1.49567 - 0.209743*logRe)*(-0.586632*logRe + 0.00064471*rk + 1.84394)*(-0.120765*logRe + log(0.00732032*rk - 0.0124768) + 1.9846) + 0.620138,28,0.0003153575486087019,0.0005212991190681979,0.0003153575486087019,0.0005212991190681979,0.9908532931820394,0.9474007667249862
4,0.0363677*(0.0096504*rk - 0.904615)*(0.0100301*rk + (0.869172*logRe - 6.43843)*(1.09434*logRe - 3.68816) - 3.65922 + 1/(0.613218 - 0.00915779*rk)) + 0.641686,32,0.00032228235896961257,0.01032010298898549,0.00032228235896961257,0.01032010298898549,0.9906524443029792,-0.04130140390435
5,0.0603318*(0.00661736*rk - 0.429617)*((1.293*logRe - 6.0219)*log(0.396015*logRe - 1.43084) + 1/(-0.0015882*rk - 0.0558445)) + 0.523449,29,0.0003157526799737354,0.0006459893056298011,0.0003157526799737354,0.0006459893056298011,0.9908418326961037,0.9348194905053332
6,0.0240531*logRe - 0.129929*(8.83451 - 1.62386*logRe)*(1.52965*logRe - 8.29872)*(0.00104471*rk - 0.0293677) - 0.129929*log(0.00832663*rk - 0.0591288) + 0.301988,30,0.0003193909272633691,0.000618267897340786,0.0003193909272633691,0.000618267897340786,0.9907363080893951,0.9376165886932453
7,0.0236555*logRe - 0.141436*(0.174355 - 0.00602245*rk)*(1.8354 - 0.389841*logRe)*(6.21694 - 1.01033*logRe) + 0.1613 - 0.141436/(-0.00588996*rk - 0.197629),31,0.0003198610671973223,0.0008456181712740673,0.0003198610671973223,0.0008456181712740673,0.9907226720367359,0.9146768796925275
8,0.143073*(2.1805 - 0.00181765*rk)*(0.0040148*rk - 0.261399)*((0.506736*logRe - 3.28492)*(0.941099*logRe - 3.96296) + 1/(-0.0080948*rk - 0.154979)) + 0.52477,33,0.00032785973501854826,0.0005461014162704171,0.00032785973501854826,0.0005461014162704171,0.990490676735473,0.9448982076977858
9,-0.147066*(0.498049 - 0.0078911*rk)*((2.99998 - 0.00291538*rk)*(0.376171*logRe - 2.34439)*(0.507567*logRe - 2.25849) + 1/(-0.00623029*rk - 0.144945)) + 0.528813,33,0.00032791083711919893,0.0005415655770006305,0.00032791083711919893,0.0005415655770006305,0.9904891945577529,0.9453558752040649
