id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,1.7968000000000006,"t[0]",1.7968000000000006,1,4.9695760000000005e-2,5.729387999999998e-2,7.47773758024692e-2,5.729387999999998e-2,0.0,-5.879493298599714e-3,-9.877734840781915e-4,4.9695760000000005e-2,5.729387999999998e-2,7.47773758024692e-2
1,0,(1.153265051248997 + Sin(Sin(x0))),"(t[0] + np.sin(np.sin(x[:, 0])))",1.153265051248997,5,4.6573912666930575e-2,5.3918396288559316e-2,5.241198364241019e-2,5.3918396288559316e-2,6.281918886177484e-2,5.338215638024224e-2,0.298400696105095,6.978045718266384,6.985390201888013,6.9838837892418635
2,0,(0.7805259189949492 ^ (-1.6266012424056744 - Sin(x0))),"t[0] ** (t[1] - np.sin(x[:, 0]))",0.7805259189949492;-1.6266012424056744,6,3.517989000799056e-2,3.966523892296308e-2,4.988308665579201e-2,3.966523892296308e-2,0.2920947379013712,0.30361758656599946,0.33225311385631995,9.691807364612592,9.696292713527564,9.706510561260393
3,0,((x0 + 0.78982025524176) ^ (1.1563748717187177 / x0)),"(x[:, 0] + t[0]) ** (t[1] / x[:, 0])",0.78982025524176;1.1563748717187177,7,1.495760654794662e-2,1.2421762201635132e-2,1.801180683161706e-2,1.2421762201635132e-2,0.6990164443013525,0.7819174426787565,0.7588896611666022,11.28102299358665,11.278487149240338,11.284077193870319
4,0,(Sin((-3.7272937412088316 / (-1.2493749571946398 - x0))) * 2.008087222311457),"(np.sin((t[0] / (t[1] - x[:, 0]))) * t[2])",-3.7272937412088316;-1.2493749571946398;2.008087222311457,8,1.0982346403994673e-2,1.1339405417056263e-2,1.1286943902293192e-2,1.1339405417056263e-2,0.7790083821236525,0.8009198299152378,0.8489102790121837,14.345058100228435,14.345415159241496,14.345362697726733
5,0,(1.1155014180066125 ^ ((x0 + 0.7689070098539983) ^ (3.303349584226235 / x0))),"t[0] ** (x[:, 0] + t[1]) ** (t[2] / x[:, 0])",1.1155014180066125;0.7689070098539983;3.303349584226235,9,5.779708647322017e-3,6.25130368635454e-3,6.836462742600739e-3,6.25130368635454e-3,0.8836981535784538,0.890249042576869,0.9084854804573551,14.490720920554224,14.491192515593257,14.491777674649503
6,0,(Sin((((0.2887233669024318 ^ x0) * 3.4235777281227473) + 0.5529980721799836)) + 1.0479214249051687),"(np.sin(((t[0] ** x[:, 0] * t[1]) + t[2])) + t[3])",0.2887233669024318;3.4235777281227473;0.5529980721799836;1.0479214249051687,10,5.378315257510138e-3,5.1011288200679995e-3,5.319723027453334e-3,5.1011288200679995e-3,0.8917751683944438,0.9104420773600795,0.9287889197547012,17.922973007538058,17.922695821100618,17.922914415308004
7,0,(Sin((0.7768042474781403 * (Sin((2.8205356447114327 - x0)) + x0))) * 2.0712416127860416),"(np.sin((t[0] * (np.sin((t[1] - x[:, 0])) + x[:, 0]))) * t[2])",0.7768042474781403;2.8205356447114327;2.0712416127860416,11,3.381220550605815e-3,3.3778709999671714e-3,3.429761828262287e-3,3.3778709999671714e-3,0.9319615888638022,0.9406964379114311,0.9540883907838394,19.712735382059208,19.71273203250857,19.712783923336865
8,0,(Sin((2.5362979411900795 * Sin((0.6523107813612108 - Sin((0.9740158567193665 - x0)))))) + 1.1624778476789206),"(np.sin((t[0] * np.sin((t[1] - np.sin((t[2] - x[:, 0])))))) + t[3])",2.5362979411900795;0.6523107813612108;0.9740158567193665;1.1624778476789206,12,1.64558484737653e-3,1.5760400484078837e-3,1.7688880773899358e-3,1.5760400484078837e-3,0.9668868159501629,0.9723302669445528,0.9763212426335157,21.50275921558404,21.50268967078507,21.50288251881405
9,0,(Sin((Sin(((Sin((1.0579158218384774 - x0)) * 0.8006971922474156) + -0.835022394551204)) * 2.208324267207385)) * -2.144145757002304),"(np.sin((np.sin(((np.sin((t[0] - x[:, 0])) * t[1]) + t[2])) * t[3])) * t[4])",1.0579158218384774;0.8006971922474156;-0.835022394551204;2.208324267207385;-2.144145757002304,14,1.4190177853783063e-3,1.3380941962580393e-3,1.4624438244080981e-3,1.3380941962580393e-3,0.9714458982943754,0.9765077611759261,0.9804233784359218,25.086051586978147,25.085970663389027,25.08609501301718
