-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,7448,211.49579,228.60175,0.0012167406,0.0019069391,0.96470934,0.8075892,211.49579,121.425735,5.864,Inf,9,"(0.95840275 + (X1 * (-0.7062964 / (40.678684 + X1)))) [likelihood params: Float32[]]"
2,14749,211.49579,228.60175,0.0012167406,0.0019069391,0.96470934,0.8075892,211.49579,121.425735,5.712,Inf,9,"(0.95840275 + (X1 * (-0.7062964 / (40.678684 + X1)))) [likelihood params: Float32[]]"
3,22175,211.49579,228.60175,0.0012167406,0.0019069391,0.96470934,0.8075892,211.49579,121.425735,5.77,Inf,9,"(0.95840275 + (X1 * (-0.7062964 / (40.678684 + X1)))) [likelihood params: Float32[]]"
4,29824,211.49579,228.60175,0.0012167406,0.0019069391,0.96470934,0.8075892,211.49579,121.425735,6.244,Inf,9,"(0.95840275 + (X1 * (-0.7062964 / (40.678684 + X1)))) [likelihood params: Float32[]]"
5,38025,211.49579,228.60175,0.0012167406,0.0019069391,0.96470934,0.8075892,211.49579,121.425735,6.902,Inf,9,"(0.95840275 + (X1 * (-0.7062964 / (40.678684 + X1)))) [likelihood params: Float32[]]"
6,46514,211.4955,242.5623,0.0012141354,0.0018129919,0.9647849,0.8170685,211.4955,121.41954,7.268,Inf,16,"((exp(-0.21771438) + (X1 * -0.00010306111)) / (0.8295399 + (X1 * (2.0787604 / (129.75977 + X1))))) [likelihood params: Float32[]]"
7,54509,211.4955,242.5623,0.0012141354,0.0018129919,0.9647849,0.8170685,211.4955,121.41954,7.944,Inf,16,"((exp(-0.21771438) + (X1 * -0.00010306111)) / (0.8295399 + (X1 * (2.0787604 / (129.75977 + X1))))) [likelihood params: Float32[]]"
8,62390,211.4955,242.5623,0.0012141354,0.0018129919,0.9647849,0.8170685,211.4955,121.41954,8.312,Inf,16,"((exp(-0.21771438) + (X1 * -0.00010306111)) / (0.8295399 + (X1 * (2.0787604 / (129.75977 + X1))))) [likelihood params: Float32[]]"
9,69927,211.4955,242.5623,0.0012141354,0.0018129919,0.9647849,0.8170685,211.4955,121.41954,9.19,Inf,16,"((exp(-0.21771438) + (X1 * -0.00010306111)) / (0.8295399 + (X1 * (2.0787604 / (129.75977 + X1))))) [likelihood params: Float32[]]"
10,77128,211.49431,277.03574,0.0012038962,0.0015918503,0.9650819,0.83938175,211.49431,121.404945,10.15,Inf,34,"((((exp(-0.18725275) + (X1 * 0.00094606)) / (0.89319247 + (X1 * (0.6354988 / (155.32527 + (-32.27745 / (-55.2651 + X1))))))) + (X1 * 0.00015810956)) / (0.8693121 + (X1 * (0.9109502 / (33.196434 + X1))))) [likelihood params: Float32[]]"
