Complexity,Loss,Equation
1,0.00022729844,"0.08261554"
5,0.000108461536,"powabs(0.07949216, powabs(x0, 0.08530942))"
6,0.000108036074,"powabs(0.12758246, powabs(1.2221901, sqrtabs(x0)))"
7,0.0001073984,"powabs(2.0059385, powabs(0.4492255, x0)) * 0.05846832"
8,0.00010213202,"powabs(0.12758246, powabs(1.2221901, sqrtabs(x5 - x0)))"
9,9.1575974e-5,"powabs(powabs(x1, 0.07949216), x5 - x0) * 0.10698036"
10,7.9575606e-5,"powabs(powabs(x1, 0.08530942), x5 - sqrtabs(x0)) * 0.10718548"
13,7.354893e-5,"0.10718548 * powabs(0.6054881, powabs(0.086193494, powabs(powabs(x1, 0.45321408), x5 - x0)))"
15,7.318648e-5,"powabs(0.6054881, powabs(0.08252147, powabs(powabs(x1, powabs(0.10739179, 0.33543158)), x5 - x0))) * 0.10739179"
17,7.134177e-5,"powabs(0.6054881, powabs(0.07834725, powabs(powabs(powabs(x1, 0.33543158), powabs(x1, 0.10718548)), x5 - x0))) * 0.10739179"
19,7.133776e-5,"powabs(0.6054881, powabs(0.07834725, powabs(powabs(powabs(x5 - x1, 0.33543158), powabs(x1, 0.10718548)), x5 - x0))) * 0.10739179"
24,6.5330554e-5,"powabs(log(powabs(1.1753166, powabs(powabs(0.50593936, powabs(0.055643022, powabs(powabs(x1, 0.16503172), x5 - x0))), powabs(2.6254668, powabs(x0, 0.3574331 - x0))))), 1.1753166)"
25,6.46219e-5,"powabs(0.40074247, powabs(0.25539565, powabs(powabs(0.52691454 - x1, powabs(x0, 0.45659918)), 0.56026906 - powabs(powabs(powabs(0.52984285, x5), 0.7380957), 0.5813055)) / 0.80654603)) * 0.14694269"
28,5.8932314e-5,"powabs(log(powabs(1.2230413, powabs(powabs(0.4137121, powabs(powabs(0.044949703, powabs(powabs(x1, 0.1445184), -0.21292222 - x0)), powabs(1.4749249, x5))), powabs(2.6387253, powabs(x0, 0.1744453 - x0))))), 1.2651995)"
34,5.2412506e-5,"powabs(log(powabs(1.2237792, powabs(powabs(0.42510796, powabs(powabs(0.041180894, powabs(powabs(x1, 0.14593597), -0.20897648 - x0)), powabs(1.2002436, x3))), powabs(2.6303487, powabs(x0, 0.1513752 - x0))))), powabs(powabs(1.493019, powabs(0.60520375, x5)), 0.62215084))"
36,5.232057e-5,"powabs(log(powabs(1.2182326, powabs(powabs(0.44497302, powabs(powabs(0.06054326, powabs(powabs(x1, 0.1843333), x5 - x0)), powabs(powabs(1.1998636, x0), x3))), powabs(2.6309059, powabs(x0, 0.07209497 - x0))))), powabs(powabs(1.4210831, powabs(1.4210831, x5)), 0.5676766))"
38,5.0944658e-5,"powabs(log(powabs(1.2230413, powabs(powabs(0.4137121, powabs(powabs(0.044949703, powabs(powabs(x1, 0.1445184), -0.21292222 - x0)), powabs(1.1926926, x3))), powabs(2.6387253, powabs(x0, 0.1744453 - x0))))), powabs(powabs(1.4749249, powabs(powabs(0.5146672, powabs(x0, 0.5146672)), x5)), 0.6054881))"
40,5.006477e-5,"powabs(log(powabs(1.2230413, powabs(powabs(0.4137121, powabs(powabs(0.044949703, powabs(powabs(x1, 0.1445184), -0.21292222 - x0)), powabs(1.1926926, x3))), powabs(2.6387253, powabs(x0, 0.1744453 - x0))))), powabs(powabs(1.4749249, powabs(powabs(0.5146672, powabs(x0, 1.2221901 - x0)), x5)), 0.6054881))"
42,4.8780916e-5,"powabs(log(powabs(1.2230413, powabs(powabs(0.4137121, powabs(powabs(0.044949703, powabs(powabs(x1, 0.1445184), -0.21292222 - x0)), powabs(1.1926926, x0 * x3))), powabs(2.6387253, powabs(x0, 0.1744453 - x0))))), powabs(powabs(1.4749249, powabs(powabs(0.5146672, powabs(x0, 1.2221901 - x0)), x5)), 0.6054881))"
