Complexity,Loss,Equation
1,0.113488264,"2.9721615"
3,0.11249192,"log(sqrtabs(x48))"
4,0.06525807,"log(x48 - 330.13202)"
6,0.06469302,"log(x48 + -328.3027) + -0.09954549"
7,0.061767813,"log((x48 + -330.0567) + sin(x46))"
9,0.060363006,"log(x48 + (sin(x19 + -329.2205) + -330.15903))"
10,0.059348766,"log(-330.0567 + (x48 + (sin(x46) + sin(x53))))"
12,0.058554504,"sqrtabs(log(x46 / powabs(0.092935964, sin(x48 * 0.17884181) + 1.355252)))"
14,0.057097428,"log(-330.12677 + ((x48 + sin((x53 + -329.87015) + x53)) + sin(x46)))"
16,0.056531508,"log(sin(x46 + -433.8252) + (x48 + (sin((x46 * 0.20197435) + -32.3108) + -329.49084)))"
17,0.050512135,"sqrtabs(log(powabs(0.12949012, sin(x48 * 0.21446083) + 1.3130099) / (x46 / sqrtabs(sin(sqrtabs(x46))))))"
19,0.04824139,"sqrtabs(log(powabs(-0.84966344 / x48, sin((sqrtabs(x48) + sqrtabs(x46)) + sqrtabs(x31)) + 1.03411) / x46))"
22,0.047539696,"sqrtabs(log((x46 / 0.12949012) / powabs(0.12949012, (sin(sqrtabs(x46)) + sin(x48 * 0.21439669)) + (sin(sqrtabs(x46)) + 1.3130099))))"
24,0.04747441,"sqrtabs(log(((x46 - 1.3130093) / 0.12786251) / powabs(0.12786251, ((sin(x48 * 0.21424252) + sin(sqrtabs(x46))) + sin(sqrtabs(x46))) + 1.3134437)))"
25,0.047270343,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / 2.9721615)) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
27,0.046208963,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / 2.9721615)) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46) + 0.058544807)) + 0.9885842)))"
28,0.045747943,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46))) / (sqrtabs(sqrtabs(x46)) + sin(x46)))) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
30,0.044584654,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / (sqrtabs(sqrtabs(x46)) + sin(x46)))) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
32,0.044563845,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / ((sin(x46) + sqrtabs(sqrtabs(x44))) + 0.14197896))) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
33,0.044309,"sqrtabs(log((x48 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / ((sin(-660.0679) + sqrtabs(sqrtabs(x46))) + sin(x46)))) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
34,0.043938734,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / ((sin(sqrtabs(x15)) + sqrtabs(sqrtabs(x46))) + sin(x46)))) / powabs(0.14197896, (sin(x48 * 0.21446083) + sin(sqrtabs(x46))) + 0.9885842)))"
37,0.04373306,"sqrtabs(log((x46 / (sqrtabs(sin(sqrtabs(x46) + 0.058544807)) / ((sin(0.058544807) + sqrtabs(sqrtabs(x49))) + (sin(sqrtabs(x15)) + sin(x46))))) / powabs(0.14197896, (sin(0.21446083 * x48) + sin(sqrtabs(x46))) + 0.9885842)))"
