Complexity,Loss,Equation
1,8164.348,"340.27826"
3,4758.9033,"x5 / 0.2532358"
5,4089.5242,"x2 / (x0 / x5)"
6,4022.6208,"x5 / sin(x0 / x2)"
7,3522.305,"x5 / (x0 / (x5 + 16.224138))"
9,3175.0012,"(x5 / (x0 / (x5 + x1))) - x1"
11,2639.9453,"x5 / ((x0 / x5) - ((x1 / x3) / x3))"
13,2576.3486,"(x5 / ((x0 / x5) - ((x1 / x3) / x3))) + x18"
15,2572.1426,"((x5 + -0.49357456) / ((x0 / x5) - ((x1 / x3) / x3))) + x18"
16,2550.2478,"((x5 + sin(x5)) / ((x0 / x5) - ((x1 / x3) / x3))) + x18"
17,2012.3126,"(204956.44 / (((x3 + (-688.8056 / (x0 + x0))) / (x5 + -52.635265)) / x6)) / 120487.5"
19,1972.8335,"((-709.8532 + 268000.56) / (((x3 + (-709.8532 / (x0 + x0))) / (x5 + -52.635265)) / x6)) / 167213.64"
21,1879.783,"(177930.8 / (((x3 + (-1091.7599 / ((x0 + x0) + x0))) / (x5 + -48.387394)) / (x6 - 32.215984))) / 73298.414"
22,1858.4496,"(320846.28 / (((x3 + (-1063.9325 / ((x0 + x0) + x0))) / (x5 + -54.03887)) / (x6 + sin(x5)))) / 192127.1"
24,1823.4905,"(204956.39 / ((((-1428.3127 / (((x0 + x0) + x0) + x0)) + x3) / ((sin(x5) + -54.770947) + x5)) / x6)) / 120487.58"
25,1821.4757,"(204956.39 / ((((-1428.3127 / (((x0 + x0) + x0) + x0)) + x3) / ((sin(sin(x5)) + -54.770947) + x5)) / x6)) / 120487.58"
27,1744.6226,"(204956.39 / ((((-1428.3127 / (x0 + ((x0 + x0) + x0))) + x3) / (sin(x5) + (sin(x12) + (-54.770947 + x5)))) / x6)) / 120487.58"
30,1728.3342,"(204956.39 / ((((-1428.238 / ((x0 + sin(x0)) + (x0 + (x0 + x0)))) + x3) / (sin(x5) + (sin(x12) + (-54.770947 + x5)))) / x6)) / 120487.58"
31,1662.2208,"(204956.39 / ((((-1431.7523 / ((x0 + x0) + (x0 + x0))) + x3) / ((sin(x12) + -54.73771) + (x5 - sin(sin(x22))))) / (x6 - sin(x22)))) / 120487.5"
32,1634.0665,"(204956.44 / ((((-1431.7523 / ((x0 + x0) + (x0 + x0))) + x3) / ((sin(x12) + -54.73771) + (x5 - sin(x5 + 240975.0)))) / (x6 - sin(x22)))) / 120487.52"
41,1597.3433,"(204956.48 / ((((-1418.7192 / (((x0 + x0) + x0) + (x0 + sin(x15)))) + x3) / ((sin(x5) + (sin(x15 + -1428.238) + -53.873383)) + (x5 - sin(x15 + sin(x0))))) / (x6 + sin(x0)))) / 120487.43"
44,1548.8278,"(204956.48 / ((((-1418.7192 / ((x0 + (x0 + x0)) + (x0 + sin(x5)))) + x3) / ((sin(x5) + (sin(x15 + -1428.238) + -53.873383)) + (x5 - sin(x15 + sin(x0))))) / (sin(x6) + (x6 + sin(x6))))) / 120487.43"
45,1544.8912,"(204956.44 / ((((-1426.3793 / ((x0 + (x0 + x0)) + (x0 + sin(x5)))) + x3) / ((sin(x5) + (sin(x15 + -1428.3127) + -53.91948)) + (x5 - sin(x15 + sin(x0))))) / (sin(sin(x5)) + (x6 + sin(x6))))) / 120487.51"
46,1538.5319,"(204956.48 / ((((-1428.238 / ((x0 + (x0 + x0)) + (x0 + sin(x15)))) + x3) / ((sin(x5) + (sin(x15 + -1428.238) + -53.873383)) + (x5 - sin(x15 + sin(x0))))) / ((sin(x5 - x3) + x6) + sin(x6)))) / 120487.43"
47,1506.3939,"(204956.48 / ((((-1418.7192 / ((x0 + (x0 + x0)) + (x0 + sin(x5)))) + x3) / ((sin(x5) + (sin(x15 + -1428.238) + -53.873383)) + (x5 - sin(x15 + sin(x0))))) / (sin(x3 - (x15 + sin(sin(x0)))) + x6))) / 120487.43"
49,1497.2101,"(204956.48 / ((((-1418.7192 / ((x0 + (x0 + x0)) + (x0 + sin(x5)))) + x3) / (((sin(x5) + sin(x15 + -1428.238)) + -53.873383) + (x5 - sin(x15 + sin(x0))))) / (sin(x3 - (x15 + sin(x0))) + (x6 + sin(x5))))) / 120487.43"
50,1482.3452,"(204956.48 / ((((-1418.7192 / ((x0 + (x0 + x0)) + (x0 + sin(x5)))) + x3) / (((sin(x5) + sin(x15 + -1428.238)) + -53.873383) + (x5 - sin(x15 + sin(x0))))) / (sin(x3 - (x15 + sin(sin(x0)))) + (x6 + sin(x6))))) / 120487.43"
