-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
1,58920,-24.649742,-24.649742,0.038485598,0.048627958,0.27944565,0.34905457,-41.95941,-12.640671,7.774,5,"(1.9097769 + pdiv(-0.11321696, X1)) [likelihood params: Float32[-0.19617748]]"
2,104867,-97.03191,-97.03191,0.014416113,0.017796842,0.73009145,0.7617672,-140.15317,-94.528725,7.014,20,"(0.37573594 + pdiv(((exp(X1) + ((X1 + X1) + -0.5139704)) - pdiv(exp(pdiv(-39.45756, X1)), X1)), exp(X1))) [likelihood params: Float32[-0.120067105]]"
3,151948,-97.03191,-97.03191,0.014416113,0.017796842,0.73009145,0.7617672,-140.15317,-94.528725,5.554,20,"(0.37573594 + pdiv(((exp(X1) + ((X1 + X1) + -0.5139704)) - pdiv(exp(pdiv(-39.45756, X1)), X1)), exp(X1))) [likelihood params: Float32[-0.120067105]]"
4,195852,-100.61543,-100.61543,0.014416113,0.01779684,0.73009145,0.76176727,-140.15317,-94.52873,3.478,18,"(0.37573594 + pdiv(((exp(X1) + ((X1 + X1) + -0.5139704)) - pdiv(exp(-10522.522), X1)), exp(X1))) [likelihood params: Float32[-0.120067105]]"
5,230776,-119.172554,-119.172554,0.012026488,0.016375482,0.77483165,0.7807939,-158.27667,-98.91304,2.464,17,"(0.33805096 + pdiv(((exp(X1) + ((X1 + X1) + -0.248645)) - pdiv(0.07440989, X1)), exp(X1))) [likelihood params: Float32[-0.10966534]]"
6,266131,-119.172554,-119.172554,0.012026488,0.016375482,0.77483165,0.7807939,-158.27667,-98.91304,2.562,17,"(0.33805096 + pdiv(((exp(X1) + ((X1 + X1) + -0.248645)) - pdiv(0.07440989, X1)), exp(X1))) [likelihood params: Float32[-0.10966534]]"
7,313277,-119.17258,-119.17258,0.012026486,0.016375482,0.7748317,0.7807939,-158.27669,-98.91305,3.58,17,"(0.33805093 + pdiv(((exp(X1) + ((X1 + X1) + -0.24864496)) - pdiv(0.074409895, X1)), exp(X1))) [likelihood params: Float32[-0.10966533]]"
8,373856,-135.70802,-135.70802,0.00850033,0.010022439,0.84085083,0.8658372,-192.97733,-141.8074,5.298,23,"(1.3832687 + pdiv(((1.2364242 + ((X1 + 1.8384533) + pdiv(((-1.691416 + -0.78638685) - pdiv(0.029804997, X1)), exp(X1)))) - 1.4724386), exp(X1))) [likelihood params: Float32[-0.09219723]]"
9,447940,-159.4335,-159.4335,0.0070336247,0.008182965,0.8683115,0.89046085,-211.9176,-158.41733,8.522,26,"(0.32425493 + pdiv(((exp(-38546.508) + ((X1 + X1) + (35636.035 + pdiv(54250.45, X1)))) - pdiv(-54250.49, X1)), (52436.324 + pdiv(pdiv(31975.105, X1), X1)))) [likelihood params: Float32[0.08386672]]"
10,534578,-159.4335,-159.4335,0.0070336247,0.008182965,0.8683115,0.89046085,-211.9176,-158.41733,11.754,26,"(0.32425493 + pdiv(((exp(-38546.508) + ((X1 + X1) + (35636.035 + pdiv(54250.45, X1)))) - pdiv(-54250.49, X1)), (52436.324 + pdiv(pdiv(31975.105, X1), X1)))) [likelihood params: Float32[0.08386672]]"
11,626472,-181.86314,-181.86314,0.0070346408,0.008184361,0.8682925,0.8904422,-211.90314,-158.40317,15.27,15,"(0.32422537 + pdiv((26066.55 - pdiv(-79334.32, X1)), (38344.535 + pdiv(pdiv(23379.715, X1), X1)))) [likelihood params: Float32[0.08387278]]"
12,720037,-185.21416,-185.21416,0.0054197805,0.0056895437,0.8985271,0.9238384,-237.98227,-188.73398,19.386,24,"(0.33678272 + pdiv(((exp(-38546.508) + ((X1 + X1) * (3285.071 + X1))) - pdiv(-109521.56, X1)), (38864.734 + pdiv(pdiv(29883.766, X1), X1)))) [likelihood params: Float32[0.07361917]]"
13,818611,-191.0805,-191.0805,0.004015461,0.004371493,0.9248197,0.9414821,-267.97263,-209.87595,21.988,32,"((0.2758625 + pdiv(-0.2869833, pdiv((-1.5824159 + pdiv((53.351494 - pdiv(132.6354, X1)), exp(X1))), X1))) + pdiv(((1.603588 * ((X1 + X1) + X1)) - pdiv(exp(-805541.1), X1)), exp(X1))) [likelihood params: Float32[-0.063367665]]"
14,922996,-191.0805,-191.0805,0.004015461,0.004371493,0.9248197,0.9414821,-267.97263,-209.87595,23.644,32,"((0.2758625 + pdiv(-0.2869833, pdiv((-1.5824159 + pdiv((53.351494 - pdiv(132.6354, X1)), exp(X1))), X1))) + pdiv(((1.603588 * ((X1 + X1) + X1)) - pdiv(exp(-805541.1), X1)), exp(X1))) [likelihood params: Float32[-0.063367665]]"
15,1035252,-232.58452,-232.58452,0.002409513,0.0026850754,0.9548874,0.96405697,-319.04535,-249.16333,25.364,33,"(1.6825001 + pdiv(((X1 * 0.6562135) + pdiv((-2.9324055 - (X1 - 2.8937664)), exp(X1))), exp(((-47.765236 + ((X1 * 2.8351645) + pdiv(((-81.54127 - 76.15162) - pdiv(-158.5329, X1)), 2996.7546))) - -44.53167)))) [likelihood params: Float32[0.049087036]]"
16,1154541,-266.43216,-266.43216,0.0018123083,0.0018574088,0.9660687,0.9751363,-347.52765,-279.4817,27.252,31,"(1.7833984 + pdiv((-2.639058 + pdiv((exp(X1) + (10.736292 + pdiv(((exp(X1) + ((-28.475164 + X1) + X1)) - (34.79204 * X1)), exp(exp(X1))))), exp(X1))), exp(X1))) [likelihood params: Float32[0.04257123]]"
17,1277590,-281.7757,-281.7757,0.0016945079,0.0017393949,0.96827424,0.97671604,-354.2486,-284.7946,26.762,30,"(1.742751 + pdiv(((53.586548 + (X1 + (71.118866 + pdiv((((-42.92506 + ((X1 * -149.58694) + pdiv(X1, 295.0199))) - 45.634037) - 45.634037), exp(X1))))) * 0.27776188), exp(exp(X1)))) [likelihood params: Float32[0.041153897]]"
18,1404704,-305.71088,-305.71088,0.001336075,0.0013790528,0.97498506,0.98153967,-378.01422,-303.58597,28.156,28,"(1.7309723 + pdiv(((exp(X1) + ((-26.60996 + (X1 + (X1 + X1))) - pdiv((exp(X1) - 23.781376), exp(X1)))) - (-19.265703 * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.03655238]]"
19,1534667,-315.71017,-315.71017,0.0013530941,0.0013974238,0.9746664,0.98129374,-376.7484,-302.5125,29.378,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(0.022693804, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
20,1661480,-315.71072,-315.71072,0.0013530937,0.001397429,0.9746664,0.9812937,-376.74847,-302.5122,30.526,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(X1, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
21,1785424,-315.71072,-315.71072,0.0013530937,0.001397429,0.9746664,0.9812937,-376.74847,-302.5122,31.436,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(X1, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
22,1910902,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,30.462,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
23,2027684,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,31.314,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
