gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.01953411,0.012605873,0.01608925,0.032307964,0.032307964,0.026793627,0.013838022,0.019706849,0.04088157,0.04088157,1197.3104,597.9822,899.31226,2302.3152,2302.3152,1227.6025,627.40186,956.2772,2333.49,2333.49,11,8,10,17,17
2,0.01953411,0.012091854,0.014697463,0.027854145,0.027854145,0.022558933,0.01308484,0.016375346,0.036710765,0.036710765,1197.3104,553.51685,778.91565,1917.0366,1917.0366,1227.6025,604.5786,827.2182,1939.234,1939.234,12,8,8,17,17
3,0.01953411,0.008990962,0.012083433,0.024451535,0.024451535,0.019837081,0.010037226,0.013072475,0.031683903,0.031683903,1197.3104,285.27365,552.7883,1622.6934,1622.6934,1220.7687,326.49072,590.9555,1664.5005,1664.5005,13,8,8,17,17
4,0.01953411,0.0075815083,0.008325351,0.024451535,0.024451535,0.019837081,0.0077704624,0.009460019,0.07239203,0.07239203,1197.3104,163.34854,227.69485,1622.6934,1622.6934,1220.7687,235.03198,285.25513,1664.5005,1664.5005,13,8,8,24,24
5,0.012083436,0.0037530055,0.006279449,0.024451535,0.024451535,0.013072483,0.0040138913,0.006419125,0.03540921,0.03540921,552.7887,-167.83679,50.713654,1622.6934,1622.6934,590.2921,-113.447235,99.054016,1664.5005,1664.5005,20,8,13,26,26
6,0.0068572545,0.0013011807,0.0014929413,0.017602297,0.017602297,0.0077704624,0.0013588214,0.0015360776,0.029787626,0.029787626,100.69681,-379.93237,-363.3441,1030.1987,1030.1987,140.15964,-298.3863,-289.34998,1068.5944,1068.5944,23,13,13,36,36
7,0.006311712,0.0013011807,0.0014929413,0.011550567,0.011550567,0.006406617,0.0013588214,0.0015360776,0.015079032,0.015079032,53.504547,-379.93237,-363.3441,506.69272,506.69272,111.2379,-298.3863,-289.34998,569.66003,569.66003,24,13,16,33,33
8,0.006008583,0.0013011807,0.0014929413,0.009548761,0.009548761,0.0069220765,0.0013588214,0.0015360776,0.18046506,0.18046506,27.28238,-379.93237,-363.3441,333.5261,333.5261,92.9959,-298.3863,-289.34998,365.82764,365.82764,22,13,18,37,37
9,0.004157471,0.0013011807,0.0014929413,0.006781384,0.006781384,0.006225031,0.0013588214,0.001533927,0.009316714,0.009316714,-132.84845,-379.93237,-363.3441,94.13364,94.13364,-86.34813,-298.3863,-289.34998,154.29314,154.29314,25,15,17,31,31
10,0.0021513824,0.0013011807,0.0014305712,0.004563967,0.004563967,0.0021523756,0.0013588214,0.0014221065,0.005468343,0.005468343,-306.3855,-379.93237,-368.7394,-97.68442,-97.68442,-221.51256,-298.3863,-289.34998,57.106735,57.106735,31,15,23,47,47
11,0.0018911947,0.0013011826,0.0014305712,0.0038335696,0.0038335696,0.0018432591,0.0013587736,0.0014221065,0.0057624257,0.0057624257,-328.8931,-379.9322,-368.7394,-160.86758,-160.86758,-233.50049,-298.3863,-290.43118,-83.475845,-83.475845,31,23,25,47,47
12,0.0018911947,0.0013011826,0.0014305712,0.0026872843,0.0026872843,0.0018432591,0.0013587736,0.0014221065,0.005568282,0.005568282,-328.8931,-379.9322,-368.7394,-260.02722,-260.02722,-233.50049,-298.3863,-290.43118,-188.85558,-188.85558,31,23,26,47,47
13,0.0017868443,0.0013011826,0.0014215587,0.0026872843,0.0026872843,0.0018432591,0.0013587736,0.001372424,0.0032132813,0.0032132813,-337.91995,-379.9322,-369.51904,-260.02722,-260.02722,-248.137,-298.3863,-290.43118,-192.55736,-192.55736,31,23,26,43,43
14,0.0014929413,0.0013011826,0.0013351173,0.0022479058,0.0022479058,0.0015339259,0.0013417182,0.0013587736,0.0032132813,0.0032132813,-363.3441,-379.9322,-376.99667,-298.0357,-298.0357,-267.80264,-312.21646,-298.3863,-202.26042,-202.26042,32,20,23,48,48
15,0.0014929413,0.0013011826,0.0013012801,0.0022479058,0.0022479058,0.0015339259,0.0012928294,0.0013177381,0.0032132813,0.0032132813,-363.3441,-379.9322,-379.92377,-298.0357,-298.0357,-267.80264,-312.21646,-298.3863,-202.26042,-202.26042,31,20,23,48,48
16,0.0014253431,0.0013011826,0.0013012801,0.0018618921,0.0018618921,0.001462881,0.0012928294,0.0013158474,0.0017842641,0.0017842641,-369.19165,-379.9322,-379.92377,-331.42792,-331.42792,-268.03888,-312.21646,-298.3863,-219.20717,-219.20717,31,20,23,54,54
17,0.001361913,0.0013011826,0.0013303276,0.0015940851,0.0015940851,0.0014230103,0.0013122495,0.0013158474,0.0015360776,0.0015360776,-374.6787,-379.9322,-377.411,-354.5946,-354.5946,-281.58633,-312.21646,-298.3863,-219.20717,-219.20717,32,20,23,54,54
18,0.0014253431,0.0013011812,0.0013303258,0.0015940851,0.0015940851,0.0014591375,0.0013121626,0.0013158029,0.0015493467,0.0015493467,-369.19165,-379.9323,-377.41116,-354.5946,-354.5946,-288.32166,-312.21646,-298.3863,-223.4653,-223.4653,31,20,23,54,54
19,0.0014700748,0.0013011812,0.0013305115,0.0016438449,0.0016438449,0.0014705396,0.0013121626,0.0013158029,0.002072823,0.002072823,-365.32214,-379.9323,-377.39508,-350.29016,-350.29016,-288.32166,-312.21646,-298.3863,-243.10782,-243.10782,30,20,23,47,47
20,0.0014700748,0.0012970478,0.0013320729,0.0015752679,0.0015752679,0.00147054,0.0013121626,0.0013525138,0.0017128508,0.0017128508,-365.32214,-380.28986,-377.26,-356.2224,-356.2224,-288.57172,-312.21646,-300.5154,-260.59033,-260.59033,32,20,23,39,39
21,0.0014253388,0.0012970478,0.0013320729,0.0015892987,0.0015892987,0.0014630085,0.0013121626,0.0013525138,0.0017128508,0.0017128508,-369.19205,-380.28986,-377.26,-355.00867,-355.00867,-288.57172,-312.21646,-300.5154,-260.59033,-260.59033,32,20,21,39,39
22,0.0014929413,0.0012970478,0.0013320729,0.0015892987,0.0015892987,0.0014630085,0.0013121626,0.0013525138,0.0017128508,0.0017128508,-363.3441,-380.28986,-377.26,-355.00867,-355.00867,-293.3879,-312.21646,-300.5154,-260.59033,-260.59033,29,20,21,39,39
