-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
1,88863,-3144.5867,-3094.3997,0.00011495695,0.00014923389,0.40551895,-0.054717183,-3144.5867,-2988.2239,7.568,17,"((4.648199 - (X2 + -2.0067294)) * (-0.022512052 * pdiv((241423.39 - X17), (-349801.16 - (X13 * X11))))) [likelihood params: Float32[-0.010721797]]"
2,172052,-3144.5867,-3094.3997,0.00011495695,0.00014923389,0.40551895,-0.054717183,-3144.5867,-2988.2239,7.868,17,"((4.648199 - (X2 + -2.0067294)) * (-0.022512052 * pdiv((241423.39 - X17), (-349801.16 - (X13 * X11))))) [likelihood params: Float32[-0.010721797]]"
3,253866,-3144.5867,-3094.3997,0.00011495695,0.00014923389,0.40551895,-0.054717183,-3144.5867,-2988.2239,8.634,17,"((4.648199 - (X2 + -2.0067294)) * (-0.022512052 * pdiv((241423.39 - X17), (-349801.16 - (X13 * X11))))) [likelihood params: Float32[-0.010721797]]"
4,329415,-3144.5867,-3094.3997,0.00011495695,0.00014923389,0.40551895,-0.054717183,-3144.5867,-2988.2239,9.968,17,"((4.648199 - (X2 + -2.0067294)) * (-0.022512052 * pdiv((241423.39 - X17), (-349801.16 - (X13 * X11))))) [likelihood params: Float32[-0.010721797]]"
5,394635,-3144.5867,-3094.3997,0.00011495695,0.00014923389,0.40551895,-0.054717183,-3144.5867,-2988.2239,10.326,17,"((4.648199 - (X2 + -2.0067294)) * (-0.022512052 * pdiv((241423.39 - X17), (-349801.16 - (X13 * X11))))) [likelihood params: Float32[-0.010721797]]"
6,462545,-3144.588,-3080.7583,0.000114956696,0.00014920931,0.4055202,-0.054543495,-3144.588,-2988.331,11.71,25,"pdiv((318.96136 + (319.53217 - ((4.040341 - (X2 + -1.3988731)) * (-71256.67 * pdiv((-2573.034 - X17), (-349798.44 - (X3 + (-3.452594 + -2.3338335)))))))), 33747.707) [likelihood params: Float32[-0.010721782]]"
7,530108,-3199.6,-3164.9856,0.00010241499,0.00012598468,0.47037762,0.10959768,-3199.6,-3090.0781,13.296,9,"((4.6488624 - (X1 + -2.0073955)) * (-5.357618e-9 * -2.8993475e6)) [likelihood params: Float32[0.010724547]]"
8,595888,-3199.6,-3164.9856,0.00010241499,0.00012598468,0.47037762,0.10959768,-3199.6,-3090.0781,15.424,9,"((4.6488624 - (X1 + -2.0073955)) * (-5.357618e-9 * -2.8993475e6)) [likelihood params: Float32[0.010724547]]"
9,666812,-3227.7656,-3208.5825,9.748358e-5,0.00014293214,0.4958796,-0.010179281,-3227.7656,-2986.627,16.668,5,"(-0.020089364 * (X1 + -5.3730474)) [likelihood params: Float32[0.009873377]]"
10,740133,-3227.7656,-3208.5825,9.748358e-5,0.00014293214,0.4958796,-0.010179281,-3227.7656,-2986.627,18.15,5,"(-0.020089364 * (X1 + -5.3730474)) [likelihood params: Float32[0.009873377]]"
11,811472,-3227.7656,-3208.5825,9.748358e-5,0.00014293214,0.4958796,-0.010179281,-3227.7656,-2986.627,20.192,5,"(-0.020089364 * (X1 + -5.3730474)) [likelihood params: Float32[0.009873377]]"
12,880829,-3227.7656,-3208.5825,9.748358e-5,0.00014293214,0.4958796,-0.010179281,-3227.7656,-2986.627,21.534,5,"(-0.020089364 * (X1 + -5.3730474)) [likelihood params: Float32[0.009873377]]"
