-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,115632,49230.08,49244.004,5432.12,4429.9165,0.3346535,0.35871518,49230.08,25096.934,7.482,Inf,4,"log(abs((abs(X11) ^ 0.9172566))) [likelihood params: Float32[]]"
2,206200,49230.08,49244.004,5432.12,4429.9165,0.3346535,0.35871518,49230.08,25096.934,7.218,Inf,4,"log(abs((abs(X11) ^ 0.9172566))) [likelihood params: Float32[]]"
3,270485,48525.594,48535.5,5331.0303,4335.8853,0.34703535,0.37232733,48525.594,24707.646,8.28,Inf,3,"pdiv(X11, 1.69655) [likelihood params: Float32[]]"
4,336419,45020.46,45035.12,4828.0615,4008.1968,0.40864086,0.41976428,45020.46,23351.014,8.106,Inf,5,"pdiv(X11, (0.063856825 * X1)) [likelihood params: Float32[]]"
5,389269,45020.46,45035.12,4828.0615,4008.1968,0.40864086,0.41976428,45020.46,23351.014,8.828,Inf,5,"pdiv(X11, (0.063856825 * X1)) [likelihood params: Float32[]]"
6,436649,44989.53,45025.363,4823.6235,4005.2053,0.4091844,0.4201973,44989.53,23338.63,8.64,Inf,13,"(pdiv(X11, (0.063856825 * X1)) - log(abs((log(abs((X17 * -1.4597274))) + -1.7805378)))) [likelihood params: Float32[]]"
7,494509,44989.53,45025.363,4823.6235,4005.2053,0.4091844,0.4201973,44989.53,23338.63,9.084,Inf,13,"(pdiv(X11, (0.063856825 * X1)) - log(abs((log(abs((X17 * -1.4597274))) + -1.7805378)))) [likelihood params: Float32[]]"
8,545982,43495.125,43580.42,4609.1836,3643.0461,0.4354499,0.4726243,43495.125,21839.291,10.186,Inf,28,"(((X12 - ((pdiv(X6, (log(abs(exp(pdiv(X7, X12)))) + -1654.4592)) * (X15 + X18)) * X18)) + X2) + (exp(((X11 * -0.71893626) * X6)) + -102.155)) [likelihood params: Float32[]]"
9,606459,43438.53,43531.254,4601.063,3638.8472,0.43644446,0.47323215,43438.53,21821.908,10.708,Inf,30,"(((X12 - ((pdiv(X6, (log(abs(((X1 * exp(X8)) + X2))) + -1665.1726)) * (X15 + X18)) * X18)) + X2) + (exp(((X11 * -0.71893626) * X6)) + -102.16313)) [likelihood params: Float32[]]"
10,677877,43303.65,43394.785,4581.7075,3583.248,0.43881524,0.4812808,43303.65,21591.727,12.274,Inf,30,"(((X12 - ((pdiv(X6, (log(abs(((X1 * exp(X8)) + X2))) + -1665.1726)) * (X16 + X18)) * X18)) + X2) + (exp(((X11 * -0.71893626) * X6)) + -102.16313)) [likelihood params: Float32[]]"
11,734900,42472.58,42551.867,4462.453,3503.717,0.45342195,0.49279392,42472.58,21262.469,13.512,Inf,29,"(((X12 - ((pdiv(X6, (exp(exp(pdiv(X7, X12))) + -2.3399548e7)) * (2.5089948e6 + X18)) * X18)) + X2) + (exp(((exp(7.537719) * -0.71893626) * X6)) + -117.87021)) [likelihood params: Float32[]]"
12,783798,42472.492,42574.094,4462.441,3503.8289,0.45342344,0.49277776,42472.492,21262.932,14.242,Inf,33,"(((X12 - ((pdiv(X6, (log(abs(((X1 * exp(log(abs(-2.4532283e14)))) + X2))) + -1.4139763e8)) * (X16 + (1.5169037e7 + X10))) * X18)) + X2) + (exp(((X11 * -0.71893626) * X6)) + -117.97924)) [likelihood params: Float32[]]"
13,843602,42472.492,42574.094,4462.441,3503.8289,0.45342344,0.49277776,42472.492,21262.932,16.704,Inf,33,"(((X12 - ((pdiv(X6, (log(abs(((X1 * exp(log(abs(-2.4532283e14)))) + X2))) + -1.4139763e8)) * (X16 + (1.5169037e7 + X10))) * X18)) + X2) + (exp(((X11 * -0.71893626) * X6)) + -117.97924)) [likelihood params: Float32[]]"
14,917279,40785.082,40820.527,4220.3066,3261.4775,0.48308098,0.52786106,40785.082,20259.598,17.454,Inf,12,"((-3037.969 - X15) + ((log(abs(X24)) * 643.3664) - (-4.5952597 * X6))) [likelihood params: Float32[]]"
15,1001659,34473.945,34572.49,3314.6904,2682.7551,0.5940043,0.6116382,34473.945,17863.688,18.644,Inf,34,"(((X12 - ((pdiv(X6, (exp(-359614.38) + -5.022085e6)) * (2.5723534e7 + X18)) * ((X24 * exp(-40.21131)) - log(abs(pdiv(X4, X13)))))) + X2) + (exp(((exp(7.537719) * -0.71893626) * X6)) + -697.542)) [likelihood params: Float32[]]"
16,1093005,33992.79,34039.316,3245.647,2408.7332,0.602461,0.6513063,33992.79,16729.234,19.68,Inf,14,"((385.3256 - X15) + ((log(abs(X24)) * (-4.3841305 * X1)) - (-7.5587063 * X6))) [likelihood params: Float32[]]"
17,1174658,33992.79,34039.316,3245.647,2408.7332,0.602461,0.6513063,33992.79,16729.234,21.19,Inf,14,"((385.3256 - X15) + ((log(abs(X24)) * (-4.3841305 * X1)) - (-7.5587063 * X6))) [likelihood params: Float32[]]"
18,1260638,33507.97,33553.777,3176.078,2352.7495,0.61098206,0.6594106,33507.97,16497.465,22.13,Inf,14,"((414.26584 - X15) + ((log(abs(1451.8263)) * (-3.0122352 * X1)) - (-7.433072 * X6))) [likelihood params: Float32[]]"
19,1344838,33507.926,33591.055,3176.0715,2352.7625,0.61098284,0.6594087,33507.926,16497.516,24.738,Inf,19,"((414.31485 - X15) + ((log(abs((log(abs((X16 * X17))) + 2.8584758e9))) * (-1.007325 * X1)) - (-7.43319 * X6))) [likelihood params: Float32[]]"
20,1444319,32293.121,32403.596,3001.7532,2367.973,0.632334,0.65720683,32293.121,16560.488,25.948,Inf,29,"((((pdiv(3.4532556e7, (-2.2986644e7 - X21)) + (43984.395 + X17)) - 43668.98) - X15) + ((log(abs((log(abs((X16 * X17))) + 2.8545213e9))) * (-1.0428903 * X1)) - (-7.050748 * X6))) [likelihood params: Float32[]]"
