-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,45678,11761.653,11796.384,0.00020911585,0.0001314879,0.07999414,0.13570768,11761.653,5484.6323,6.84,Inf,10,"(exp(pdiv(0.016429009, (X6 + (X14 * X4)))) + -0.9185666) [likelihood params: Float32[]]"
2,69294,11761.653,11796.384,0.00020911585,0.0001314879,0.07999414,0.13570768,11761.653,5484.6323,6.45,Inf,10,"(exp(pdiv(0.016429009, (X6 + (X14 * X4)))) + -0.9185666) [likelihood params: Float32[]]"
3,88769,3676.8525,3709.1162,0.000108957276,0.00014752927,0.5206421,0.030265093,3676.8525,6776.9243,6.496,Inf,9,"(abs(log(abs((-0.469223 * 0.94595647)))) ^ (log(abs(X1)) - -12.1857195)) [likelihood params: Float32[]]"
4,111551,3676.8467,3715.754,0.0001089572,0.00014752988,0.5206424,0.0302611,3676.8467,6776.973,7.526,Inf,10,"(abs(log(abs((-0.46922436 * 0.9459543)))) ^ (log(abs(X1)) - log(abs(-5.1029315e-6)))) [likelihood params: Float32[]]"
5,145880,3676.8467,3715.754,0.0001089572,0.00014752988,0.5206424,0.0302611,3676.8467,6776.973,9.606,Inf,10,"(abs(log(abs((-0.46922436 * 0.9459543)))) ^ (log(abs(X1)) - log(abs(-5.1029315e-6)))) [likelihood params: Float32[]]"
6,176665,3676.8467,3715.754,0.0001089572,0.00014752988,0.5206424,0.0302611,3676.8467,6776.973,12.182,Inf,10,"(abs(log(abs((-0.46922436 * 0.9459543)))) ^ (log(abs(X1)) - log(abs(-5.1029315e-6)))) [likelihood params: Float32[]]"
7,219961,3676.8418,3709.975,0.00010895714,0.00014752998,0.52064276,0.030260444,3676.8418,6776.981,15.246,Inf,9,"(abs((-0.6347405 * 1.2796333)) ^ (log(abs(X1)) - log(abs(5.1030156e-6)))) [likelihood params: Float32[]]"
8,268302,3422.1367,3471.6863,0.00010580173,0.00014312277,0.5345249,0.05922979,3422.1367,6421.937,19.938,Inf,13,"(abs(log(abs(((X8 - exp(-0.69040823)) * 0.8855433)))) ^ (log(abs(X1)) - log(abs(-5.0558906e-6)))) [likelihood params: Float32[]]"
9,325837,3422.1367,3471.6863,0.00010580173,0.00014312277,0.5345249,0.05922979,3422.1367,6421.937,24.208,Inf,13,"(abs(log(abs(((X8 - exp(-0.69040823)) * 0.8855433)))) ^ (log(abs(X1)) - log(abs(-5.0558906e-6)))) [likelihood params: Float32[]]"
10,385197,3422.1367,3471.6863,0.00010580173,0.00014312277,0.5345249,0.05922979,3422.1367,6421.937,27.362,Inf,13,"(abs(log(abs(((X8 - exp(-0.69040823)) * 0.8855433)))) ^ (log(abs(X1)) - log(abs(-5.0558906e-6)))) [likelihood params: Float32[]]"
11,450302,3422.1367,3471.6863,0.00010580173,0.00014312277,0.5345249,0.05922979,3422.1367,6421.937,31.814,Inf,13,"(abs(log(abs(((X8 - exp(-0.69040823)) * 0.8855433)))) ^ (log(abs(X1)) - log(abs(-5.0558906e-6)))) [likelihood params: Float32[]]"
