-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,44892,7787.1855,7816.994,0.0012307154,0.0014637542,0.96430403,0.8523067,7787.1855,5430.453,7.516,Inf,9,"(abs(pdiv(X1, (log(abs(log(abs(166071.14)))) - -3.1480196))) ^ -0.26693964) [likelihood params: Float32[]]"
2,75092,7787.1855,7816.994,0.0012307154,0.0014637542,0.96430403,0.8523067,7787.1855,5430.453,7.748,Inf,9,"(abs(pdiv(X1, (log(abs(log(abs(166071.14)))) - -3.1480196))) ^ -0.26693964) [likelihood params: Float32[]]"
3,94849,7590.1914,7640.57,0.0012033075,0.009016373,0.965099,0.09024489,7590.1914,36585.004,8.738,Inf,15,"(-0.66961974 - (abs(pdiv((X2 + log(abs(X1))), pdiv((22.287441 - X1), 0.3326056))) ^ log(abs(1.2802358)))) [likelihood params: Float32[]]"
4,119167,6492.4395,6550.2954,0.0010505768,0.009151325,0.9695288,0.07662821,6492.4395,37141.68,9.278,Inf,19,"(-0.66961974 - (abs(pdiv((X2 + log(abs(X1))), pdiv((22.318014 - X1), 0.32747635))) ^ pdiv((log(abs(20574.732)) + X2), 60.95731))) [likelihood params: Float32[]]"
5,155479,6492.4395,6550.2954,0.0010505768,0.009151325,0.9695288,0.07662821,6492.4395,37141.68,11.096,Inf,19,"(-0.66961974 - (abs(pdiv((X2 + log(abs(X1))), pdiv((22.318014 - X1), 0.32747635))) ^ pdiv((log(abs(20574.732)) + X2), 60.95731))) [likelihood params: Float32[]]"
6,205513,6492.4395,6550.2954,0.0010505768,0.009151325,0.9695288,0.07662821,6492.4395,37141.68,12.674,Inf,19,"(-0.66961974 - (abs(pdiv((X2 + log(abs(X1))), pdiv((22.318014 - X1), 0.32747635))) ^ pdiv((log(abs(20574.732)) + X2), 60.95731))) [likelihood params: Float32[]]"
7,235286,5774.1133,5839.459,0.0009506357,0.0073332945,0.97242755,0.26006812,5774.1133,29642.303,14.55,Inf,19,"(-0.66961974 - (abs(pdiv((X2 + log(abs(0.08589225))), pdiv((22.398708 - X1), 0.91390723))) ^ pdiv((log(abs(2.1937325)) + X2), 26.016804))) [likelihood params: Float32[]]"
8,275369,5774.1133,5839.459,0.0009506357,0.0073332945,0.97242755,0.26006812,5774.1133,29642.303,16.674,Inf,19,"(-0.66961974 - (abs(pdiv((X2 + log(abs(0.08589225))), pdiv((22.398708 - X1), 0.91390723))) ^ pdiv((log(abs(2.1937325)) + X2), 26.016804))) [likelihood params: Float32[]]"
9,312302,4670.833,4763.866,0.0007971358,0.22526893,0.97687966,-21.729712,4670.833,928626.7,19.286,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + log(abs(0.2017324))), pdiv((32.811287 - X1), 2.0052028))) ^ pdiv(((X2 - pdiv((X2 + log(abs(X1))), pdiv((56.684406 - X1), log(abs(-8.771925))))) + X2), 35.312458))) [likelihood params: Float32[]]"
10,343619,4489.685,4585.817,0.00077193265,0.31224254,0.97761065,-30.505377,4489.685,1.2873929e6,22.358,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + log(abs(0.086563885))), pdiv((31.92221 - X1), 2.422684))) ^ pdiv(((-1.2193896 - pdiv((X2 + log(abs(X1))), pdiv((55.114388 - X1), log(abs(-2.7819858))))) + X2), 13.767075))) [likelihood params: Float32[]]"
