Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test

0,(0.129243 * X1),3,3030.9883688744917,2230.037336720715,3030.9883688744917,2230.037336720715,-1.371723799879688,-1.4946078064854418

0,exp(((-0.005021) * X1)),4,6391.464850250908,5674.017356770303,6391.464850250908,5674.017356770303,-4.001269373746728,-5.347179824866655

0,sin(exp(((-0.005158) * X1))),5,6393.153623276481,5675.515763946713,6393.153623276481,5675.515763946713,-4.002590824933568,-5.3488560022911384

0,(exp((0.000176 * X2)) / ((-0.048762) * X1)),8,6437.296307395487,5714.940756883938,6437.296307395487,5714.940756883938,-4.0371321170054,-5.392958355885118

0,(exp((0.000246 * X2)) / exp((0.005120 * X1))),9,6389.688910879391,5672.516586118324,6389.688910879391,5672.516586118324,-3.999879715601608,-5.34550100356509

0,(log(abs(((12474330.000000 * X2) + (-1336.102661)))) / ((-0.048762) * X1)),11,6659.968063307975,5916.443173177906,6659.968063307975,5916.443173177906,-4.211370958857094,-5.618366914044861

0,(log(abs(((384.620972 * X2) + 0.418531))) * exp(((-0.005243) * X1))),11,6058.336167628582,5379.545219231192,6058.336167628582,5379.545219231192,-3.740598883186145,-5.017771666087688

0,((378.118195 * X2) / (((0.081585 * X2) - (-0.431273)) / exp(((-0.005243) * X1)))),16,692100.8528394093,609613.6158420502,692100.8528394093,609613.6158420502,-540.563300424604,-680.9378581596593

0,((380.379059 * X2) / ((exp(((-0.007684) * X1)) - ((-0.026031) * X2)) / exp(((-0.005243) * X1)))),17,7784361.422082823,6934274.109759962,7784361.422082823,6934274.109759962,-6090.199636795314,-7755.952783559375

0,((378.118195 * X2) / ((exp(((-0.007553) * X1)) - ((-0.030201) * X2)) * (exp((0.005121 * X1)) - (0.000176 * X2)))),20,6295958.785484408,5610991.395668398,6295958.785484408,5610991.395668398,-4925.5366531709415,-6275.676496520026

0,(((11.676638 * X2) - (0.003305 * X1)) / ((exp(((-0.007685) * X1)) - ((-0.030201) * X2)) * (exp((0.005121 * X1)) - (0.000176 * X2)))),24,2.9416706907183574,2.840626447125358,2.9416706907183574,2.840626447125358,0.9976981665583969,0.9968223631086247
