Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"2.9722414",1,0.11348828645230037,0.14235157982550928,0.11348828645230037,0.14235157982550928,-2.7828368498461487e-09,-0.016576042535509483
1,"sqrtabs(sqrtabs(x56))",3,0.1118460231865907,0.16043770105437158,0.1118460231865907,0.16043770105437158,0.014470770559661839,-0.14573454970621502
2,"sqrtabs(x48) + -15.743651",4,0.07352678830275627,0.1331503136241018,0.07352678830275627,0.1331503136241018,0.35212002219918104,0.049133005392221096
3,"exp(sqrtabs(sin(sqrtabs(x48)) + 1.2941197))",7,0.06714627455908118,0.1408585927507863,0.06714627455908118,0.1408585927507863,0.408341804736296,-0.005914166539198407
4,"sin(powabs(x8, sin(sqrtabs(x48)))) + 2.3458197",8,0.06316089094497904,0.13709887280327118,0.06316089094497904,0.13709887280327118,0.44345894104857864,0.020935140156039478
5,"sqrtabs(sqrtabs(powabs(14.4198265, sin(sqrtabs(x48)) + 1.7606169)))",9,0.06057245185326975,0.14765212210377734,0.06057245185326975,0.14765212210377734,0.46626692572989126,-0.0544288313780279
6,"sqrtabs(sqrtabs(powabs(14.980146, sin(sin(sqrtabs(x48))) + 1.7364495)))",10,0.06043292080687182,0.14693954135992449,0.06043292080687182,0.14693954135992449,0.46749640104534473,-0.04934007498023529
7,"sqrtabs(sqrtabs(powabs(15.539173, sin(sin(sin(sqrtabs(x48)))) + 1.7138449)))",11,0.06031200079033707,0.14627108435712638,0.06031200079033707,0.14627108435712638,0.4685618856045999,-0.04456641967312458
8,"sqrtabs(sqrtabs(powabs(sin(x46) + 14.572292, sin(sqrtabs(x48)) + 1.7556716)))",12,0.05800253642536182,0.15155587464329068,0.05800253642536182,0.15155587464329068,0.4889116894794939,-0.08230671873636175
9,"sqrtabs(sqrtabs(powabs(sin(x46) + 14.572292, sin(sin(sqrtabs(x48))) + 1.7556716)))",13,0.057864090372502376,0.14981610758154723,0.057864090372502376,0.14981610758154723,0.4901316043938222,-0.0698825115956423
10,"sqrtabs(sqrtabs(powabs(sin(x46) + 14.572292, sin(sin(sin(sqrtabs(x48)))) + 1.7556716)))",14,0.05777027445185336,0.14822612306516178,0.05777027445185336,0.14822612306516178,0.4909582616977858,-0.058527947288445015
11,"sqrtabs(sqrtabs(powabs(sin(x46) + 14.995246, sin(sin(sin(sin(sqrtabs(x48))))) + 1.7357635)))",15,0.057707388520479165,0.14757463623405842,0.057707388520479165,0.14757463623405842,0.4915123799554054,-0.05387548115256613
12,"sqrtabs(sqrtabs(powabs(10.906388 / sqrtabs(powabs(0.32845175, sin(sqrtabs(x46)))), sin(sqrtabs(x48)) + 2.0919328)))",16,0.0504900033158795,0.1497506706962814,0.0504900033158795,0.1497506706962814,0.5551082403768064,-0.06941520684257285
13,"sqrtabs(sqrtabs(powabs(10.906388 / sqrtabs(powabs(0.32845175, sin(sqrtabs(x46)))), sin(sin(sqrtabs(x48))) + 2.0919328)))",17,0.05036605471640153,0.14836621810038103,0.05036605471640153,0.14836621810038103,0.5562004112404048,-0.05952840865780007
14,"sqrtabs(sqrtabs(powabs(10.906388 / sqrtabs(powabs(0.32845175, sin(sqrtabs(x46)))), sin(sin(sin(sqrtabs(x48)))) + 2.0919328)))",18,0.050274670263876726,0.14709643787934812,0.050274670263876726,0.14709643787934812,0.5570056437065547,-0.050460520872010806
15,"sqrtabs(sqrtabs(powabs(10.906388 / sqrtabs(powabs(sqrtabs(x48) / x0, sin(sqrtabs(x46)))), sin(sqrtabs(x48)) + 2.0919328)))",19,0.0471586168835695,0.12545809956982265,0.0471586168835695,0.12545809956982265,0.5844626922389455,0.10406545174245008
16,"sqrtabs(sqrtabs(powabs(10.906388 / sqrtabs(powabs(sqrtabs(x48) / x0, sin(sqrtabs(x46)))), sin(sin(sqrtabs(x48))) + 2.0919328)))",20,0.047004999845535966,0.12401803167586375,0.047004999845535966,0.12401803167586375,0.5858162860173273,0.11434941573089075
17,"sqrtabs(sqrtabs(powabs(4.9529614 / sqrtabs(powabs(x8 / x0, sin(sqrtabs(x46)))), sin(powabs(x8, sin(sqrtabs(x48)))) + 2.3458197)))",21,0.0442862551731382,0.11778322826812987,0.0442862551731382,0.11778322826812987,0.6097724559882809,0.15887404820767925
18,"sqrtabs(sqrtabs(powabs(5.809035 / sqrtabs(powabs(26.695 / x0, sin(sqrtabs(x46)))), sin(powabs(sqrtabs(x50), sin(sqrtabs(x48)))) + 2.0156608)))",22,0.04395359096794305,0.11095932328747198,0.04395359096794305,0.11095932328747198,0.6127037206722421,0.20760563466691462
19,"sqrtabs(sqrtabs(powabs(5.809035 / sqrtabs(powabs(26.695 / x0, sin(sqrtabs(x46)))), sin(powabs(sqrtabs(x50), sin(sin(sqrtabs(x48))))) + 2.0156608)))",23,0.043888003844078365,0.10992975437194426,0.043888003844078365,0.10992975437194426,0.6132816404390964,0.21495810026615625
20,"sqrtabs(sqrtabs(powabs(4.9585257 / sqrtabs(powabs(x8 / x0, sin(sqrtabs(x46)))), sin(powabs(x8, sin(sqrtabs(x48)))) + 2.3381107) + sin(x46)))",24,0.04364533841451039,0.11862485533770065,0.04364533841451039,0.11862485533770065,0.6154198825240649,0.15286373264445363
21,"sqrtabs(sqrtabs(powabs(5.5711336 / sqrtabs(powabs(26.656506 / x0, sin(sqrtabs(x46)))), sin(powabs(sqrtabs(x48), sin(sqrtabs(x48)))) + 2.1016107) + sin(x46)))",25,0.04339858370854683,0.10949501343876261,0.04339858370854683,0.10949501343876261,0.6175941571947283,0.21806271784696374
