Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.08261554,1,0.00022729847816751675,0.00015258630535614818,0.00022729847816751675,0.00015258630535614818,-7.287392911337065e-11,-0.0029760401146539106
1,powabs(((0.07949665; powabs(x0; 0.08536123)),5,0.00010846163293870374,0.00014915419111707556,0.00010846163293870374,0.00014915419111707556,0.5228228810811808,0.01958383733104163
2,0.17151362 / (sqrtabs(x0) + 1.1456457),6,0.00010773662258541406,0.00015201967025000603,0.00010773662258541406,0.00015201967025000603,0.5260125652321156,0.0007485499370016857
3,powabs(((0.080331884; powabs(x2 + x0; 0.08546523)),7,0.00010359132204244582,0.0001423235914115143,0.00010359132204244582,0.0001423235914115143,0.5442498212695945,0.06448254451384916
4,powabs((((0.07833357; powabs(x0; 0.08316999)) / powabs(0.8099247; x5),9,9.185379525999546e-05,0.0001267371047989931,9.185379525999546e-05,0.0001267371047989931,0.5958890881838907,0.16693520293190456
5,powabs((((0.07833357; powabs(x0; 0.08546523)) / powabs(sin(0.9862267); x5),10,9.121251960199201e-05,0.00012968730583447165,9.121251960199201e-05,0.00012968730583447165,0.5987103814156807,0.1475430238946056
6,powabs((((0.07933824; powabs(x2 + x0; 0.08233453)) / powabs(0.8099247; x5),11,8.974754405550473e-05,0.00012118920023979573,8.974754405550473e-05,0.00012118920023979573,0.6051555435584486,0.20340253420865362
7,sin(powabs((((0.07933824; powabs(x2 + x0; 0.082615316)) / powabs(0.8099247; x5)),12,8.967118489815241e-05,0.00012123170885493085,8.967118489815241e-05,0.00012123170885493085,0.6054914857872462,0.20312311776705705
8,0.11829139 / powabs((((x1; powabs(0.08632293; powabs(0.025132507; x0) + 0.19379091) * 0.198265),13,8.519821903232485e-05,9.044814044083841e-05,8.519821903232485e-05,9.044814044083841e-05,0.6251703059105247,0.4054688097772273
9,powabs((((((0.12121787; powabs(x0 + -0.26535803; 0.026018525)) / powabs(powabs(x1; 0.14092624); powabs(0.5373071; x5)),15,6.579543723058048e-05,6.499037374138292e-05,6.579543723058048e-05,6.499037374138292e-05,0.7105328739293861,0.5728070907244287
10,powabs((((((0.11991509; powabs(x0 + -0.2657123; 0.025597304)) / powabs(powabs(x1; 0.14415054); powabs(0.28298804 + 0.28298804; x5 + 0.18579921)),19,6.0029133864893716e-05,5.9656886549546116e-05,6.0029133864893716e-05,5.9656886549546116e-05,0.7359017343484923,0.6078650197514465
11,powabs((((((0.11991509; powabs(x0 + -0.2657123; 0.025597304)) / powabs(powabs(x1 + 0.7759391; 0.14415054); powabs(0.28298804 + 0.24478254; x5 + 0.18579921)),21,5.93091672969202e-05,5.888463510111954e-05,5.93091672969202e-05,5.888463510111954e-05,0.7390692283582647,0.6129411614006451
12,powabs(((((((0.12121787; powabs(x0 + -0.26535803; 0.026018525)) / powabs(powabs(x1 + sqrtabs(0.5373071); 0.14092624); powabs(0.5373071; powabs(x5; x0) + 0.11934901)),22,5.9245003263031826e-05,5.897488594660713e-05,5.9245003263031826e-05,5.897488594660713e-05,0.7393515181228523,0.6123479270640979
13,powabs((((((0.11991509; powabs(x0 + -0.2657123; 0.025597304)) / powabs(powabs(x1 + (x2 + 0.8099247); 0.14415054); powabs(0.28298804 + 0.24478254; x5 + 0.18579921)),23,5.908304032943028e-05,5.87697931113332e-05,5.908304032943028e-05,5.87697931113332e-05,0.7400640742953313,0.6136960375599829
14,powabs(((((((0.11991509; powabs(x0 + -0.2657123; 0.025597304)) / powabs(powabs(x1 + (x2 + powabs(0.07949665; 0.08908014)); 0.14415054); powabs(0.28298804 + 0.24478254; x5 + 0.18579921)),25,5.90829651988891e-05,5.8766225461994255e-05,5.90829651988891e-05,5.8766225461994255e-05,0.7400644048322614,0.6137194883329612
15,powabs(((((((((0.11991509; powabs(x0 + -0.2657123; 0.025597304)) / powabs(powabs(x1 + (x2 + powabs(0.07949665; powabs(0.08261551; powabs(x0; 0.082427844)))); 0.14415054); powabs(0.28298804 + 0.24478254; x5 + 0.18579921)),29,5.908057761060837e-05,5.8818495029344886e-05,5.908057761060837e-05,5.8818495029344886e-05,0.7400749090305303,0.613375911472918
