Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"1.8059502",1,0.05341109750004,0.07501830465781778,0.05341109750004,0.07501830465781778,-7.489564524121306e-13,-0.004212904560094266
1,"sqrtabs(sin(x0)) + 0.95989865",5,0.03254728589584094,0.041824303571801814,0.03254728589584094,0.041824303571801814,0.39062690303562964,0.44012990479297265
2,"sqrtabs(sin(sin(x0))) + 1.0083461",6,0.03066781234407248,0.04077694973079084,0.03066781234407248,0.04077694973079084,0.42581572408107726,0.4541500329147856
3,"sin(sqrtabs(x0 / 0.54072225)) + 0.92683214",7,0.023367151493899643,0.030774313488926886,0.023367151493899643,0.030774313488926886,0.5625038131092579,0.5880477054830697
4,"sin(sin(x0) + x0) + sqrtabs(x0)",8,0.017285021516026445,0.01760154485302908,0.017285021516026445,0.01760154485302908,0.6763777131517201,0.764381525785879
5,"sin(sin(sin(x0)) + x0) + sqrtabs(x0)",9,0.01201987719926511,0.012503736870522284,0.01201987719926511,0.012503736870522284,0.7749554350710521,0.8326219983525873
6,"sqrtabs(x0 + 0.2559321) + sin(sin(x0) + x0)",10,0.003351433255313367,0.0032818839934344664,0.003351433255313367,0.0032818839934344664,0.9372521177773333,0.9560679187231852
7,"sin(x0 + sin(x0 + -0.029439751)) + sqrtabs(x0 + 0.27826405)",12,0.0032135144138127677,0.003112307494785221,0.0032135144138127677,0.003112307494785221,0.9398343309868746,0.958337910147684
8,"sqrtabs(x0 - -0.2725109) + sin(sin(x0 - 0.03294507) + (x0 - 0.008275911))",14,0.0031810466366540505,0.002996841883557873,0.0031810466366540505,0.002996841883557873,0.9404422154655397,0.959883560337412
9,"sqrtabs(sqrtabs((x0 * (x0 / ((((x0 * 0.21780269) + -0.29975858) * x0) + 0.13363758))) + 0.36895704))",17,0.0028852482017507086,0.002837145349024537,0.0028852482017507086,0.002837145349024537,0.9459803610710169,0.9620212962076559
10,"sqrtabs(sqrtabs(((x0 + x0) / (((x0 + -1.7567685) * x0) + 0.901997)) + -0.10201138) + sqrtabs(x0))",18,0.0021413025300507076,0.00217515889164145,0.0021413025300507076,0.00217515889164145,0.959909033323071,0.9708828046912236
11,"sqrtabs(sqrtabs(((x0 + ((x0 / 0.23700339) / ((x0 * (x0 + -1.7318864)) + 0.9470517))) + x0) + -0.22956106))",19,0.0018113889146593725,0.0021746560822701886,0.0018113889146593725,0.0021746560822701886,0.9660859072469092,0.9708895354172971
12,"sqrtabs(sqrtabs((x0 + (x0 + (powabs(x0 + 0.8936338, 2.1709647) / (((x0 + -1.6951561) * x0) + 0.88898194)))) + -1.1047399))",21,0.0016477207723576853,0.0018943396393168136,0.0016477207723576853,0.0018943396393168136,0.9691502169121747,0.9746419181278657
13,"sqrtabs(sqrtabs((x0 + x0) + ((((x0 * (x0 + 2.5182974)) + 0.38953424) / ((x0 * (x0 + -1.6887927)) + 0.88229865)) - 0.6549444)))",23,0.001644744363001055,0.0018683246951446875,0.001644744363001055,0.0018683246951446875,0.9692059433341347,0.9749901603704519
14,"sqrtabs(sqrtabs((((x0 / 0.21805297) / ((x0 * (x0 + -1.6592007)) + 0.9079646)) + sin((x0 / 0.2329502) + -3.28461)) + (x0 + x0)))",24,0.0015780166109185482,0.001650068026475848,0.0015780166109185482,0.001650068026475848,0.9704552670740655,0.9779117961523225
15,"sqrtabs(sqrtabs(((((x0 / 0.21805297) / ((x0 * (x0 + -1.6592007)) + 0.9079646)) + sin(sin((x0 / 0.2329502) + -3.28461))) + x0) + x0))",25,0.0015241960794061392,0.0016609405950892971,0.0015241960794061392,0.0016609405950892971,0.9714629327845933,0.9777662533577053
16,"sqrtabs(sqrtabs((((sin(x0) * (x0 + -1.8537527)) * 2.284138) + ((x0 / 0.15909404) / (((x0 + -1.6628598) * x0) + 0.93405503))) + (((x0 + -1.4405005) * x0) + 0.17615443)))",30,0.0014136984218131837,0.0014348983956601685,0.0014136984218131837,0.0014348983956601685,0.9735317473711679,0.9807921081097858
17,"sqrtabs(sqrtabs((((sin((x0 / -1.6996055) + (x0 / 0.20033142)) + 0.26997596) * -0.57429475) + ((x0 + x0) + ((x0 / 0.19307645) / ((x0 * (x0 + -1.680595)) + 0.94462436)))) + (sin(x0) * -0.9484545)))",35,0.0013838977299073158,0.001637403813285028,0.0013838977299073158,0.001637403813285028,0.9740896968105305,0.9780813223282382
18,"sqrtabs(sqrtabs(((sin(x0) * (sin(x0 * -4.2988505) + (x0 + -0.92173964))) + (x0 + sin(x0 * (x0 + -3.537715)))) + ((x0 * (x0 + -2.302362)) + (((x0 / 0.15755503) / ((x0 * (x0 + -1.5885867)) + 0.8939472)) + 0.17635986))))",42,0.0013474203795026684,0.001425895766121187,0.0013474203795026684,0.001425895766121187,0.974772651329573,0.9809126194543071
