Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,2.0118021048100267e-05,0.8918653182082386,3.4206043988958435e-05,0.9114907358300061,0.7751577871424565
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,1.0618454598667885e-05,0.9308184211294599,2.8230286591559846e-05,0.9532840928586597,0.8144374687438906
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,6.428215429414733e-06,0.9485630507127205,2.5575016122029308e-05,0.9717190564507623,0.83189101842351
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,4.321711970317059e-06,0.9573816390263221,2.4316854824612614e-05,0.9809866216198467,0.8401611291189826
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,3.189712087120484e-06,0.9625263888569203,2.317450837873993e-05,0.9859668568260183,0.847669968867387
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,2.3426087623764677e-06,0.9661865345754785,2.3365338481375426e-05,0.9896936891903838,0.8464156097672746
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,1.7859431205506594e-06,0.9678875500167592,2.1376350789072198e-05,0.9921427405274373,0.8594895681071584
maxfeatlog2_maxsampl0.1,X,log2,0.1,1.9946804767349655e-05,0.8930765105549873,3.3236937435195745e-05,0.9122440021173276,0.7815278912712207
maxfeatlog2_maxsampl0.2,X,log2,0.2,1.0166513463335274e-05,0.9331918786469838,2.769115123397654e-05,0.9552724085702697,0.8179812982164804
maxfeatlog2_maxsampl0.3,X,log2,0.3,6.298889047727436e-06,0.9490737220015357,2.5473612244192086e-05,0.972288028063504,0.8325575635607558
maxfeatlog2_maxsampl0.4,X,log2,0.4,4.468106830974274e-06,0.956814068375059,2.419619338905823e-05,0.9803425572079416,0.840954257496686
maxfeatlog2_maxsampl0.5,X,log2,0.5,3.105408443859602e-06,0.9626886248766486,2.327661962685116e-05,0.986337750832642,0.8469987740636153
