id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,1662.6328680411896,1662.6328680411896,1,145574.97792044765,137888.10687582853,80252.95901426363,-2.220446049250313e-16,-2.79641251295093e-5,-4.902730658093146e-2,145574.97792044765,137888.10687582853,80252.95901426363,145574.97792044765,137888.10687582853,80252.95901426363
1,(Abs(-0.7805667382059895) ^ x4),-0.7805667382059895,4,2908595.7704351423,2907437.372918261,2639673.200830903,-18.980052973283655,-20.086072923454175,-33.504513006546574,2908595.7704351423,2907437.372918261,2639673.200830903,2908599.066272008,2907440.668755127,2639676.496667769
2,Sqrt(Abs((Abs(-55.59557171332542) ^ x4))),-55.59557171332542,6,33850.915696262055,34003.95471436888,30164.558141533613,0.7674674852792314,0.7533876824066079,0.605703695289381,33850.915696262055,34003.95471436888,30164.558141533613,33856.460873706535,34009.499891813364,30170.103318978094
3,(209.3428439591039 / (Abs(x3) ^ x1)),209.3428439591039,6,9484.657572014887,9890.830894738963,12632.888400137901,0.9348469241932638,0.9282671456786413,0.8348690807727253,9484.657572014887,9890.830894738963,12632.888400137901,9492.704761577057,9898.878084301134,12640.935589700071
4,(((x0 * -1.2658626951196705) + 671.2733037269161) / x3),-1.2658626951196705;671.2733037269161,7,3850.830312493517,4370.411871527116,24250.219009621393,0.9735474436094513,0.9683037632084737,0.6830130347325953,3850.830312493517,4370.411871527116,24250.219009621393,3863.3726287781133,4382.9541878117125,24262.76132590599
5,(((x1 / x3) * 343.44937547785116) - (x0 * 3.0950529413587047)),343.44937547785116;3.0950529413587047,9,3090.4188363471585,3203.7535274604356,10479.471647649409,0.9787709475866383,0.976764906051614,0.8630174880533561,3090.4188363471585,3203.7535274604356,10479.471647649409,3107.9320276886565,3221.2667188019336,10496.984838990906
6,(860.1632967166759 - (((-793.4733973422765 + x0) / x3) + (2460.124652774705 / x1))),860.1632967166759;-793.4733973422765;2460.124652774705,11,2054.203735767985,2370.668398883487,11796.1209569419,0.9858890328192902,0.9828068225297623,0.8458068942558954,2054.203735767985,2370.668398883487,11796.1209569419,2075.6087474075935,2392.0734105230954,11817.525968581509
7,(((x1 * (Abs(x4) ^ x4)) * 7.792064519996185) - ((x0 / x3) + -5.223942302947583)),7.792064519996185;-5.223942302947583,14,1809.7229204743799,1952.5427261512139,4052.8057919815324,0.9875684479137388,0.985839262199323,0.947023711072107,1809.7229204743799,1952.5427261512139,4052.8057919815324,1839.6565266833024,1982.4763323601364,4082.739398190455
8,(((Abs(x2) ^ x2) * (x1 / x3)) - (((x0 + x1) / x3) + 384.7508220682596)),384.7508220682596,16,1431.5598682813231,1540.1498407657887,4074.0503201013807,0.9901661680549,0.9888301250586055,0.9467460130235006,1431.5598682813231,1540.1498407657887,4074.0503201013807,1466.0986446762338,1574.6886171606993,4108.589096496292
9,((x3 * 3559.4298357320736) - (((-842.1550764837151 + x0) / x3) + (827044.180727813 / ((Abs(x4) ^ x2) * x1)))),3559.4298357320736;-842.1550764837151;827044.180727813,18,1437.5272961168982,1358.7391357802899,4167.9562435488915,0.9901251759289122,0.9901457989197349,0.9455185208642567,1437.5272961168982,1358.7391357802899,4167.9562435488915,1478.2915157544705,1399.5033554178622,4208.720463186464
10,((x3 * (4221.020244008658 + x0)) - (((-899.6206020335671 + x0) / x3) + (1024638.5743047968 / ((Abs(x4) ^ x2) * x1)))),4221.020244008658;-899.6206020335671;1024638.5743047968,20,1251.2595224865236,1266.6773542890935,2376.9973091511274,0.9914047074548051,0.9908134732972015,0.9689290573756197,1251.2595224865236,1266.6773542890935,2376.9973091511274,1296.8195326696925,1312.2373644722625,2422.5573193342966
