id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,71.75025763321074,71.75025763321074,1,1277.9685261109432,1277.9685261109432,899.6554281255674,0.0,0.0,-6.390080198962922e-3,1277.9685261109432,1277.9685261109432,899.6554281255674,1277.9685261109432,1277.9685261109432,899.6554281255674
1,(24036.81146294065 / x0),24036.81146294065,3,197.50709716380464,197.50709716380464,161.48929375121955,0.8454522993888985,0.8454522993888985,0.8193517004302672,197.50709716380464,197.50709716380464,161.48929375121955,200.80293402980897,200.80293402980897,164.78513061722387
2,(-38.39613769282755 + (35186.2081408358 / x0)),-38.39613769282755;35186.2081408358,5,63.34224888271684,63.34224888271684,49.36786484549585,0.950435204319564,0.950435204319564,0.9447751573459348,63.34224888271684,63.34224888271684,49.36786484549585,70.27372068831629,70.27372068831629,56.2993366510953
3,((60653.0588296788 / (x0 + 91.78115537586021)) + -73.28244670274673),60653.0588296788;91.78115537586021;-73.28244670274673,7,58.53931924612295,58.53931924612295,46.60383556441642,0.9541934577807897,0.9541934577807897,0.9478671096233233,58.53931924612295,58.53931924612295,46.60383556441642,68.24337977396219,68.24337977396219,56.30789609225565
4,(Abs(-8.795352068323085) ^ (Abs(-2.7223966496110967) ^ Sin((x0 + 2.015849955785431)))),-8.795352068323085;-2.7223966496110967;2.015849955785431,10,1666.5308358879038,1666.5308358879038,1856.4856981668522,-0.3040468539232466,-0.3040468539232466,-1.0767381958213398,1666.5308358879038,1666.5308358879038,1856.4856981668522,1679.4063391873765,1679.4063391873765,1869.361201466325
5,((35045.64959190357 / (x0 + (Abs(x1) ^ -1739.885442771447))) + -37.77266482628613),35045.64959190357;-1739.885442771447;-37.77266482628613,10,55.038213508059286,55.038213508059286,42.49123394729423,0.9569330446067016,0.9569330446067016,0.9524676281572974,55.038213508059286,55.038213508059286,42.49123394729423,71.16404873111178,71.16404873111178,58.617069170346724
6,(Abs((x1 + 1652.730085166657)) ^ Sin((464.148869713268 / (456.50778182152936 + x0)))),1652.730085166657;464.148869713268;456.50778182152936,11,49.6942364765798,49.6942364765798,43.257837374988604,0.9611146632634161,0.9611146632634161,0.9516100752976591,49.6942364765798,49.6942364765798,43.257837374988604,69.15333796713293,69.15333796713293,62.716938865541735
7,(Abs(x0) ^ (442.455818158768 / (((x0 / x1) + x0) + 274.56448465308057))),442.455818158768;274.56448465308057,12,18.404468486089865,18.404468486089865,11.659613730673739,0.9855986527758258,0.9855986527758258,0.9869570957605961,18.404468486089865,18.404468486089865,11.659613730673739,38.11382264759847,38.11382264759847,31.36896789218234
8,(Abs(x0) ^ Sin((352.2258550858211 / (((x0 / x1) + 96.51713607079857) + x0)))),352.2258550858211;96.51713607079857,13,13.556514423850711,13.556514423850711,8.812567245812442,0.9893921374847116,0.9893921374847116,0.9901419143596452,13.556514423850711,13.556514423850711,8.812567245812442,36.90743621251447,36.90743621251447,32.1634890344762
9,(Abs((x0 + -107.13760346003927)) ^ (373.51230338634775 / ((x0 / x1) + (x0 + 143.78491976475306)))),-107.13760346003927;373.51230338634775;143.78491976475306,14,9.130307165347904,9.130307165347904,7.380415241602744,0.9928556087424681,0.9928556087424681,0.9917439761327583,9.130307165347904,9.130307165347904,7.380415241602744,32.423180265312624,32.423180265312624,30.67328834156746
10,(Abs(x0) ^ Sin((((x1 * 353.57415996275074) / (x1 + 1.3684974525427738)) / (x0 + 96.24959028325598)))),353.57415996275074;1.3684974525427738;96.24959028325598,15,8.833844219182922,8.833844219182922,6.795909564562407,0.993087588591821,0.993087588591821,0.9923978272593157,8.833844219182922,8.833844219182922,6.795909564562407,37.94602580270062,37.94602580270062,35.9080911480801
11,(Abs(x0) ^ Sin((349.81243882648494 / ((920.6541899562164 / (Log(x0) + x1)) + (x0 + 90.28057114629506))))),349.81243882648494;920.6541899562164;90.28057114629506,16,7.476033718356824,7.476033718356824,8.239254451742237,0.9941500642890576,0.9941500642890576,0.9907832446854183,7.476033718356824,7.476033718356824,8.239254451742237,38.66765684355436,38.66765684355436,39.43087757693978
12,(Abs(x0) ^ Sin((350.062764239997 / ((646.5941518549629 / (x1 + Log(Log(x0)))) + (x0 + 91.78414125520943))))),350.062764239997;646.5941518549629;91.78414125520943,17,5.900048150699476,5.900048150699476,5.652516062712061,0.9953832602054338,0.9953832602054338,0.9936768723715357,5.900048150699476,5.900048150699476,5.652516062712061,39.17111281757685,39.17111281757685,38.92358072958943
13,(Abs(x0) ^ Sin((351.4477467567576 / (((166.61645756838698 / (x1 + (Abs(1.7539754842659685) ^ Sin(x1)))) + 96.55677663744217) + x0)))),351.4477467567576;166.61645756838698;1.7539754842659685;96.55677663744217,19,23.05005901953662,23.05005901953662,17.746714289313157,0.9819635158858868,0.9819635158858868,0.9801478247576392,23.05005901953662,23.05005901953662,17.746714289313157,56.13053155347694,56.13053155347694,50.827186823253484
14,(Abs(x0) ^ Sin((351.20751199720183 / ((606.2640767130677 / (x1 + (Abs(94.15441137395072) ^ (x1 / x0)))) + (x0 + 93.81341329152191))))),351.20751199720183;606.2640767130677;94.15441137395072;93.81341329152191,20,5.600270564949038,5.600270564949038,5.4827662027928685,0.9956178337333615,0.9956178337333615,0.993866761266547,5.600270564949038,5.600270564949038,5.4827662027928685,40.626653247944674,40.626653247944674,40.509148885788505
15,(Abs((x0 + -100.0426207549327)) ^ (378.8952757495811 / ((427.00213416347464 / (x1 + (-6.857166331936565 / (x0 + x0)))) + (x0 + 152.89012035302872)))),-100.0426207549327;378.8952757495811;427.00213416347464;-6.857166331936565;152.89012035302872,20,4.901534240029972,4.901534240029972,4.863426152311161,0.9961645892368366,0.9961645892368366,0.9945595794984933,4.901534240029972,4.901534240029972,4.863426152311161,38.94496415536302,38.94496415536302,38.906856067644206
16,(Abs((x0 + -105.01092272913769)) ^ (372.7557231805869 / ((390.2678655326864 / (x1 + ((x0 + -11.321187422385076) / (x0 + 11.676499884072117)))) + (x0 + 143.49615807890697)))),-105.01092272913769;372.7557231805869;390.2678655326864;-11.321187422385076;11.676499884072117;143.49615807890697,22,4.825068802055595,4.825068802055595,5.367600958670652,0.9962244228214766,0.9962244228214766,0.9939955896553334,4.825068802055595,4.825068802055595,5.367600958670652,42.45201765584475,42.45201765584475,42.9945498124598
17,(Abs((x0 + (-373.72953883438794 / (x1 + (309.96391734080123 / (x0 + x1)))))) ^ Sin((694.6020238944595 / ((((x0 + 61.583754737097706) + 60.54464560150342) + x0) + 60.697327278340516)))),-373.72953883438794;309.96391734080123;694.6020238944595;61.583754737097706;60.54464560150342;60.697327278340516,25,19.11884449395106,19.11884449395106,17.026932292647484,0.9850396593473764,0.9850396593473764,0.9809530013160237,19.11884449395106,19.11884449395106,17.026932292647484,65.82068807127857,65.82068807127857,63.728775869974996
