id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,8.261541129831507e-2,8.261541129831507e-2,1,2.2729847815095282e-4,2.2729847815095282e-4,1.525864785720067e-4,0.0,0.0,-2.9771786922967447e-3,2.2729847815095282e-4,2.2729847815095282e-4,1.525864785720067e-4,2.2729847815095282e-4,2.2729847815095282e-4,1.525864785720067e-4
1,(-0.9202405138480204 + (Abs(x0) ^ -1.7931629012155396e-2)),-0.9202405138480204;-1.7931629012155396e-2,6,1.0802295636639826e-4,1.0802295636639826e-4,1.5085020192068575e-4,0.5247528393275984,0.5247528393275984,8.43566649207772e-3,1.0802295636639826e-4,1.0802295636639826e-4,1.5085020192068575e-4,6.93157982855582,6.93157982855582,6.931622655801374
2,(5.9530609133732204e-2 + (5.5840660296383904e-2 / Exp(x0))),5.9530609133732204e-2;5.5840660296383904e-2,6,1.0737133804523132e-4,1.0737133804523132e-4,1.5519036741139716e-4,0.5276196351216915,0.5276196351216915,-2.009298807594262e-2,1.0737133804523132e-4,1.0737133804523132e-4,1.5519036741139716e-4,9.656734845942646,9.656734845942646,9.656782664972013
3,(((Abs(x0) ^ -1.7963788745001683e-2) + -0.9213997254413527) + (x5 * 1.6172910142205246e-2)),-1.7963788745001683e-2;-0.9213997254413527;1.6172910142205246e-2,10,8.986527544128821e-5,8.986527544128821e-5,1.3014830854580952e-4,0.6046375841478044,0.6046375841478044,0.14451277374980664,8.986527544128821e-5,8.986527544128821e-5,1.3014830854580952e-4,16.125925088327936,16.125925088327936,16.12596537136104
4,((Abs((x13 + (x0 * Sqrt(Abs(x1))))) ^ -1.3946418205153901e-2) + -0.8953624493675754),-1.3946418205153901e-2;-0.8953624493675754,12,8.573560633586387e-5,8.573560633586387e-5,1.0142386501738709e-4,0.6228060696520573,0.6228060696520573,0.3333234835798241,8.573560633586387e-5,8.573560633586387e-5,1.0142386501738709e-4,20.794501152404695,20.794501152404695,20.794516840663377
5,(9.138265231857326e-2 / ((Abs((x1 * 3.915810859851785e-3)) ^ Exp(x5)) + (Abs(x0) ^ 0.1451860651021911))),9.138265231857326e-2;3.915810859851785e-3;0.1451860651021911,14,6.588676505877634e-5,6.588676505877634e-5,7.338054301970249e-5,0.7101310770104682,0.7101310770104682,0.5176570643900271,6.588676505877634e-5,6.588676505877634e-5,7.338054301970249e-5,26.36676081479969,26.36676081479969,26.36676830857765
6,((Abs((x13 + (x0 * Sqrt(Abs(x1))))) ^ -32.29641731169931) + ((x5 * 1.772737427814999e-2) + 8.020220655940191e-2)),-32.29641731169931;1.772737427814999e-2;8.020220655940191e-2,16,2.6365724483024634e-4,2.6365724483024634e-4,1.3380858629301903e-3,-0.15996044925187314,-0.15996044925187314,-7.795468616941946,2.6365724483024634e-4,2.6365724483024634e-4,1.3380858629301903e-3,30.761407739951903,30.761407739951903,30.762482168570003
7,((x5 * 1.879278790934378e-2) + ((Abs(x0) ^ -1.3372046575540234e-2) + (-0.8975563824935857 + (Sqrt(Abs(Sqrt(Abs(x1)))) * -9.671064742679033e-3)))),1.879278790934378e-2;-1.3372046575540234e-2;-0.8975563824935857;-9.671064742679033e-3,18,6.465430197705051e-5,6.465430197705051e-5,7.851303879294555e-5,0.7155533002112207,0.7155533002112207,0.4839202865413387,6.465430197705051e-5,6.465430197705051e-5,7.851303879294555e-5,31.191687779499514,31.191687779499514,31.19170163823633
8,((-0.4235504939291381 + (Sqrt(Abs(Sqrt(Abs(x1)))) * -1.6814757122109763e-2)) + ((x5 * 1.8685456903680217e-2) + ((Abs(x0) ^ -1.6097580704395556e-2) * 0.5445815638534556))),-0.4235504939291381;-1.6814757122109763e-2;1.8685456903680217e-2;-1.6097580704395556e-2;0.5445815638534556,20,6.219080892343911e-5,6.219080892343911e-5,5.734058072585134e-5,0.7263914416438058,0.7263914416438058,0.623090496489489,6.219080892343911e-5,6.219080892343911e-5,5.734058072585134e-5,35.35056839936613,35.35056839936613,35.35056354913793
9,((-1.8884795603736433 + (x3 * 1.0198488428986678e-2)) + ((Abs(x0) ^ -1.055372664111451e-2) + ((Abs(Sqrt(Abs(Sqrt(Abs(x1))))) ^ -3.858317811579642e-2) * Exp((x5 * 2.161701230960078e-2))))),-1.8884795603736433;1.0198488428986678e-2;-1.055372664111451e-2;-3.858317811579642e-2;2.161701230960078e-2,24,5.5280665230636296e-5,5.5280665230636296e-5,5.287902710388958e-5,0.7567926293200984,0.7567926293200984,0.6524170561310623,5.5280665230636296e-5,5.5280665230636296e-5,5.287902710388958e-5,46.05175714054615,46.05175714054615,46.05175473890802
10,((-0.6909194361602646 + ((((x3 + x5) * 3.83135705160769e-2) + -1.2256187785710055) + (-1.514888966847381e-3 * Sqrt(Abs(x1))))) + ((Abs(x0) ^ 3.701350921039976e-3) + (Abs(x0) ^ -2.366058606291488e-2))),-0.6909194361602646;3.83135705160769e-2;-1.2256187785710055;-1.514888966847381e-3;3.701350921039976e-3;-2.366058606291488e-2,25,1.5715649479378628e-4,1.5715649479378628e-4,1.9758521760992228e-4,0.30858976235900737,0.30858976235900737,-0.29876163316911364,1.5715649479378628e-4,1.5715649479378628e-4,1.9758521760992228e-4,48.33909785789162,48.33909785789162,48.33913828661444
11,((((Abs(x0) ^ -1.406656796901139e-2) + -0.2966817803143177) + ((((x3 + x5) * 2.495038325895533e-2) + -1.3517070062465422) + (4.7945717894827e-5 * Sqrt(Abs(x1))))) + ((Abs(x0) ^ -1.2560221638578617e-2) + -0.2761567691416825)),-1.406656796901139e-2;-0.2966817803143177;2.495038325895533e-2;-1.3517070062465422;4.7945717894827e-5;-1.2560221638578617e-2;-0.2761567691416825,27,1.455579512042294e-4,1.455579512042294e-4,2.3758046142207775e-4,0.3596175725049868,0.3596175725049868,-0.5616572525925345,1.455579512042294e-4,1.455579512042294e-4,2.3758046142207775e-4,52.73353541402047,52.73353541402047,52.73362743653069
12,((-1.1121324879450138 + ((((Exp((((x3 + x0) + x5) + 0.23445282529841266)) + x5) * 2.1468319624257694e-3) + -0.22942414916900353) + (-3.7794045508024363e-3 * Sqrt(Abs(x1))))) + ((Abs(x0) ^ -1.6660647116195564e-2) + 0.43410096693223915)),-1.1121324879450138;0.23445282529841266;2.1468319624257694e-3;-0.22942414916900353;-3.7794045508024363e-3;-1.6660647116195564e-2;0.43410096693223915,29,5.466092820536762e-5,5.466092820536762e-5,5.245524204894946e-5,0.7595191633044444,0.7595191633044444,0.6552026682164427,5.466092820536762e-5,5.466092820536762e-5,5.245524204894946e-5,62.169852171767445,62.169852171767445,62.16984996608129
