id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,7.806943880865841,7.806943880865841,1,0.14150096174065122,0.14150096174065122,0.18190821005750496,0.0,0.0,-0.14337597103996047,0.14150096174065122,0.14150096174065122,0.18190821005750496,0.14150096174065122,0.14150096174065122,0.18190821005750496
1,(x2 + 4.420626612831541),4.420626612831541,3,3.9443042019858654e-2,3.9443042019858654e-2,3.9520165835152755e-2,0.7212524810103307,0.7212524810103307,0.7515977537619457,3.9443042019858654e-2,3.9443042019858654e-2,3.9520165835152755e-2,3.3352799080241877,3.3352799080241877,3.335357031839482
2,(4.246167277884162 * Sqrt(Abs(x2))),4.246167277884162,5,3.4788233893918004e-2,3.4788233893918004e-2,3.306919642071178e-2,0.7541484279260284,0.7541484279260284,0.7921450353610218,3.4788233893918004e-2,3.4788233893918004e-2,3.306919642071178e-2,5.579965678373481,5.579965678373481,5.578246640900274
3,((Abs(8.579624317025837e-4) ^ x2) + 7.8069247878786765),8.579624317025837e-4;7.8069247878786765,6,0.14150096248896368,0.14150096248896368,0.1819024437641641,-5.288391280444671e-9,-5.288391280444671e-9,-0.14333972725939748,0.14150096248896368,0.14150096248896368,0.1819024437641641,7.072972768088417,7.072972768088417,7.113374249363617
4,(-1.1668160372607257 / Sin((x2 * -4.499921816916562e-2))),-1.1668160372607257;-4.499921816916562e-2,6,0.9219954293168396,0.9219954293168396,1.223980156694066,-5.515824471968684,-5.515824471968684,-6.6932728860963415,0.9219954293168396,0.9219954293168396,1.223980156694066,10.57862290392144,10.57862290392144,10.880607631298668
5,(4.061357154832107 + (x2 + (-0.6515469902139481 / x3))),4.061357154832107;-0.6515469902139481,7,1.379363725843025e-2,1.379363725843025e-2,1.1144273700796846e-2,0.9025191271582182,0.9025191271582182,0.9299531628607876,1.379363725843025e-2,1.379363725843025e-2,1.1144273700796846e-2,11.279859024297133,11.279859024297133,11.2772096607395
6,((x2 * Sqrt(Abs((Abs(x3) ^ -0.26091220032120743)))) + 4.699653015494576),-0.26091220032120743;4.699653015494576,10,1.3568756864217336e-2,1.3568756864217336e-2,1.2334461252109418e-2,0.9041083770929649,0.9041083770929649,0.9224722918942079,1.3568756864217336e-2,1.3568756864217336e-2,1.2334461252109418e-2,15.580849949306723,15.580849949306723,15.579615653694615
7,(7.160935560527232 + (((2.7156784622493095 - x2) * x1) / x3)),7.160935560527232;2.7156784622493095,9,4.340849795237814e-3,4.340849795237814e-3,6.6558562931619695e-3,0.9693228247932767,0.9693228247932767,0.9581649110290802,4.340849795237814e-3,4.340849795237814e-3,6.6558562931619695e-3,18.719314724913758,18.719314724913758,18.72162973141168
8,(7.2261231251874225 + (((3.4742102409090077 - (x2 * 1.1980685660170702)) * x1) / x3)),7.2261231251874225;3.4742102409090077;1.1980685660170702,11,4.030009650736559e-3,4.030009650736559e-3,6.330230045410938e-3,0.9715195600004265,0.9715195600004265,0.9602116203397855,4.030009650736559e-3,4.030009650736559e-3,6.330230045410938e-3,22.87788696812893,22.87788696812893,22.880187188523603
9,(((-14.065324228298678 + (55.57566496266332 / (x2 + Sqrt(Abs(x3))))) / x3) + 6.511098124287233),-14.065324228298678;55.57566496266332;6.511098124287233,13,3.5152988374233893e-3,3.5152988374233893e-3,3.177586708629147e-3,0.9751570675267468,0.9751570675267468,0.9800274199422115,3.5152988374233893e-3,3.5152988374233893e-3,3.177586708629147e-3,21.504628929574086,21.504628929574086,21.50429121744529
