-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,8319,7.602351e6,7.6024035e6,4846.6,3834.0173,0.40637016,0.4449789,7.602351e6,3.5730992e6,6.08,Inf,14,"(1.5861928 * (sqrt((X14 * X14)) * (0.015232246 * ((-0.060995772 / 8.553778) + X6)))) [likelihood params: Float32[]]"
2,15812,6.919849e6,6.9199015e6,4411.331,3408.6902,0.4596836,0.5065502,6.919849e6,3.176907e6,6.076,Inf,15,"(1.5931758 * (sqrt((X14 * exp(5.842943))) * (0.015299333 * ((1.655359e6 / -59067.066) + X6)))) [likelihood params: Float32[]]"
3,23136,6.919849e6,6.9199015e6,4411.331,3408.6902,0.4596836,0.5065502,6.919849e6,3.176907e6,5.954,Inf,15,"(1.5931758 * (sqrt((X14 * exp(5.842943))) * (0.015299333 * ((1.655359e6 / -59067.066) + X6)))) [likelihood params: Float32[]]"
4,30965,6.8465515e6,6.8466075e6,4364.585,3376.7935,0.46540922,0.51116765,6.8465515e6,3.147195e6,6.318,Inf,14,"(((X6 / 3.295736) - (8.105848 + ((1154.9604 / X18) * sin(0.005645887)))) * 18.92384) [likelihood params: Float32[]]"
5,39190,6.7834365e6,6.783484e6,4324.333,3332.944,0.47033942,0.5175154,6.7834365e6,3.1063495e6,6.19,Inf,14,"((sqrt((X14 * X14)) * (4.6393976 * ((-31.796284 / 1.0967103) + X6))) / X20) [likelihood params: Float32[]]"
6,47458,6.7834365e6,6.783484e6,4324.333,3332.944,0.47033942,0.5175154,6.7834365e6,3.1063495e6,7.15,Inf,14,"((sqrt((X14 * X14)) * (4.6393976 * ((-31.796284 / 1.0967103) + X6))) / X20) [likelihood params: Float32[]]"
7,56187,6.764707e6,6.7647515e6,4312.388,3425.2673,0.47180247,0.5041505,6.764707e6,3.1923485e6,8.302,Inf,11,"(1.037962 * ((X2 - -307.40268) * (0.009990083 * (X8 + X6)))) [likelihood params: Float32[]]"
8,64801,6.6423675e6,6.6424245e6,4234.3657,3274.6597,0.48135895,0.5259528,6.6423675e6,3.0520575e6,9.75,Inf,13,"(249.45901 + (681.9253 - ((-210.34807 + X6) * (-9.369934 - (X24 * -0.03607711))))) [likelihood params: Float32[]]"
9,74438,6.087884e6,6.0879365e6,3880.741,3088.8652,0.52467227,0.5528488,6.087884e6,2.87899e6,10.398,Inf,13,"((1.5087352 * ((X2 - -193.01996) * (0.014795096 * (X8 + X6)))) - 144.69228) [likelihood params: Float32[]]"
10,84725,6.031206e6,6.031284e6,3844.5945,2948.0303,0.5290996,0.57323635,6.031206e6,2.7478022e6,10.996,Inf,20,"((sqrt((X9 * X14)) * (0.05708945 * ((-62.983532 / 0.40550295) + X6))) - (((-66165.64 - 38202.836) + -38315.113) / X14)) [likelihood params: Float32[]]"
