NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
-- NEO GP --
SEED=-1
MAX_LEN=20
POPSIZE=100
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,nll_train,avg_len,avg_fitness,size,expression
1,10160,-1102.4696,-1102.4696,-1130.4102,19.4591,8.481449,6.38,Inf,10),"(sqrt(abs((abs(X1) ^ (0.31850678 + (X1 / X1))))) * -1.7973704) RARLikelihood{Float32}"
2,17982,-1102.4696,-1102.4696,-1130.4102,19.4591,8.481449,6.28,Inf,10),"(sqrt(abs((abs(X1) ^ (0.31850678 + (X1 / X1))))) * -1.7973704) RARLikelihood{Float32}"
3,27336,-1102.4696,-1102.4696,-1130.4102,19.4591,8.481449,6.65,Inf,10),"(sqrt(abs((abs(X1) ^ (0.31850678 + (X1 / X1))))) * -1.7973704) RARLikelihood{Float32}"
4,36253,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,7.09,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
5,49887,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,8.34,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
6,60019,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,10.09,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
7,73066,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.89,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
8,83582,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.6,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
9,94088,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.51,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
10,114211,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,12.09,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
11,127788,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.65,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
12,140822,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.82,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
13,150272,-1188.6206,-1188.6206,-1223.3275,27.03274,7.674218,11.89,Inf,13),"(sqrt(abs((abs(X1) ^ (-0.12736075 + (X1 / X1))))) * (-0.72504586 - sqrt(abs(X1)))) RARLikelihood{Float32}"
14,159374,-1192.7705,-1192.7705,-1248.1714,41.58883,13.8119545,12.09,Inf,20),"((X1 * (-0.047207892 * X1)) - ((abs(sqrt(abs(log(abs(-32.401897))))) ^ log(abs(X1))) * (1.6536632 + (X1 * (-0.0031985256 * X1))))) RARLikelihood{Float32}"
15,169070,-1192.7705,-1192.7705,-1248.1714,41.58883,13.8119545,10.92,Inf,20),"((X1 * (-0.047207892 * X1)) - ((abs(sqrt(abs(log(abs(-32.401897))))) ^ log(abs(X1))) * (1.6536632 + (X1 * (-0.0031985256 * X1))))) RARLikelihood{Float32}"
16,178435,-1192.7705,-1192.7705,-1248.1714,41.58883,13.8119545,11.74,Inf,20),"((X1 * (-0.047207892 * X1)) - ((abs(sqrt(abs(log(abs(-32.401897))))) ^ log(abs(X1))) * (1.6536632 + (X1 * (-0.0031985256 * X1))))) RARLikelihood{Float32}"
17,189519,-1192.7705,-1192.7705,-1248.1714,41.58883,13.8119545,11.18,Inf,20),"((X1 * (-0.047207892 * X1)) - ((abs(sqrt(abs(log(abs(-32.401897))))) ^ log(abs(X1))) * (1.6536632 + (X1 * (-0.0031985256 * X1))))) RARLikelihood{Float32}"
18,205951,-1192.7705,-1192.7705,-1248.1714,41.58883,13.8119545,10.78,Inf,20),"((X1 * (-0.047207892 * X1)) - ((abs(sqrt(abs(log(abs(-32.401897))))) ^ log(abs(X1))) * (1.6536632 + (X1 * (-0.0031985256 * X1))))) RARLikelihood{Float32}"
19,223030,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.11,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
20,236722,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,10.57,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
21,249163,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.09,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
22,261598,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,9.86,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
23,276045,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.69,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
24,289031,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.73,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
25,312932,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,14.0,3.4028236e36,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
26,331887,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,13.7,3.4028236e36,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
27,345918,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,14.68,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
28,362426,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,13.96,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
29,377727,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,13.66,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
30,396167,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,13.17,1.2477732e6,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
31,411163,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,12.3,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
32,427929,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,12.09,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
33,442718,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,12.53,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
34,457976,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.82,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
35,475685,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,12.47,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
36,496589,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,12.99,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
37,511374,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,13.26,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
38,527857,-1220.1521,-1220.1521,-1239.4441,14.4849415,4.807063,11.88,Inf,9),"(sqrt(abs(-0.98136353)) * ((-0.7263154 * X1) - sqrt(abs(X1)))) RARLikelihood{Float32}"
39,541315,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,12.36,Inf,6),"(sqrt(abs(X1)) + (X1 * 0.7071741)) RARLikelihood{Float32}"
40,553506,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,12.3,Inf,6),"(sqrt(abs(X1)) + (X1 * 0.7071741)) RARLikelihood{Float32}"
41,567590,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,13.26,Inf,6),"(sqrt(abs(X1)) + (X1 * 0.7071741)) RARLikelihood{Float32}"
42,582777,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,13.17,Inf,6),"(sqrt(abs(X1)) + (X1 * 0.7071741)) RARLikelihood{Float32}"
43,601485,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,14.01,Inf,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
44,619997,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,13.34,Inf,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
45,637154,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,12.64,Inf,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
46,656340,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,12.87,3.4028236e36,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
47,676633,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,13.75,Inf,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
48,691542,-1227.0721,-1227.0721,-1269.4519,25.084633,17.295128,12.75,Inf,14),"((-1.0289036 + (-0.2936618 * (sqrt(abs(5.5074277)) * sqrt(abs((0.017533466 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
49,705506,-1227.6508,-1227.6508,-1269.4424,25.084633,16.707073,11.89,Inf,14),"((-1.0289062 + (-0.2936435 * (sqrt(abs(5.5079646)) * sqrt(abs((0.017530462 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
50,722880,-1227.6508,-1227.6508,-1269.4424,25.084633,16.707073,13.2,Inf,14),"((-1.0289062 + (-0.2936435 * (sqrt(abs(5.5079646)) * sqrt(abs((0.017530462 - X1)))))) * sqrt(abs(X1))) RARLikelihood{Float32}"
325.641885 seconds (9.22 G allocations: 312.616 GiB, 9.06% gc time, 385 lock conflicts, 13.60% compilation time)
