NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,56653,-956.7577,-956.7577,-994.4446,20.922693,16.764212,6.2433333,Inf,13,"(((abs((abs(X1) ^ 0.44881296)) ^ (abs(6.7149806) ^ (abs(4.718408) ^ -2.791478))) + X1) * -0.85781574) RARMNRLikelihood{Float32} Float32[0.08123843, -0.50255436, 0.73881406]"
2,87081,-956.7577,-956.7577,-994.4446,20.922693,16.764212,5.49,Inf,13,"(((abs((abs(X1) ^ 0.44881296)) ^ (abs(6.7149806) ^ (abs(4.718408) ^ -2.791478))) + X1) * -0.85781574) RARMNRLikelihood{Float32} Float32[0.08123843, -0.50255436, 0.73881406]"
3,116591,-957.3136,-957.3136,-994.4446,20.922693,16.20832,4.68,Inf,13,"(((abs((abs(X1) ^ 0.46019885)) ^ (abs(X1) ^ (abs(8.178394) ^ -11.851635))) + X1) * -0.8578153) RARMNRLikelihood{Float32} Float32[0.08123847, -0.5025544, 0.7388139]"
4,144313,-957.3136,-957.3136,-994.4446,20.922693,16.20832,4.54,Inf,13,"(((abs((abs(X1) ^ 0.46019885)) ^ (abs(X1) ^ (abs(8.178394) ^ -11.851635))) + X1) * -0.8578153) RARMNRLikelihood{Float32} Float32[0.08123847, -0.5025544, 0.7388139]"
5,172578,-957.3136,-957.3136,-994.4446,20.922693,16.20832,5.0266666,Inf,13,"(((abs((abs(X1) ^ 0.46019885)) ^ (abs(X1) ^ (abs(8.178394) ^ -11.851635))) + X1) * -0.8578153) RARMNRLikelihood{Float32} Float32[0.08123847, -0.5025544, 0.7388139]"
6,206367,-957.3136,-957.3136,-994.4446,20.922693,16.20832,5.88,Inf,13,"(((abs((abs(X1) ^ 0.46019885)) ^ (abs(X1) ^ (abs(8.178394) ^ -11.851635))) + X1) * -0.8578153) RARMNRLikelihood{Float32} Float32[0.08123847, -0.5025544, 0.7388139]"
7,243934,-957.3136,-957.3136,-994.4446,20.922693,16.20832,6.82,Inf,13,"(((abs((abs(X1) ^ 0.46019885)) ^ (abs(X1) ^ (abs(8.178394) ^ -11.851635))) + X1) * -0.8578153) RARMNRLikelihood{Float32} Float32[0.08123847, -0.5025544, 0.7388139]"
8,293501,-971.7884,-971.7884,-998.5525,12.875504,13.888589,8.31,Inf,8,"((sqrt(abs((X1 + X1))) + X1) * 0.70967) RARMNRLikelihood{Float32} Float32[0.08096499, -0.5021999, 0.74078435]"
9,333734,-971.7884,-971.7884,-998.5525,12.875504,13.888589,8.566667,Inf,8,"((sqrt(abs((X1 + X1))) + X1) * 0.70967) RARMNRLikelihood{Float32} Float32[0.08096499, -0.5021999, 0.74078435]"
10,385335,-971.7884,-971.7884,-998.5525,12.875504,13.888589,9.83,Inf,8,"((sqrt(abs((X1 + X1))) + X1) * 0.70967) RARMNRLikelihood{Float32} Float32[0.08096499, -0.5021999, 0.74078435]"
11,439882,-971.7884,-971.7884,-998.5525,12.875504,13.888589,10.206667,Inf,8,"((sqrt(abs((X1 + X1))) + X1) * 0.70967) RARMNRLikelihood{Float32} Float32[0.08096499, -0.5021999, 0.74078435]"
12,486854,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,10.096666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
13,532148,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,9.876667,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
14,587805,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,11.42,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
15,646184,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,12.72,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
16,701653,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,13.4366665,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
17,769315,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,14.22,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
18,832362,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,15.0633335,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
19,897446,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,16.523333,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
20,972753,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,17.916666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
21,1046781,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.053333,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
22,1121747,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.22,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
23,1215575,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,21.37,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
24,1307023,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.423334,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
25,1393778,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.72,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
26,1475312,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,18.92,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
27,1569506,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.47,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
28,1657338,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,18.496666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
29,1751976,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.283333,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
30,1845363,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.673334,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
31,1938703,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.936666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
32,2019861,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.753334,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
33,2103023,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.346666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
34,2196430,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.663334,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
35,2288419,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.886667,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
36,2380192,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.603333,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
37,2485333,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,21.22,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
38,2578236,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.853333,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
39,2671653,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.71,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
40,2759014,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.04,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
41,2841759,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.323334,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
42,2926939,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,20.09,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
43,3001942,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.826666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
44,3082682,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.756666,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
45,3163008,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,18.64,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
46,3240567,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,18.65,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
47,3334820,-973.0354,-973.0354,-1000.36255,14.334076,12.993043,19.046667,Inf,8,"(sqrt(abs((X1 / (X1 - -1.0963037)))) + X1) RARMNRLikelihood{Float32} Float32[0.08073114, -0.5023642, 0.7397456]"
