-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10647,35877.023,35877.023,5.5451775,13.5739975,4940.9805,3950.1018,0.39481014,0.42817426,35857.902,18453.287,6.136,Inf,4,"(abs(log(abs(X6))) ^ 3.9047234) [likelihood params: Float32[18.0]]"
2,19087,34991.87,34991.87,3.295837,11.787313,4758.913,3780.6858,0.41711044,0.4526993,34976.785,17966.217,6.15,Inf,3,"(3.9490535 * X6) [likelihood params: Float32[18.0]]"
3,27410,34981.242,34981.242,12.542316,12.91175,4754.574,3771.459,0.41764188,0.45403498,34955.79,17939.69,6.324,Inf,7,"(3.9538581 * (X6 - (X4 / 79.53244))) [likelihood params: Float32[18.0]]"
4,35626,33158.117,33158.117,17.513191,15.29695,4376.3374,3396.4915,0.46396977,0.50831616,33125.31,16861.658,6.232,Inf,9,"(abs(((X6 - (X4 / -674019.0)) + -10.130159)) ^ 1.3424729) [likelihood params: Float32[18.0]]"
5,44167,31752.73,31752.73,12.542316,15.40714,4086.9426,3238.1748,0.49941587,0.5312344,31724.781,16406.496,5.806,Inf,7,"(6.14522 * (X6 - (X4 / 0.8094637))) [likelihood params: Float32[18.0]]"
6,52968,28625.607,28625.607,12.542316,15.4627495,3440.7654,2800.5303,0.57856214,0.5945888,28597.602,15148.27,5.438,Inf,7,"(9.472197 * (X6 - (X4 / 0.4997324))) [likelihood params: Float32[18.0]]"
7,61790,27628.432,27628.432,12.542316,17.376036,3234.3206,2778.7751,0.6038482,0.59773815,27598.512,15085.724,5.34,Inf,7,"(12.691963 * (X6 - (X4 / 0.42323977))) [likelihood params: Float32[18.0]]"
8,71316,27628.432,27628.432,12.542316,17.376036,3234.3206,2778.7751,0.6038482,0.59773815,27598.512,15085.724,5.718,Inf,7,"(12.691963 * (X6 - (X4 / 0.42323977))) [likelihood params: Float32[18.0]]"
9,81126,27496.041,27496.041,27.242743,24.571507,3202.4404,2722.6223,0.60775304,0.60586697,27444.227,14924.285,6.432,Inf,14,"(1.470227 * ((9.0997505 * (X6 - (X4 / 0.47344851))) - (sqrt(abs(X6)) / 0.13129659))) [likelihood params: Float32[18.0]]"
10,92230,27483.88,27483.88,21.405012,19.651072,3202.151,2721.0784,0.60778856,0.6060905,27442.826,14919.846,7.614,Inf,11,"((12.752009 * (X6 - (X4 / 0.45166275))) - (52.7739 + -2.4403229)) [likelihood params: Float32[18.0]]"
11,102567,27483.88,27483.88,21.405012,19.651072,3202.151,2721.0784,0.60778856,0.6060905,27442.826,14919.846,8.37,Inf,11,"((12.752009 * (X6 - (X4 / 0.45166275))) - (52.7739 + -2.4403229)) [likelihood params: Float32[18.0]]"
12,113566,27408.744,27408.744,19.709354,21.628637,3186.567,2331.9883,0.6096973,0.6624161,27367.406,13801.211,9.642,Inf,11,"(7.5678396 * (X6 - ((-237.08449 - (-224.77621 - X1)) / 0.33745044))) [likelihood params: Float32[18.0]]"
13,125649,26509.145,26509.145,27.03274,19.631058,2999.5798,2155.1501,0.6326002,0.6880156,26462.48,13292.801,10.826,Inf,13,"(((((X6 * 1647.6251) + -8568.922) + (X9 - 7467.015)) / X3) + -929.1866) [likelihood params: Float32[18.0]]"
14,138331,24296.62,24296.62,50.536167,31.181637,2535.156,2188.8552,0.68948454,0.68313634,24214.9,13389.703,12.066,Inf,23,"(((-19.165983 + X4) * -14.321309) - (5.3660483 * ((-3.4317732 * (X6 - (((X3 / 0.15855128) - (-52.857113 - 316.24384)) / 11.077877))) - X23))) [likelihood params: Float32[18.0]]"
15,152188,24296.62,24296.62,50.536167,31.181637,2535.156,2188.8552,0.68948454,0.68313634,24214.9,13389.703,13.528,Inf,23,"(((-19.165983 + X4) * -14.321309) - (5.3660483 * ((-3.4317732 * (X6 - (((X3 / 0.15855128) - (-52.857113 - 316.24384)) / 11.077877))) - X23))) [likelihood params: Float32[18.0]]"
16,166576,24296.62,24296.62,50.536167,31.181637,2535.156,2188.8552,0.68948454,0.68313634,24214.9,13389.703,14.58,Inf,23,"(((-19.165983 + X4) * -14.321309) - (5.3660483 * ((-3.4317732 * (X6 - (((X3 / 0.15855128) - (-52.857113 - 316.24384)) / 11.077877))) - X23))) [likelihood params: Float32[18.0]]"
17,181775,21201.814,21201.814,71.93686,37.36949,1889.9678,1446.8685,0.7685096,0.790548,21092.508,11256.492,17.466,Inf,30,"(((41.74009 + X4) * -22.121115) - (5.2918286 * ((-2.4435823 * (X6 - (((X3 / -22702.834) - (((X1 * (-57.84739 - log(abs(328163.28)))) - 6037.935) - -8568.989)) / 39.224327))) - X23))) [likelihood params: Float32[18.0]]"
18,198273,21036.629,21036.629,71.93686,32.819588,1856.7751,1450.7084,0.7725752,0.78999215,20931.871,11267.531,18.494,Inf,30,"(((42.767246 + X4) * -22.265684) - (6.436825 * ((-2.017161 * (X6 - (((X3 / -22148.387) - (((X1 * (-61.15006 - log(abs(335506.75)))) - 6107.688) - -8499.238)) / 39.71555))) - X23))) [likelihood params: Float32[18.0]]"
19,214572,20992.295,20992.295,71.93686,30.598469,1848.0735,1460.0383,0.773641,0.7886415,20889.76,11294.355,21.592,Inf,30,"(((44.14741 + X4) * -21.545494) - (7.3743563 * ((-1.7393502 * (X6 - (((X3 / -5383.8467) - (((X1 * (-64.40879 - log(abs(342499.4)))) - 6202.6797) - -8403.754)) / 39.597885))) - X23))) [likelihood params: Float32[18.0]]"
20,231117,20992.295,20992.295,71.93686,30.598469,1848.0735,1460.0383,0.773641,0.7886415,20889.76,11294.355,23.612,Inf,30,"(((44.14741 + X4) * -21.545494) - (7.3743563 * ((-1.7393502 * (X6 - (((X3 / -5383.8467) - (((X1 * (-64.40879 - log(abs(342499.4)))) - 6202.6797) - -8403.754)) / 39.597885))) - X23))) [likelihood params: Float32[18.0]]"
21,248614,20990.734,20990.734,69.07755,31.893978,1848.0739,1459.9187,0.773641,0.78865886,20889.762,11294.012,25.8,Inf,30,"(((44.146782 + X4) * -21.545298) - (7.3744106 * ((-1.7393701 * (X6 - (((-1699.6547 / -5386.3516) - (((X1 * (-64.40719 - log(abs(342496.06)))) - 6202.6377) - -8403.796)) / 39.59345))) - X23))) [likelihood params: Float32[18.0]]"
22,266269,20945.77,20945.77,74.334755,32.385624,1837.5955,1448.1805,0.7749244,0.79035807,20839.05,11260.264,29.138,Inf,31,"(((27.457174 + X4) * -21.591467) - (7.5801525 * ((-1.8441299 * (X6 - ((sqrt(abs(-179022.61)) - (((X1 * ((504.81085 + X6) - log(abs(791729.7)))) - 9911.823) - -4696.717)) / -318.6472))) - X23))) [likelihood params: Float32[18.0]]"
23,283594,20867.107,20867.107,74.334755,32.49292,1821.3188,1422.6343,0.776918,0.7940562,20760.281,11186.818,32.356,Inf,31,"(((33.269455 + X4) * -21.673368) - (7.9174776 * ((-2.0165772 * (X6 - ((sqrt(abs(-48690.6)) - (((X1 * ((144.91078 + X6) - log(abs(806066.0)))) - 7996.1655) - -6612.671)) / -134.07356))) - X23))) [likelihood params: Float32[18.0]]"
24,301547,20837.832,20837.832,74.334755,31.605385,1815.453,1414.6445,0.7776365,0.7952128,20731.893,11163.848,34.842,Inf,31,"(((34.54288 + X4) * -21.699663) - (8.054095 * ((-2.0809388 * (X6 - ((sqrt(abs(75.40558)) - (((X1 * ((102.36832 + X6) - log(abs(812321.75)))) - 7786.83) - -6821.992)) / -112.2719))) - X23))) [likelihood params: Float32[18.0]]"
25,320395,20836.613,20836.613,74.334755,31.731836,1815.1748,1414.7722,0.77767056,0.7951943,20730.547,11164.215,37.826,Inf,31,"(((34.598637 + X4) * -21.701212) - (8.060598 * ((-2.0840743 * (X6 - ((sqrt(abs(0.037765536)) - (((X1 * ((100.7398 + X6) - log(abs(812628.8)))) - 7778.753) - -6830.069)) / -111.43963))) - X23))) [likelihood params: Float32[18.0]]"
