-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10548,33632.777,33632.777,14.334076,11.346323,4475.89,3517.8025,0.45177615,0.4907549,33607.094,17210.426,5.966,Inf,8,"(abs((log(abs(log(abs(exp(0.30230957))))) * X6)) ^ 1.2564615) [likelihood params: Float32[]]"
2,18653,33173.434,33173.434,14.334076,11.876857,4380.8657,3402.9329,0.4634151,0.50738364,33147.223,16880.176,6.092,Inf,8,"(abs((log(abs(log(abs(exp(0.59265506))))) * X6)) ^ 1.5263959) [likelihood params: Float32[]]"
3,26613,33020.99,33020.99,6.931472,11.12413,4351.051,3354.5435,0.46706688,0.5143886,33002.934,16741.059,6.044,Inf,5,"((-36911.86 / X6) + 773.15027) [likelihood params: Float32[]]"
4,35750,33020.99,33020.99,6.931472,11.12413,4351.051,3354.5435,0.46706688,0.5143886,33002.934,16741.059,6.06,Inf,5,"((-36911.86 / X6) + 773.15027) [likelihood params: Float32[]]"
5,44709,33020.99,33020.99,6.931472,11.12413,4351.051,3354.5435,0.46706688,0.5143886,33002.934,16741.059,5.794,Inf,5,"((-36911.86 / X6) + 773.15027) [likelihood params: Float32[]]"
6,54466,32922.28,32922.28,26.366695,27.420284,4323.271,3379.6873,0.47046947,0.51074874,32868.492,16813.348,6.076,Inf,12,"(abs((log(abs(log(abs(((X16 - sqrt(abs(7.5107165e6))) + 2593.0168))))) * X6)) ^ 1.3106455) [likelihood params: Float32[]]"
7,65413,30395.396,30395.396,34.538776,18.84239,3801.2185,3215.7512,0.5344125,0.5344805,30342.016,16342.03,7.118,Inf,15,"(((X17 + exp((5.0465527 + 2.5653343))) + (-57027.492 / X6)) - (361.45874 * log(abs(X4)))) [likelihood params: Float32[]]"
8,76577,30225.408,30225.408,34.538776,20.149624,3765.8228,3250.529,0.5387479,0.529446,30170.719,16442.016,8.602,Inf,15,"(((X17 + exp((5.1503015 + 2.6691196))) + (-64775.69 / X6)) - (478.14352 * log(abs(X4)))) [likelihood params: Float32[]]"
9,87798,30225.408,30225.408,34.538776,20.149624,3765.8228,3250.529,0.5387479,0.529446,30170.719,16442.016,10.32,Inf,15,"(((X17 + exp((5.1503015 + 2.6691196))) + (-64775.69 / X6)) - (478.14352 * log(abs(X4)))) [likelihood params: Float32[]]"
10,99863,30225.408,30225.408,34.538776,20.149624,3765.8228,3250.529,0.5387479,0.529446,30170.719,16442.016,11.102,Inf,15,"(((X17 + exp((5.1503015 + 2.6691196))) + (-64775.69 / X6)) - (478.14352 * log(abs(X4)))) [likelihood params: Float32[]]"
11,112293,28005.469,28005.469,39.55004,27.198895,3304.6187,2723.5376,0.59523785,0.60573447,27938.719,14926.916,12.296,Inf,18,"(5.795039 * (389.22256 + ((X4 * -4.472817) - (-685476.56 / ((-27.4974 * X6) - (log(abs(X13)) + 794.87836)))))) [likelihood params: Float32[]]"
12,125483,27729.258,27729.258,39.55004,28.33038,3247.3105,2706.8135,0.6022572,0.6081555,27661.377,14878.834,13.688,Inf,18,"(7.7552347 * (385.1297 + ((X4 * -3.488677) - (-751933.4 / ((-17.648823 * X6) - (log(abs(X13)) + 1450.3472)))))) [likelihood params: Float32[]]"
13,138694,27651.4,27651.4,39.55004,32.931854,3230.272,2704.035,0.6043441,0.6085577,27578.918,14870.846,15.738,Inf,18,"(9.11835 * (385.16354 + ((X4 * -3.0060518) - (-766378.06 / ((-13.533166 * X6) - (log(abs(X13)) + 1649.6919)))))) [likelihood params: Float32[]]"
14,152123,27609.438,27609.438,39.55004,30.50003,3222.1035,2703.5813,0.60534465,0.6086234,27539.387,14869.541,18.316,Inf,18,"(10.240908 * (385.68823 + ((X4 * -2.6940806) - (-771694.8 / ((-11.215788 * X6) - (log(abs(X13)) + 1742.9025)))))) [likelihood params: Float32[]]"
15,166365,27512.684,27512.684,79.51701,39.879005,3191.9146,2516.5725,0.6090423,0.6356952,27393.287,14331.891,20.408,Inf,32,"sqrt(abs((sqrt(abs(((X17 + exp((8.980707 + 6.5105953))) + (-6.0282835e6 / X6)))) * ((54.832172 - 513.98224) + ((462.45743 + X7) - ((36.30833 * 422.75824) / (X25 * (X17 + (-184.37885 / X10))))))))) [likelihood params: Float32[]]"
16,180228,27513.646,27513.646,79.51701,42.47692,3191.577,2517.382,0.60908365,0.63557804,27391.652,14334.219,21.63,Inf,32,"sqrt(abs((sqrt(abs(((X17 + exp((8.981512 + 6.511401))) + (-6.0282835e6 / X6)))) * ((54.833725 - 513.98065) + ((462.45898 + X7) - ((36.32651 * 422.96997) / (X25 * (X17 + (-184.49394 / X10))))))))) [likelihood params: Float32[]]"
17,194277,27392.78,27392.78,71.81858,40.7267,3168.554,2721.626,0.6119036,0.6060112,27280.234,14921.42,23.18,Inf,28,"(10.046484 * (388.14807 + ((X4 * -2.7694213) - (-783331.4 / ((log((sqrt(abs((-2.1952337e-6 * 0.29754332))) * ((X7 / X23) / X7))) * X6) - (log(abs(X13)) + 1748.8975)))))) [likelihood params: Float32[]]"
18,209244,27377.99,27377.99,71.81858,42.37758,3165.1572,2723.7917,0.61231965,0.6056977,27263.795,14927.646,26.204,Inf,28,"(10.336067 * (389.10263 + ((X4 * -2.6956944) - (-781358.44 / ((log((sqrt(abs((-4.0854115e-6 * 0.553737))) * ((X7 / X23) / X7))) * X6) - (log(abs(X13)) + 1759.2429)))))) [likelihood params: Float32[]]"
19,225033,27243.914,27243.914,48.354286,17.615269,3147.4177,2695.9749,0.6144924,0.6097245,27177.945,14847.672,27.716,Inf,21,"((((-0.20562154 * X25) - 29.526442) * X4) + (((-14429.047 + (-2207.9185 + log(abs(15916.509)))) / sqrt(abs(16630.309))) - (-14.764598 * X6))) [likelihood params: Float32[]]"
20,240632,26314.014,26314.014,174.17778,52.55917,2922.05,2239.095,0.6420963,0.6758635,26087.277,13534.143,31.388,Inf,66,"(((log(abs(X10)) + (((53641.473 / sqrt(abs(X11))) + ((((((10967.971 / sqrt(abs(X11))) + 404.5414) + (X8 * 5.8614364)) - -211.65852) + (-727.8311 + (-155902.97 / X6))) + ((383.89227 + -338.88153) - (340.64816 / sqrt(abs(X8)))))) + (X8 * -16.979193))) - log(abs((44549.133 + log(abs(X3)))))) + (-454.23404 - (((X17 + 2825.738) + log(abs(X3))) / (sqrt(abs((109292.016 * ((X16 - sqrt(abs(7.9004585e6))) + 2688.1133)))) / -81.38267)))) [likelihood params: Float32[]]"
