-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10978,35299.16,35299.16,4818.0347,3764.656,0.40986896,0.45501977,35262.906,17920.13,6.024,Inf,11,"(abs(((X25 * exp(log(abs(-3682.9307)))) + sin(log(abs(X22))))) ^ 0.5464928) [likelihood params: Float32[]]"
2,18646,35089.426,35089.426,4774.8916,3724.8372,0.41515332,0.46078408,35054.113,17805.652,5.994,Inf,11,"(abs(((X25 * exp(log(abs(-1962.979)))) + sin(log(abs(X22))))) ^ 0.5806046) [likelihood params: Float32[]]"
3,26789,34991.633,34991.633,4754.6445,3705.6638,0.41763324,0.46355963,34956.13,17750.527,6.292,Inf,11,"(abs(((X25 * exp(log(abs(-1304.8663)))) + sin(log(abs(X22))))) ^ 0.6050922) [likelihood params: Float32[]]"
4,34935,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,6.266,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
5,43151,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,6.442,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
6,52667,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,6.838,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
7,61785,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,8.306,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
8,71737,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,9.176,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
9,82205,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,9.836,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
10,91999,31832.143,31832.143,4105.769,3392.4302,0.49710995,0.50890404,31815.89,16849.982,10.742,Inf,5,"(abs((X1 / X11)) ^ -1.8851475) [likelihood params: Float32[]]"
11,102968,31806.436,31806.436,4093.4324,3181.7485,0.498621,0.53940284,31756.188,16244.272,12.932,Inf,17,"(((X12 - ((-16.678513 * X6) / sqrt(abs(sqrt(abs(X5)))))) + (-139.50223 + (X19 + X23))) + -278.76297) [likelihood params: Float32[]]"
12,114259,27353.365,27353.365,3173.519,2298.7158,0.61129546,0.66723263,27304.262,13705.553,14.5,Inf,16,"((((16.029316 * X6) + X25) - (41940.27 + -35263.617)) + ((sqrt(abs(X3)) * -228.24504) + 7890.2554)) [likelihood params: Float32[]]"
13,125387,27353.365,27353.365,3173.519,2298.7158,0.61129546,0.66723263,27304.262,13705.553,16.242,Inf,16,"((((16.029316 * X6) + X25) - (41940.27 + -35263.617)) + ((sqrt(abs(X3)) * -228.24504) + 7890.2554)) [likelihood params: Float32[]]"
14,136941,27160.572,27160.572,3134.4407,2261.8157,0.61608195,0.6725744,27115.143,13599.465,19.384,Inf,16,"((((16.565548 * X6) + 263.0835) - (42017.47 + -35186.418)) + ((sqrt(abs(X3)) * -234.87508) + 7813.0757)) [likelihood params: Float32[]]"
15,148660,26679.707,26679.707,3029.6794,2624.5225,0.62891346,0.6200681,26608.148,14642.248,20.882,Inf,21,"(((X12 - ((-56.46579 * X6) / sqrt(abs((X4 + ((log(24.256088) * -65.6673) + 201.94608)))))) + (-486.06888 + 36.670895)) + -539.4691) [likelihood params: Float32[]]"
16,160019,26679.707,26679.707,3029.6794,2624.5225,0.62891346,0.6200681,26608.148,14642.248,22.036,Inf,21,"(((X12 - ((-56.46579 * X6) / sqrt(abs((X4 + ((log(24.256088) * -65.6673) + 201.94608)))))) + (-486.06888 + 36.670895)) + -539.4691) [likelihood params: Float32[]]"
17,171691,24511.688,24511.688,2576.6443,2298.2036,0.68440294,0.6673068,24415.684,13704.08,23.618,Inf,25,"(log(abs(3.0410462e6)) + ((((-3.0588043 - X23) * ((X7 - ((sqrt(abs((X11 - -10930.3955))) * X4) * 0.014633791)) * log(abs(log(abs(-1.0065649)))))) / X1) - 272.41122)) [likelihood params: Float32[]]"
18,182313,21880.105,21880.105,2028.7726,1720.3151,0.7515083,0.7509633,21764.254,12042.65,25.492,Inf,31,"(log(abs(3.0437972e6)) + ((((2.0427177 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.99512 + -64.09629)) + 44.890553) * X6))) * X4) * 0.027184665)) * log(abs(log(abs(-1.0024912)))))) / X1) - 425.7398)) [likelihood params: Float32[]]"
19,192873,21850.475,21850.475,2022.876,1744.3478,0.7522305,0.7474842,21735.719,12111.745,30.034,Inf,31,"(log(abs(3.0979948e6)) + ((((8.706677 - X23) * ((X7 - ((sqrt(abs((((X25 * (60.78735 + -66.30538)) + 225.82936) * X6))) * X4) * 0.012237515)) * log(abs(log(abs(-1.001413)))))) / X1) - 427.62573)) [likelihood params: Float32[]]"
20,202380,21849.352,21849.352,2022.8749,1744.4032,0.75223064,0.7474762,21735.71,12111.904,32.188,Inf,31,"(log(abs(3.0074452e6)) + ((((8.711539 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.95216 + -64.13927)) + 48.58605) * X6))) * X4) * 0.026383478)) * log(abs(log(abs(-1.001412)))))) / X1) - 427.61035)) [likelihood params: Float32[]]"
21,210759,21848.121,21848.121,2022.877,1744.4249,0.7522304,0.74747306,21735.723,12111.967,34.914,Inf,30,"(177.61021 + ((((8.731218 - X23) * ((X7 - ((sqrt(abs((((X25 * (60.754917 + -66.33785)) + 228.49586) * X6))) * X4) * 0.012166432)) * log(abs(log(abs(-1.0014099)))))) / X1) - 590.28284)) [likelihood params: Float32[]]"
22,219762,21604.494,21604.494,1969.8629,1709.1676,0.7587238,0.752577,21479.16,12010.602,35.076,Inf,35,"(log(abs(3.0061602e6)) + ((((11.48094 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.954594 + -64.13701)) + 56.337704) * ((X9 * 1.546175) * 0.3479928)))) * X4) * 0.029627977)) * log(abs(log(abs(-1.0030497)))))) / X1) - 286.04407)) [likelihood params: Float32[]]"
23,228966,21604.494,21604.494,1969.8629,1709.1676,0.7587238,0.752577,21479.16,12010.602,37.082,Inf,35,"(log(abs(3.0061602e6)) + ((((11.48094 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.954594 + -64.13701)) + 56.337704) * ((X9 * 1.546175) * 0.3479928)))) * X4) * 0.029627977)) * log(abs(log(abs(-1.0030497)))))) / X1) - 286.04407)) [likelihood params: Float32[]]"
24,238411,21460.178,21460.178,1937.1708,1628.7194,0.76272804,0.76422286,21320.947,11779.313,40.806,Inf,40,"(((X25 * (56.51692 + -70.575935)) + 69.579124) + ((((8.165489 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.519554 + -64.57206)) + 56.14799) * ((X9 * 1.6670724) * 0.37517282)))) * X4) * 0.030768014)) * log(abs(log(abs(-1.0026633)))))) / X1) - 240.37708)) [likelihood params: Float32[]]"
25,247593,21460.178,21460.178,1937.1708,1628.7194,0.76272804,0.76422286,21320.947,11779.313,43.018,Inf,40,"(((X25 * (56.51692 + -70.575935)) + 69.579124) + ((((8.165489 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.519554 + -64.57206)) + 56.14799) * ((X9 * 1.6670724) * 0.37517282)))) * X4) * 0.030768014)) * log(abs(log(abs(-1.0026633)))))) / X1) - 240.37708)) [likelihood params: Float32[]]"
26,256485,21460.178,21460.178,1937.1708,1628.7194,0.76272804,0.76422286,21320.947,11779.313,44.606,Inf,40,"(((X25 * (56.51692 + -70.575935)) + 69.579124) + ((((8.165489 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.519554 + -64.57206)) + 56.14799) * ((X9 * 1.6670724) * 0.37517282)))) * X4) * 0.030768014)) * log(abs(log(abs(-1.0026633)))))) / X1) - 240.37708)) [likelihood params: Float32[]]"
27,266187,21460.178,21460.178,1937.1708,1628.7194,0.76272804,0.76422286,21320.947,11779.313,46.76,Inf,40,"(((X25 * (56.51692 + -70.575935)) + 69.579124) + ((((8.165489 - X23) * ((X7 - ((sqrt(abs((((X25 * (62.519554 + -64.57206)) + 56.14799) * ((X9 * 1.6670724) * 0.37517282)))) * X4) * 0.030768014)) * log(abs(log(abs(-1.0026633)))))) / X1) - 240.37708)) [likelihood params: Float32[]]"
28,276417,21230.102,21230.102,1895.25,1496.8607,0.7678627,0.783311,21118.07,11400.22,46.314,Inf,28,"(exp(-10826.879) + ((sqrt(abs(sqrt(abs(-81376.91)))) * X6) + ((((-4.784518 - X23) * ((28.82203 - ((X6 * X4) * 0.005836773)) * log(abs(log(abs(-0.9999347)))))) / X1) - 1684.979))) [likelihood params: Float32[]]"
29,286370,21075.846,21075.846,1844.3546,1505.5288,0.7740965,0.7820562,20871.762,11425.141,47.95,Inf,50,"((X7 - ((sqrt(abs((((X25 * (63.008724 + -64.08303)) + (X8 + sin(1.8524172))) * (sqrt(abs((X16 - 207.70993))) + X16)))) * X4) * 0.13779067)) + ((sqrt(abs(sqrt(abs(-75252.31)))) * X6) + ((((-6.901772 - X23) * ((28.601591 - ((X6 * X4) * 0.00612502)) * log(abs(log(abs(-0.99994135)))))) / X1) - 1701.6163))) [likelihood params: Float32[]]"
30,295755,21073.066,21073.066,1843.2986,1513.8337,0.77422583,0.780854,20866.652,11449.018,50.126,Inf,49,"((X7 - ((sqrt(abs((((X25 * (63.008724 + -64.08303)) + (X8 + sin(1.8524172))) * ((-182.43036 + X12) + X16)))) * X4) * 0.13779067)) + ((sqrt(abs(sqrt(abs(-75252.31)))) * X6) + ((((-6.901772 - X23) * ((28.601591 - ((X6 * X4) * 0.00612502)) * log(abs(log(abs(-0.99994135)))))) / X1) - 1701.6163))) [likelihood params: Float32[]]"
31,305860,20327.494,20327.494,1684.0715,1464.5879,0.7937286,0.78798294,20096.072,11307.436,52.164,Inf,56,"((X7 - ((sqrt(abs((((X25 * (63.012276 + -64.0795)) + (X8 + sin(1.2104846))) * (sqrt(abs((X16 - -89381.016))) + X16)))) * X4) * 0.14307311)) + ((sqrt(abs(sqrt(abs(-59620.08)))) * X6) + ((((20.861713 - X23) * ((85.411995 - ((X6 * (1.7620277 * ((1.0226417 * X5) + X7))) * 0.0018370333)) * log(abs(log(abs(-0.9934288)))))) / X1) - 1635.949))) [likelihood params: Float32[]]"
32,316697,19680.18,19680.18,1548.8978,1263.5173,0.81028515,0.81709033,19441.898,10729.357,53.6,Inf,55,"((X7 - ((sqrt(abs((((X25 * (62.872612 + -64.21288)) + (X8 + sin((5.869653 * ((-0.38064885 * X5) + X6))))) * ((-296.56537 + X12) + X16)))) * X4) * 0.6699374)) + ((sqrt(abs(sqrt(abs(-85926.65)))) * X6) + ((((-13.4255 - X23) * ((28.648039 - ((X6 * X4) * 0.0046694158)) * log(abs(log(abs(-0.9998099)))))) / X1) - 1755.7256))) [likelihood params: Float32[]]"
33,328045,19645.26,19645.26,1518.6715,1322.466,0.8139874,0.8085568,19295.617,10898.835,54.726,Inf,81,"((X7 - ((sqrt(abs(((((((76.20975 - X23) * ((X7 - ((sqrt(abs((((X25 * (66.00987 + -71.43966)) + 112.07948) * ((15.467437 * (X25 * (1576.2069 + sqrt(abs(X5))))) * 0.01493118)))) * X4) * 0.035923965)) * log(abs(log(abs(-0.99715626)))))) / 1.5205116) - -11305.884) + (X8 + sin(X4))) * ((-305.74625 + X12) + X16)))) * X4) * -0.0123072285)) + ((sqrt(abs(sqrt(abs(-100428.74)))) * X6) + ((((-35.718792 - X23) * ((27.417606 - ((X6 * X4) * 0.0056367964)) * log(abs(log(abs(-0.9997796)))))) / X1) - 1919.9701))) [likelihood params: Float32[]]"
34,339488,19629.508,19629.508,1514.7355,1317.4977,0.8144695,0.809276,19276.568,10884.551,55.078,Inf,80,"((X7 - ((sqrt(abs(((((((76.00886 - X23) * ((X7 - ((sqrt(abs((((X25 * (65.978226 + -71.471306)) + 111.82076) * ((15.533251 * (X25 * (1583.2062 + sqrt(abs(X5))))) * 0.01499471)))) * X4) * 0.036000397)) * log(abs(log(abs(-0.99721605)))))) / 1.5150385) - -11249.301) + (X8 + X6)) * ((-305.75223 + X12) + X16)))) * X4) * -0.012209669)) + ((sqrt(abs(sqrt(abs(-100388.72)))) * X6) + ((((-35.745407 - X23) * ((27.412691 - ((X6 * X4) * 0.0056313016)) * log(abs(log(abs(-0.9997774)))))) / X1) - 1920.2606))) [likelihood params: Float32[]]"
35,352246,19556.88,19556.88,1537.1802,1347.135,0.8117204,0.80498564,19385.19,10969.758,56.59,Inf,41,"((X7 - ((sqrt(abs((sqrt(abs(X5)) * ((-305.67548 + X12) + X16)))) * X4) * -0.5408936)) + ((sqrt(abs(sqrt(abs(-77045.695)))) * X6) + ((((2.7234561 - X23) * ((29.352537 - ((X6 * X4) * 0.0053239893)) * log(abs(log(abs(-0.99996555)))))) / X1) - 1844.2181))) [likelihood params: Float32[]]"
36,366378,19289.281,19289.281,1446.7106,1330.3469,0.8228015,0.80741596,18947.361,10921.492,58.684,Inf,78,"((X7 - ((sqrt(abs(((((((85.54133 - X23) * ((X7 - ((sqrt(abs((((X25 * (65.72163 + -71.72799)) + 125.005066) * ((23.615536 * (-1.0747709 * X5)) * 0.022797162)))) * X4) * 0.0456144)) * log(abs(log(abs(-0.99999094)))))) / 0.1571956) - -5149.76) + (X8 + sin(X4))) * ((-305.71823 + X12) + X16)))) * X4) * -0.011333325)) + ((sqrt(abs(sqrt(abs(-77277.84)))) * X6) + ((((-35.029556 - X23) * ((27.83891 - ((X6 * X4) * 0.0050096335)) * log(abs(log(abs(-0.9997977)))))) / X1) - 1907.139))) [likelihood params: Float32[]]"
37,381728,19166.377,19166.377,1463.7975,1205.2635,0.8207086,0.82552326,19030.055,10561.878,61.974,Inf,31,"((X7 - (X5 * 4.028509)) + ((sqrt(abs(sqrt(abs(-28047.26)))) * X6) + ((((4.3961873 - X23) * ((30.38458 - ((X6 * X4) * 0.003745948)) * log(abs(log(abs(-0.9999609)))))) / X1) - 1289.404))) [likelihood params: Float32[]]"
38,398692,18770.63,18770.63,1373.61,1117.0798,0.83175504,0.83828896,18593.592,10308.35,62.02,Inf,47,"(((X25 * (63.53295 + -63.552547)) * exp(log(abs(X14)))) + ((sqrt(abs(X5)) * X6) + ((((27.803656 - X23) * ((826.0946 - (((((X3 + 65.97112) - X6) * X5) * (-0.3422124 * ((4.995453 * X5) + X7))) * -0.00035700004)) * log(abs(log(abs(log(abs(-0.17392191)))))))) / X1) - 1066.6494))) [likelihood params: Float32[]]"
39,415573,18747.488,18747.488,1369.3684,1116.8762,0.8322746,0.83831847,18573.064,10307.765,62.016,Inf,47,"(((X25 * (63.536877 + -63.5486)) * exp(log(abs(X14)))) + ((sqrt(abs(X5)) * X6) + ((((27.30793 - X23) * ((822.15607 - (((((X3 + 79.32198) - X6) * X5) * (-0.36178166 * ((3.626007 * X5) + X7))) * -0.0003776148)) * log(abs(log(abs(log(abs(-0.17514975)))))))) / X1) - 1087.7959))) [likelihood params: Float32[]]"
40,432445,18747.488,18747.488,1369.3684,1116.8762,0.8322746,0.83831847,18573.064,10307.765,61.304,Inf,47,"(((X25 * (63.536877 + -63.5486)) * exp(log(abs(X14)))) + ((sqrt(abs(X5)) * X6) + ((((27.30793 - X23) * ((822.15607 - (((((X3 + 79.32198) - X6) * X5) * (-0.36178166 * ((3.626007 * X5) + X7))) * -0.0003776148)) * log(abs(log(abs(log(abs(-0.17514975)))))))) / X1) - 1087.7959))) [likelihood params: Float32[]]"
41,449441,18747.488,18747.488,1369.3684,1116.8762,0.8322746,0.83831847,18573.064,10307.765,62.538,Inf,47,"(((X25 * (63.536877 + -63.5486)) * exp(log(abs(X14)))) + ((sqrt(abs(X5)) * X6) + ((((27.30793 - X23) * ((822.15607 - (((((X3 + 79.32198) - X6) * X5) * (-0.36178166 * ((3.626007 * X5) + X7))) * -0.0003776148)) * log(abs(log(abs(log(abs(-0.17514975)))))))) / X1) - 1087.7959))) [likelihood params: Float32[]]"
42,467831,18747.488,18747.488,1369.3684,1116.8762,0.8322746,0.83831847,18573.064,10307.765,64.212,Inf,47,"(((X25 * (63.536877 + -63.5486)) * exp(log(abs(X14)))) + ((sqrt(abs(X5)) * X6) + ((((27.30793 - X23) * ((822.15607 - (((((X3 + 79.32198) - X6) * X5) * (-0.36178166 * ((3.626007 * X5) + X7))) * -0.0003776148)) * log(abs(log(abs(log(abs(-0.17514975)))))))) / X1) - 1087.7959))) [likelihood params: Float32[]]"
43,486587,17875.8,17875.8,1142.0905,958.58624,0.8601125,0.8612329,17473.15,9852.681,65.7,Inf,85,"(((-0.24714962 * X5) + X7) + ((((52.487743 - X23) * (((log(abs(sqrt(abs(((X16 * log(abs(X6))) - -562544.6))))) - ((sqrt(abs(((sqrt(abs(X6)) + -164.39203) * ((-305.72806 + X12) + X16)))) * X4) / -61.274727)) + ((sqrt(abs(sin(26671.568))) * X6) + (((((1091.8191 + 974.8809) - (((((((X3 + 32.044342) - X6) * X5) * 0.023659065) + -15.356917) - X6) * X5)) * ((2139.1404 - ((X6 * X4) * 0.22975892)) * log(abs(log(abs(-0.367768)))))) / X1) - 7.722863))) * log(abs(-0.105169214)))) / X1) - (255.47847 - X23))) [likelihood params: Float32[]]"
44,506005,17730.24,17730.24,1113.48,952.5249,0.86361676,0.8621103,17334.691,9835.254,67.618,Inf,85,"(((0.696433 * X5) + X7) + ((((59.95768 - X23) * (((log(abs(sqrt(abs(((X16 * log(abs(X6))) - -562232.7))))) - ((sqrt(abs(((sqrt(abs(X6)) + -262.8605) * ((-305.78473 + X12) + X16)))) * X4) / -58.997116)) + ((sqrt(abs(sin(26672.078))) * X6) + (((((1097.6235 + 980.6969) - (((((((X3 + 47.690044) - X6) * X5) * 0.017252149) + -15.585217) - X6) * X5)) * ((2544.083 - ((X6 * X4) * 0.19696213)) * log(abs(log(abs(-0.36773285)))))) / X1) - 11.230197))) * log(abs(-0.10018791)))) / X1) - (264.04324 - X23))) [likelihood params: Float32[]]"
45,525331,17730.24,17730.24,1113.48,952.5249,0.86361676,0.8621103,17334.691,9835.254,67.95,Inf,85,"(((0.696433 * X5) + X7) + ((((59.95768 - X23) * (((log(abs(sqrt(abs(((X16 * log(abs(X6))) - -562232.7))))) - ((sqrt(abs(((sqrt(abs(X6)) + -262.8605) * ((-305.78473 + X12) + X16)))) * X4) / -58.997116)) + ((sqrt(abs(sin(26672.078))) * X6) + (((((1097.6235 + 980.6969) - (((((((X3 + 47.690044) - X6) * X5) * 0.017252149) + -15.585217) - X6) * X5)) * ((2544.083 - ((X6 * X4) * 0.19696213)) * log(abs(log(abs(-0.36773285)))))) / X1) - 11.230197))) * log(abs(-0.10018791)))) / X1) - (264.04324 - X23))) [likelihood params: Float32[]]"
46,544698,17730.24,17730.24,1113.48,952.5249,0.86361676,0.8621103,17334.691,9835.254,67.884,Inf,85,"(((0.696433 * X5) + X7) + ((((59.95768 - X23) * (((log(abs(sqrt(abs(((X16 * log(abs(X6))) - -562232.7))))) - ((sqrt(abs(((sqrt(abs(X6)) + -262.8605) * ((-305.78473 + X12) + X16)))) * X4) / -58.997116)) + ((sqrt(abs(sin(26672.078))) * X6) + (((((1097.6235 + 980.6969) - (((((((X3 + 47.690044) - X6) * X5) * 0.017252149) + -15.585217) - X6) * X5)) * ((2544.083 - ((X6 * X4) * 0.19696213)) * log(abs(log(abs(-0.36773285)))))) / X1) - 11.230197))) * log(abs(-0.10018791)))) / X1) - (264.04324 - X23))) [likelihood params: Float32[]]"
47,564441,17727.373,17727.373,1116.2578,1019.52936,0.86327654,0.8524106,17348.133,10027.893,67.302,Inf,98,"(((((13.136962 - X23) * (((((-8.4210205 * ((352.6354 - ((4.68104 * X4) * 1.3700364)) * log(abs(log(abs(-1.0046592)))))) / X1) - 1421.7687) - ((((-9054.887 - -605258.3) * ((sqrt(abs(sqrt(abs(-107486.22)))) * X6) / 49131.547)) + X6) * -0.101718165)) * log(abs(log(abs(-2.149797)))))) / X1) - -2806.372) + ((((sin((X11 - X25)) - 32.12074) * ((X7 - (((((X4 / X23) + (538.7514 + ((sqrt(abs((39.97639 - X23))) * X6) + ((((18.39375 - X23) * ((-137.15086 - ((X6 * -0.01317671) * X5)) * X16)) / X7) - 1743.3629)))) + 453.5613) * X3) * 0.000111405556)) * log(abs(X25)))) / X4) - 3139.8845)) [likelihood params: Float32[]]"
48,584302,17521.297,17521.297,1069.2646,942.0254,0.86903244,0.86363024,17120.71,9805.068,68.124,Inf,85,"(((1.1214823 * X5) + -1.0768338) + ((((64.60618 - X23) * (((log(abs(log(abs(((X16 * log(abs(X6))) - -497692.3))))) - ((sqrt(abs(((sqrt(abs(X6)) + -7.9593587) * ((-305.77087 + X12) + X16)))) * X4) / -220.62341)) * ((sqrt(abs(sin(26672.115))) * X6) + (((((1352.2135 + 1235.3717) - (((((((X3 + 56.597183) - X6) * X5) * 0.014923272) + -13.2928) - X6) * X5)) * ((2162.9812 - ((X6 * X4) * 0.13059632)) * log(abs(log(abs(-0.3677718)))))) / X1) - 7.328034))) * log(abs(-0.19720408)))) / X1) - (264.86032 - X15))) [likelihood params: Float32[]]"
