-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10646,206.74724,206.74724,17.917595,17.786116,0.061171245,0.1509366,0.4609905,-0.07788396,171.04352,670.64844,6.058,Inf,10,"(-15.213073 + ((log(abs((-0.45655492 * -0.78222805))) - -1.0815691) * X49)) [likelihood params: Float32[]]"
2,19897,206.74724,206.74724,17.917595,17.786116,0.061171245,0.1509366,0.4609905,-0.07788396,171.04352,670.64844,5.638,Inf,10,"(-15.213073 + ((log(abs((-0.45655492 * -0.78222805))) - -1.0815691) * X49)) [likelihood params: Float32[]]"
3,28847,204.8197,204.8197,17.917595,15.858648,0.06117124,0.15094061,0.46099055,-0.07791257,171.04346,670.67456,5.444,Inf,10,"(-15.213117 + ((log(abs((1.5615746 * -0.41151616))) - -0.49412623) * X49)) [likelihood params: Float32[]]"
4,37553,204.8197,204.8197,17.917595,15.858648,0.06117124,0.15094061,0.46099055,-0.07791257,171.04346,670.67456,4.698,Inf,10,"(-15.213117 + ((log(abs((1.5615746 * -0.41151616))) - -0.49412623) * X49)) [likelihood params: Float32[]]"
5,45573,186.51218,186.51218,6.931472,8.537855,0.061171193,0.15093672,0.46099097,-0.07788491,171.04285,670.6493,3.5,Inf,5,"(-15.212575 + (0.05191239 * X49)) [likelihood params: Float32[]]"
6,52871,186.51218,186.51218,6.931472,8.537855,0.061171193,0.15093672,0.46099097,-0.07788491,171.04285,670.6493,2.854,Inf,5,"(-15.212575 + (0.05191239 * X49)) [likelihood params: Float32[]]"
7,59642,186.51218,186.51218,6.931472,8.537855,0.061171193,0.15093672,0.46099097,-0.07788491,171.04285,670.6493,2.518,9.676706e7,5,"(-15.212575 + (0.05191239 * X49)) [likelihood params: Float32[]]"
8,66828,183.43869,183.43869,16.125835,1.0084128,0.06080832,0.14521937,0.46418846,-0.037055492,166.30444,633.37354,2.53,Inf,9,"(15.5235405 / (36.663307 + ((0.55545753 - 0.6451257) * X49))) [likelihood params: Float32[]]"
9,73753,183.43869,183.43869,16.125835,1.0084128,0.06080832,0.14521937,0.46418846,-0.037055492,166.30444,633.37354,2.328,Inf,9,"(15.5235405 / (36.663307 + ((0.55545753 - 0.6451257) * X49))) [likelihood params: Float32[]]"
10,81156,183.43869,183.43869,16.125835,1.0084128,0.06080832,0.14521937,0.46418846,-0.037055492,166.30444,633.37354,2.606,6.805647e35,9,"(15.5235405 / (36.663307 + ((0.55545753 - 0.6451257) * X49))) [likelihood params: Float32[]]"
11,89255,183.43869,183.43869,16.125835,1.0084128,0.06080832,0.14521937,0.46418846,-0.037055492,166.30444,633.37354,3.282,Inf,9,"(15.5235405 / (36.663307 + ((0.55545753 - 0.6451257) * X49))) [likelihood params: Float32[]]"
12,98146,183.43869,183.43869,16.125835,1.0084128,0.06080832,0.14521937,0.46418846,-0.037055492,166.30444,633.37354,3.584,Inf,9,"(15.5235405 / (36.663307 + ((0.55545753 - 0.6451257) * X49))) [likelihood params: Float32[]]"
13,107495,178.65674,178.65674,11.266066,1.0863523,0.06080831,0.1452218,0.46418852,-0.037072897,166.30432,633.3895,4.348,Inf,7,"(437.68616 / (1033.7294 + (-2.528211 * X49))) [likelihood params: Float32[]]"
14,118283,178.65674,178.65674,11.266066,1.0863523,0.06080831,0.1452218,0.46418852,-0.037072897,166.30432,633.3895,4.89,4.3959355e16,7,"(437.68616 / (1033.7294 + (-2.528211 * X49))) [likelihood params: Float32[]]"
