-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11879,664.3026,664.3026,3.295837,9.50103,0.097966135,0.12929733,0.13677287,0.07664859,651.50574,529.5659,6.226,Inf,3,"(113.21226 / X6) [likelihood params: Float32[0.165]]"
2,21759,458.30527,458.30527,9.704061,11.881823,0.08151731,0.15517706,0.28171152,-0.108166456,436.71936,698.29517,5.642,Inf,7,"(-4.6657066 + (-4.628232 + (X47 * 0.03573341))) [likelihood params: Float32[0.165]]"
3,31474,458.30527,458.30527,9.704061,11.881823,0.08151731,0.15517706,0.28171152,-0.108166456,436.71936,698.29517,5.462,Inf,7,"(-4.6657066 + (-4.628232 + (X47 * 0.03573341))) [likelihood params: Float32[0.165]]"
4,40359,458.30527,458.30527,9.704061,11.881823,0.08151731,0.15517706,0.28171152,-0.108166456,436.71936,698.29517,4.368,Inf,7,"(-4.6657066 + (-4.628232 + (X47 * 0.03573341))) [likelihood params: Float32[0.165]]"
5,49472,458.30527,458.30527,9.704061,11.881823,0.08151731,0.15517706,0.28171152,-0.108166456,436.71936,698.29517,3.712,Inf,7,"(-4.6657066 + (-4.628232 + (X47 * 0.03573341))) [likelihood params: Float32[0.165]]"
6,57385,455.58286,455.58286,6.931472,11.932165,0.081517294,0.15519944,0.28171158,-0.1083262,436.71924,698.44104,2.98,1.24191015e11,5,"(-9.299587 + (X47 * 0.035749845)) [likelihood params: Float32[0.165]]"
7,64827,455.58286,455.58286,6.931472,11.932165,0.081517294,0.15519944,0.28171158,-0.1083262,436.71924,698.44104,2.704,1.760795e7,5,"(-9.299587 + (X47 * 0.035749845)) [likelihood params: Float32[0.165]]"
8,72268,432.4402,432.4402,16.125835,19.682053,0.07844735,0.15484671,0.30876237,-0.105807304,396.63232,696.14136,2.792,3.320654e7,9,"(-9.218127 + (X47 * (0.03603978 - (X53 * 1.720394e-6)))) [likelihood params: Float32[0.165]]"
9,80646,432.4402,432.4402,16.125835,19.682053,0.07844735,0.15484671,0.30876237,-0.105807304,396.63232,696.14136,3.262,6.805647e35,9,"(-9.218127 + (X47 * (0.03603978 - (X53 * 1.720394e-6)))) [likelihood params: Float32[0.165]]"
10,90372,432.4402,432.4402,16.125835,19.682053,0.07844735,0.15484671,0.30876237,-0.105807304,396.63232,696.14136,3.658,6.805647e35,9,"(-9.218127 + (X47 * (0.03603978 - (X53 * 1.720394e-6)))) [likelihood params: Float32[0.165]]"
11,99972,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,3.824,6.805647e35,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
12,110440,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,4.208,6.805647e35,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
13,120538,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,4.308,5.5858643e14,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
14,131852,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,4.708,1.3544612e9,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
15,144870,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,5.81,1.0983589e14,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
16,157511,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,6.582,6.805647e35,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
17,171053,428.98862,428.98862,21.405012,14.727913,0.07815813,0.149475,0.31131083,-0.06744623,392.8557,661.11914,7.02,6.805647e35,11,"(29.151102 / (48.848618 + (X47 * (-0.11532017 - (X53 * -5.54198e-6))))) [likelihood params: Float32[0.165]]"
18,184085,424.86276,424.86276,25.296831,6.13092,0.07820249,0.1507308,0.31091988,-0.07641435,393.435,669.30676,7.508,Inf,13,"((X47 * 1110.7615) / (516103.5 + (X47 * (-1150.8567 - (X53 * -0.07246829))))) [likelihood params: Float32[0.165]]"
19,197570,423.899,423.899,25.296831,5.167155,0.07820249,0.15073082,0.31091988,-0.076414466,393.435,669.30676,7.97,Inf,13,"((X47 * 1110.7615) / (516103.5 + (X47 * (-1150.8567 - (X53 * -0.07246831))))) [likelihood params: Float32[0.165]]"
20,211142,423.899,423.899,25.296831,5.167155,0.07820249,0.15073082,0.31091988,-0.076414466,393.435,669.30676,8.96,5.4188815e22,13,"((X47 * 1110.7615) / (516103.5 + (X47 * (-1150.8567 - (X53 * -0.07246831))))) [likelihood params: Float32[0.165]]"
21,224327,423.899,423.899,25.296831,5.167155,0.07820249,0.15073082,0.31091988,-0.076414466,393.435,669.30676,9.46,Inf,13,"((X47 * 1110.7615) / (516103.5 + (X47 * (-1150.8567 - (X53 * -0.07246831))))) [likelihood params: Float32[0.165]]"
22,238784,423.899,423.899,25.296831,5.167155,0.07820249,0.15073082,0.31091988,-0.076414466,393.435,669.30676,11.52,Inf,13,"((X47 * 1110.7615) / (516103.5 + (X47 * (-1150.8567 - (X53 * -0.07246831))))) [likelihood params: Float32[0.165]]"
23,254370,423.38528,423.38528,25.296831,4.6535063,0.07820249,0.15072949,0.31091994,-0.07640505,393.43494,669.2982,13.558,4.0473037e17,13,"((X47 * -2557.8296) / (-1.1884305e6 + (X47 * (2650.0518 - (X53 * 0.1668832))))) [likelihood params: Float32[0.165]]"
24,270253,423.38528,423.38528,25.296831,4.6535063,0.07820249,0.15072949,0.31091994,-0.07640505,393.43494,669.2982,15.156,Inf,13,"((X47 * -2557.8296) / (-1.1884305e6 + (X47 * (2650.0518 - (X53 * 0.1668832))))) [likelihood params: Float32[0.165]]"
25,285842,423.38528,423.38528,25.296831,4.6535063,0.07820249,0.15072949,0.31091994,-0.07640505,393.43494,669.2982,16.798,Inf,13,"((X47 * -2557.8296) / (-1.1884305e6 + (X47 * (2650.0518 - (X53 * 0.1668832))))) [likelihood params: Float32[0.165]]"
26,302219,410.7929,410.7929,85.19565,21.692661,0.07134605,0.15356386,0.37133533,-0.09664595,303.9046,687.77747,19.262,Inf,37,"(X47 * ((X14 + ((157351.6 / X47) + (X47 * (1.2452315e-6 * (((((X41 * (X47 * 2.6896258e6)) / 1.0593876e6) - (22.110937 * 4312.0913)) + (-370322.78 - (986948.6 - (-728731.25 - (X50 * 492.48248))))) - X40))))) / -27570.926)) [likelihood params: Float32[0.165]]"
27,319398,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,21.578,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
28,337172,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,23.36,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
29,354193,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,22.42,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
30,371399,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,23.49,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
31,388430,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,25.824,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
32,404351,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,25.972,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
33,420472,409.52054,409.52054,26.876392,5.719523,0.07693809,0.149901,0.32206118,-0.07048845,376.92462,663.8966,25.134,Inf,15,"(12279.336 / ((20624.803 + (X51 * 1.5326447)) + ((X47 * (X47 * -49.235184)) / X47))) [likelihood params: Float32[0.165]]"
34,436053,405.62952,405.62952,19.709354,8.087095,0.077007666,0.1511512,0.32144815,-0.07941651,377.83307,672.0476,27.066,Inf,11,"(2468.6511 / ((-2688.9207 + (X51 * 0.305767)) + (1.1799928e6 / X47))) [likelihood params: Float32[0.165]]"
35,450868,366.09702,366.09702,14.4849415,10.861701,0.07416779,0.150585,0.34647167,-0.07537305,340.75037,668.3561,27.992,Inf,9,"(1.3556695e-7 * (((X47 * X47) - 53001.848) * X46)) [likelihood params: Float32[0.165]]"
36,465865,366.09702,366.09702,14.4849415,10.861701,0.07416779,0.150585,0.34647167,-0.07537305,340.75037,668.3561,28.698,Inf,9,"(1.3556695e-7 * (((X47 * X47) - 53001.848) * X46)) [likelihood params: Float32[0.165]]"
37,481186,366.09702,366.09702,14.4849415,10.861701,0.07416779,0.150585,0.34647167,-0.07537305,340.75037,668.3561,28.682,Inf,9,"(1.3556695e-7 * (((X47 * X47) - 53001.848) * X46)) [likelihood params: Float32[0.165]]"
38,494977,366.09702,366.09702,14.4849415,10.861701,0.07416779,0.150585,0.34647167,-0.07537305,340.75037,668.3561,29.976,Inf,9,"(1.3556695e-7 * (((X47 * X47) - 53001.848) * X46)) [likelihood params: Float32[0.165]]"
