-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10188,61323.36,61323.36,59.702682,47.184727,0.95328313,0.9472172,61285.0,42515.633,5.782,Inf,10,"((X1 - sqrt(abs((-328.47372 * (-7.373062 * X1))))) + 632.57416) [likelihood params: Float32[]]"
2,18019,61323.36,61323.36,59.702682,47.184727,0.95328313,0.9472172,61285.0,42515.633,5.69,Inf,10,"((X1 - sqrt(abs((-328.47372 * (-7.373062 * X1))))) + 632.57416) [likelihood params: Float32[]]"
3,26645,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,5.45,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
4,34586,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,5.45,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
5,42760,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,5.262,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
6,50788,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,4.548,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
7,59141,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,4.282,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
8,67386,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,4.476,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
9,76047,59170.453,59170.453,57.354496,46.08117,0.95512056,0.9484517,59093.36,41632.785,4.94,Inf,18,"((X1 - sqrt(abs((-125.748535 * (((45.673798 / log(abs((sin(3.1729515) * X1)))) + 14.566192) * X1))))) + 930.082) [likelihood params: Float32[]]"
10,85981,58536.523,58536.523,56.666546,50.70945,0.95565885,0.9432743,58451.273,45335.41,6.006,6.805647e35,21,"((X1 - sqrt(abs((-33.618717 * (((0.4775773 / log(abs((sin(-31.480707) * (sqrt(abs(X1)) * X2))))) + 71.97727) * X1))))) + 632.7867) [likelihood params: Float32[]]"
11,97418,58536.523,58536.523,56.666546,50.70945,0.95565885,0.9432743,58451.273,45335.41,7.058,3.226489e11,21,"((X1 - sqrt(abs((-33.618717 * (((0.4775773 / log(abs((sin(-31.480707) * (sqrt(abs(X1)) * X2))))) + 71.97727) * X1))))) + 632.7867) [likelihood params: Float32[]]"
12,109758,45541.57,45541.57,42.72481,31.446539,0.9665682,0.9648226,45438.984,29925.084,8.692,Inf,23,"(21.561178 + (((385942.88 / log(abs(-58022.273))) + (-4.5998154 * (((17.704332 / log(abs((-0.015995799 * (159.13332 * X2))))) + 10.122577) * X1))) / X1)) [likelihood params: Float32[]]"
13,123138,45540.055,45540.055,42.724884,31.446062,0.9665681,0.9648231,45439.055,29924.703,11.404,Inf,23,"(11.677965 + (((385990.38 / log(abs(-58100.504))) + (-4.227339 * (((19.257612 / log(abs((-0.015992664 * (159.10014 * X2))))) + 8.677434) * X1))) / X1)) [likelihood params: Float32[]]"
14,137917,45540.055,45540.055,42.724884,31.446062,0.9665681,0.9648231,45439.055,29924.703,13.916,Inf,23,"(11.677965 + (((385990.38 / log(abs(-58100.504))) + (-4.227339 * (((19.257612 / log(abs((-0.015992664 * (159.10014 * X2))))) + 8.677434) * X1))) / X1)) [likelihood params: Float32[]]"
15,153480,45540.055,45540.055,42.724884,31.446062,0.9665681,0.9648231,45439.055,29924.703,16.438,Inf,23,"(11.677965 + (((385990.38 / log(abs(-58100.504))) + (-4.227339 * (((19.257612 / log(abs((-0.015992664 * (159.10014 * X2))))) + 8.677434) * X1))) / X1)) [likelihood params: Float32[]]"
16,169088,45519.05,45519.05,42.724876,31.446178,0.9665681,0.964823,45439.047,29924.797,18.476,Inf,23,"(-25.003773 + (((377436.03 / log(abs(-45561.45))) + (-9.188296 * (((41.83432 / log(abs((X2 * (-6.474939 * X2))))) / 2.3607025) * X1))) / X1)) [likelihood params: Float32[]]"
17,186652,45519.05,45519.05,42.724876,31.446178,0.9665681,0.964823,45439.047,29924.797,21.932,Inf,23,"(-25.003773 + (((377436.03 / log(abs(-45561.45))) + (-9.188296 * (((41.83432 / log(abs((X2 * (-6.474939 * X2))))) / 2.3607025) * X1))) / X1)) [likelihood params: Float32[]]"
18,204318,36004.977,36004.977,32.477722,31.679607,0.9745864,0.9645619,35875.035,30111.54,24.494,Inf,34,"(-24.283104 + (((427155.0 / log(abs(((-288779.53 / log(abs(1.765477e6))) + -54459.363)))) + (-11.89511 * (((54.16412 / log(abs((X2 * ((-4.6128583 * ((X1 - 145.35034) + -53.371956)) * X2))))) / 1.7253436) * X1))) / X1)) [likelihood params: Float32[]]"
19,223052,35241.844,35241.844,31.57904,32.3961,0.97528964,0.9637604,35036.266,30684.734,27.778,Inf,48,"(-26.429977 + (((427634.0 / log(abs((((1585.38 - sqrt(abs((8.833408 * (((-2528.7085 / log(abs((sin(339.29694) * X1)))) + X1) * X1))))) + 2148.6357) + -53302.27)))) + (-12.10144 * (((55.10364 / log(abs((X2 * ((-5.3502226 * ((X1 - 145.31189) + -53.333515)) * X2))))) / 1.6956398) * X1))) / X1)) [likelihood params: Float32[]]"
