-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10212,4391.702,4391.702,6.931472,12.028365,0.000117578296,0.0001541602,0.3919633,-0.089534044,4372.742,7311.112,6.032,Inf,5,"((0.0067466176 / X2) + 0.076747194) [likelihood params: Float32[]]"
2,18905,4391.702,4391.702,6.931472,12.028365,0.000117578296,0.0001541602,0.3919633,-0.089534044,4372.742,7311.112,5.602,Inf,5,"((0.0067466176 / X2) + 0.076747194) [likelihood params: Float32[]]"
3,27657,3928.2405,3928.2405,31.191624,17.516674,0.00011146817,0.00014582416,0.4235608,-0.030618787,3879.5322,6639.56,4.646,Inf,15,"((sqrt(abs((-7.2640467 + X4))) - ((X2 + -0.18763886) * (-0.4367294 * -0.94961643))) * log(abs(-1.038189))) [likelihood params: Float32[]]"
4,35987,3922.8203,3922.8203,27.03274,16.25247,0.0001114682,0.00014582412,0.42356062,-0.03061843,3879.5352,6639.557,4.21,Inf,13,"((sqrt(abs((-7.460008 + X4))) - ((X2 + -0.005635897) * 0.40883243)) * log(abs(-1.03875))) [likelihood params: Float32[]]"
5,43685,3922.8203,3922.8203,27.03274,16.25247,0.0001114682,0.00014582412,0.42356062,-0.03061843,3879.5352,6639.557,3.478,Inf,13,"((sqrt(abs((-7.460008 + X4))) - ((X2 + -0.005635897) * 0.40883243)) * log(abs(-1.03875))) [likelihood params: Float32[]]"
6,50838,3922.8203,3922.8203,27.03274,16.25247,0.0001114682,0.00014582412,0.42356062,-0.03061843,3879.5352,6639.557,3.364,6.4538326e11,13,"((sqrt(abs((-7.460008 + X4))) - ((X2 + -0.005635897) * 0.40883243)) * log(abs(-1.03875))) [likelihood params: Float32[]]"
7,57906,3602.6277,3602.6277,33.08047,26.95729,0.000107293956,0.00016445441,0.44514704,-0.1622889,3542.5898,8140.4136,3.616,4.4834563e8,17,"((log(abs((-0.5950142 * 1.6743157))) * X17) - (log(abs(((8444.258 * (174.52235 / X2)) - 738338.7))) * -0.006537081)) [likelihood params: Float32[]]"
8,65809,3567.116,3567.116,33.08047,28.76392,0.000106831634,0.00016441497,0.44753784,-0.1620102,3505.2715,8137.237,4.236,6.805647e35,17,"((log(abs((-0.59499973 * 1.6743418))) * X17) - (log(abs(((12990.666 * (268.2529 / X2)) - 1.7818665e6))) * -0.0061736885)) [likelihood params: Float32[]]"
9,74171,3534.7617,3534.7617,33.08047,24.532797,0.00010648323,0.0001678273,0.44933957,-0.18612695,3477.1484,8412.133,4.79,Inf,17,"((log(abs((-0.59501725 * 1.6742911))) * X17) - (log(abs(((18159.055 * (375.354 / X2)) - 3.5569198e6))) * -0.005921)) [likelihood params: Float32[]]"
10,83779,3514.2292,3514.2292,27.242743,21.781458,0.000106335276,0.00016652758,0.4501047,-0.17694116,3465.205,8307.428,5.884,Inf,14,"((-0.0037811524 * X17) - (log(abs(((8379.778 * (1231.7856 / X2)) - 5.407714e6))) * -0.005770174)) [likelihood params: Float32[]]"
11,93788,3489.7769,3489.7769,27.242743,20.061543,0.00010605365,0.00016674087,0.4515611,-0.17844856,3442.4727,8324.611,6.462,Inf,14,"((-0.0037877397 * X17) - (log(abs(((14935.189 * (1751.2808 / X2)) - 1.3880706e7))) * -0.00546157)) [likelihood params: Float32[]]"
12,104853,3485.3906,3485.3906,27.242743,19.348103,0.00010600816,0.00016978309,0.45179635,-0.19994962,3438.7998,8569.693,7.122,Inf,14,"((-0.0037862936 * X17) - (log(abs(((14899.968 * (1747.1506 / X2)) - 1.388096e7))) * -0.0054653785)) [likelihood params: Float32[]]"
13,116749,2773.337,2773.337,82.89307,139.76703,9.500564e-5,0.00023544268,0.50869405,-0.6640017,2550.6768,13859.23,7.926,Inf,36,"(sin(0.08709469) - (sin(((0.040639117 + ((sqrt(abs(sin(0.08015721))) - (-52.270214 * (-71.47061 * (sqrt(abs(0.07672124)) - ((X2 + -1.1653169) * 0.015592008))))) * (1.0559419 - X14))) / (-2.8495684 / (X10 - (-3.4797084 / 0.006221887))))) * -0.014683653)) [likelihood params: Float32[]]"
14,129246,1577.9307,1577.9307,41.74727,34.850826,8.200584e-5,0.00024487267,0.57592034,-0.73064864,1501.3325,14618.91,9.532,Inf,19,"(0.08656848 - (sin((0.0084300125 / (-0.003857739 / (sqrt(abs((392.19348 + X4))) - ((11.88957 + 11.908005) * X2))))) * -0.016027948)) [likelihood params: Float32[]]"
15,142992,1573.8218,1573.8218,41.74727,30.775642,8.200542e-5,0.00024517774,0.57592255,-0.73280466,1501.2988,14643.486,12.03,Inf,19,"(0.08656844 - (sin((0.008430355 / (-0.003857582 / (sqrt(abs((392.21466 + X4))) - ((11.889325 + 11.90776) * X2))))) * -0.016028414)) [likelihood params: Float32[]]"
16,157655,1573.8218,1573.8218,41.74727,30.775642,8.200542e-5,0.00024517774,0.57592255,-0.73280466,1501.2988,14643.486,14.392,Inf,19,"(0.08656844 - (sin((0.008430355 / (-0.003857582 / (sqrt(abs((392.21466 + X4))) - ((11.889325 + 11.90776) * X2))))) * -0.016028414)) [likelihood params: Float32[]]"
17,173065,1538.4314,1538.4314,42.810024,33.735577,8.151715e-5,8.521029e-5,0.5784476,0.39777243,1461.8857,1756.5078,17.036,Inf,22,"((sqrt(abs(0.0012249548)) - ((X2 + -144.80704) * -0.00021118895)) * (22.898298 - ((((X2 + -1.7230083) * 31.381353) + 71.33144) * (0.07499727 * X1)))) [likelihood params: Float32[]]"
18,188976,639.69714,639.69714,34.04343,22.890999,7.062613e-5,7.774853e-5,0.63476866,0.45050877,582.7627,1155.3882,19.43,Inf,19,"((((((X2 + -3.5078852) * 54.857685) + 8.480806) * (0.021072363 * X1)) * (0.0067834887 * X2)) - (-1.0793389 * 0.097091764)) [likelihood params: Float32[]]"
19,205273,349.3071,349.3071,124.69055,41.406086,6.567628e-5,7.301432e-5,0.660366,0.48396802,183.21045,774.0,23.142,Inf,52,"(sqrt(abs((-9.745826 + (sqrt(abs((11432.056 + -0.17456567))) - ((-322.52853 + X3) * (-0.5719097 * -0.012890293)))))) - ((log(abs(-19.403088)) + X5) * (abs(0.4207798) ^ sqrt(abs((5.8046803 - (((sqrt(abs(0.026152221)) - ((X2 + -112.64548) * (0.33174145 + -0.3331555))) * (112.610825 - ((((X2 + -50.084415) * 47.850227) + -1338.0376) * (0.042130563 * X1)))) * -2.039049))))))) [likelihood params: Float32[]]"
20,223036,256.74304,256.74304,124.24533,35.328285,6.461036e-5,7.693127e-5,0.66587824,0.45628482,97.16943,1089.5493,28.158,Inf,50,"(sqrt(abs((-9.745826 + (0.08329096 / (sqrt(abs((0.11107139 + X4))) - (-6.631891e-5 * X2)))))) - ((log(abs(-19.403088)) + X5) * (abs(0.44450435) ^ sqrt(abs((3.5963063 - (((sqrt(abs(0.02650853)) - ((X2 + -111.86316) * (0.33175138 + -0.3331456))) * (205.97256 - ((((X2 + -31.620474) * 44.48292) + -486.63425) * (0.036661945 * X1)))) * -2.4239))))))) [likelihood params: Float32[]]"
