-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9843,2458.63,2458.63,9.351326e-5,0.00013763424,0.5164114,0.02726382,2430.212,5979.781,5.924,Inf,7,"(log(abs(-1.1327325)) - (sqrt(abs(X1)) * 0.03811424)) [likelihood params: Float32[]]"
2,18211,2458.63,2458.63,9.351326e-5,0.00013763424,0.5164114,0.02726382,2430.212,5979.781,5.128,Inf,7,"(log(abs(-1.1327325)) - (sqrt(abs(X1)) * 0.03811424)) [likelihood params: Float32[]]"
3,26780,2458.63,2458.63,9.351326e-5,0.00013763424,0.5164114,0.02726382,2430.212,5979.781,4.566,Inf,7,"(log(abs(-1.1327325)) - (sqrt(abs(X1)) * 0.03811424)) [likelihood params: Float32[]]"
4,34902,2458.6284,2458.6284,9.351324e-5,0.00013763366,0.51641154,0.027267933,2430.2104,5979.735,3.752,Inf,7,"(log(abs(-1.1327322)) - (sqrt(abs(X1)) * 0.03811396)) [likelihood params: Float32[]]"
5,42171,2403.0562,2403.0562,9.278274e-5,0.00013569827,0.52018917,0.040946364,2371.2446,5823.82,2.73,Inf,12,"(abs(sqrt(abs(sqrt(abs(-1.1892126e-8))))) ^ (log(abs(log(abs(4.752003)))) - (sqrt(abs(X1)) * -0.09407317))) [likelihood params: Float32[]]"
6,47804,2394.603,2394.603,9.270544e-5,0.00013465142,0.520589,0.04834509,2365.0044,5739.485,1.854,325561.22,8,"(log(abs(-1.1709234)) - (sqrt(abs(sqrt(abs(X1)))) * 0.071925476)) [likelihood params: Float32[]]"
7,52395,2394.603,2394.603,9.270544e-5,0.00013465142,0.520589,0.04834509,2365.0044,5739.485,1.53,42886.152,8,"(log(abs(-1.1709234)) - (sqrt(abs(sqrt(abs(X1)))) * 0.071925476)) [likelihood params: Float32[]]"
8,57417,2392.355,2392.355,9.2705464e-5,0.00013465167,0.5205889,0.0483433,2365.0063,5739.5054,1.64,143871.44,9,"((0.09871381 / 0.62559164) - (sqrt(abs(sqrt(abs(X1)))) * 0.07192562)) [likelihood params: Float32[]]"
9,63012,2387.5103,2387.5103,9.270552e-5,0.00013464999,0.5205885,0.04835522,2365.0112,5739.3696,1.738,140533.38,7,"(0.15779147 - (sqrt(abs(sqrt(abs(X1)))) * 0.071924336)) [likelihood params: Float32[]]"
10,69319,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,2.04,406183.75,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
11,76728,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,2.428,6.805647e35,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
12,84568,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,2.664,6.805647e35,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
13,92939,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,2.786,724786.7,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
14,101352,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,2.892,957353.75,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
15,110450,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,3.016,706763.56,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
16,118926,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,3.084,4.4958333e8,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
17,127731,2370.6099,2370.6099,9.259731e-5,0.00013318865,0.5211482,0.058683276,2356.276,5621.644,3.162,6.805647e35,8,"(0.01918059 / (0.13270424 - (sqrt(abs(X1)) * -0.09154962))) [likelihood params: Float32[]]"
18,136504,2370.609,2370.609,9.259729e-5,0.00013318825,0.5211482,0.058686078,2356.275,5621.612,3.492,6.805647e35,8,"(0.015179837 / (0.10502453 - (sqrt(abs(X1)) * -0.07245352))) [likelihood params: Float32[]]"
19,145563,2370.609,2370.609,9.259729e-5,0.00013318825,0.5211482,0.058686078,2356.275,5621.612,3.462,6.805647e35,8,"(0.015179837 / (0.10502453 - (sqrt(abs(X1)) * -0.07245352))) [likelihood params: Float32[]]"
20,154968,2370.609,2370.609,9.259729e-5,0.00013318825,0.5211482,0.058686078,2356.275,5621.612,3.898,1.8929435e6,8,"(0.015179837 / (0.10502453 - (sqrt(abs(X1)) * -0.07245352))) [likelihood params: Float32[]]"
21,164415,2370.609,2370.609,9.259729e-5,0.00013318825,0.5211482,0.058686078,2356.275,5621.612,4.436,Inf,8,"(0.015179837 / (0.10502453 - (sqrt(abs(X1)) * -0.07245352))) [likelihood params: Float32[]]"
22,173840,2370.607,2370.607,9.259727e-5,0.00013318543,0.5211483,0.058706045,2356.273,5621.3843,4.228,Inf,8,"(0.03698561 / (0.25589532 - (sqrt(abs(X1)) * -0.17652704))) [likelihood params: Float32[]]"
23,183871,2370.607,2370.607,9.259727e-5,0.00013318543,0.5211483,0.058706045,2356.273,5621.3843,4.872,Inf,8,"(0.03698561 / (0.25589532 - (sqrt(abs(X1)) * -0.17652704))) [likelihood params: Float32[]]"
24,194310,2370.607,2370.607,9.259727e-5,0.00013318543,0.5211483,0.058706045,2356.273,5621.3843,5.896,6.805647e35,8,"(0.03698561 / (0.25589532 - (sqrt(abs(X1)) * -0.17652704))) [likelihood params: Float32[]]"
25,205612,2368.7458,2368.7458,9.222201e-5,0.00013416952,0.52308893,0.0517509,2325.9824,5700.6636,6.314,Inf,14,"(0.11886645 - (((-445.89526 / -1385.2584) - (sqrt(abs(X1)) * 0.14853908)) * (X1 * 0.19419804))) [likelihood params: Float32[]]"
26,216578,2368.7458,2368.7458,9.222201e-5,0.00013416952,0.52308893,0.0517509,2325.9824,5700.6636,7.432,2.7782876e9,14,"(0.11886645 - (((-445.89526 / -1385.2584) - (sqrt(abs(X1)) * 0.14853908)) * (X1 * 0.19419804))) [likelihood params: Float32[]]"
27,228321,2368.7458,2368.7458,9.222201e-5,0.00013416952,0.52308893,0.0517509,2325.9824,5700.6636,8.176,6.805647e35,14,"(0.11886645 - (((-445.89526 / -1385.2584) - (sqrt(abs(X1)) * 0.14853908)) * (X1 * 0.19419804))) [likelihood params: Float32[]]"
28,240867,2368.0903,2368.0903,9.2222e-5,0.0001341696,0.523089,0.051750243,2325.9814,5700.6704,9.322,Inf,14,"(0.11886673 - (((-396.28247 / -1542.8248) - (sqrt(abs(X1)) * 0.11853052)) * (X1 * 0.24336936))) [likelihood params: Float32[]]"
29,254097,2183.732,2183.732,8.975614e-5,0.00012934211,0.5358408,0.085868835,2126.937,5311.767,10.022,Inf,22,"(((0.016089326 / (0.47110534 - (0.14867365 * (sqrt(abs(X1)) * -2.1284971)))) / 0.23748711) - (sqrt(abs((0.017732035 / -414.3473))) * (sqrt(abs(X1)) * X14))) [likelihood params: Float32[]]"
30,268199,2177.8528,2177.8528,8.9756126e-5,0.0001293382,0.53584087,0.08589655,2126.936,5311.4507,11.544,Inf,19,"(((0.016081644 / (0.4708693 - (0.14862989 * (sqrt(abs(X1)) * -2.127902)))) / 0.23749934) - (0.0065420936 * (sqrt(abs(X1)) * X14))) [likelihood params: Float32[]]"
31,282288,2177.8528,2177.8528,8.9756126e-5,0.0001293382,0.53584087,0.08589655,2126.936,5311.4507,13.7,Inf,19,"(((0.016081644 / (0.4708693 - (0.14862989 * (sqrt(abs(X1)) * -2.127902)))) / 0.23749934) - (0.0065420936 * (sqrt(abs(X1)) * X14))) [likelihood params: Float32[]]"
32,297518,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,14.948,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
33,312933,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,17.81,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
34,328788,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,19.546,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
35,344809,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,22.208,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
36,361673,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,24.798,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
37,378199,2096.461,2096.461,8.8805275e-5,0.00012723086,0.540758,0.1007902,2050.183,5141.685,24.49,Inf,19,"((0.23158035 - ((0.09846866 - (sqrt(abs(X14)) * -0.9163667)) * 0.021298489)) / (1.5779653 - (0.27915514 * (sqrt(abs(X1)) * -3.900561)))) [likelihood params: Float32[]]"
