-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10191,-449.4697,-449.4697,21.501114,12.290436,0.00010961392,0.00016229523,0.51775324,-0.066794276,-483.26123,1564.3818,5.896,Inf,12,"((-1.290807 * exp(((-0.27123874 * X1) + (X10 * -0.049422044)))) * -0.083474435) [likelihood params: Float32[]]"
2,19143,-449.4697,-449.4697,21.501114,12.290436,0.00010961392,0.00016229523,0.51775324,-0.066794276,-483.26123,1564.3818,5.668,Inf,12,"((-1.290807 * exp(((-0.27123874 * X1) + (X10 * -0.049422044)))) * -0.083474435) [likelihood params: Float32[]]"
3,27607,-449.47086,-449.47086,21.501114,12.290737,0.00010961389,0.00016226474,0.51775336,-0.066594005,-483.2627,1563.1978,4.486,Inf,12,"((-1.2907699 * exp(((-0.27117264 * X1) + (X10 * -0.049448557)))) * -0.083472) [likelihood params: Float32[]]"
4,35738,-449.47086,-449.47086,21.501114,12.290737,0.00010961389,0.00016226474,0.51775336,-0.066594005,-483.2627,1563.1978,3.746,Inf,12,"((-1.2907699 * exp(((-0.27117264 * X1) + (X10 * -0.049448557)))) * -0.083472) [likelihood params: Float32[]]"
5,43309,-449.47086,-449.47086,21.501114,12.290737,0.00010961389,0.00016226474,0.51775336,-0.066594005,-483.2627,1563.1978,2.846,Inf,12,"((-1.2907699 * exp(((-0.27117264 * X1) + (X10 * -0.049448557)))) * -0.083472) [likelihood params: Float32[]]"
6,49713,-449.47086,-449.47086,21.501114,12.290737,0.00010961389,0.00016226474,0.51775336,-0.066594005,-483.2627,1563.1978,2.526,1.2375688e10,12,"((-1.2907699 * exp(((-0.27117264 * X1) + (X10 * -0.049448557)))) * -0.083472) [likelihood params: Float32[]]"
7,55851,-536.25934,-536.25934,27.242743,13.893435,0.000107195716,0.00015454585,0.5283921,-0.015856385,-577.3955,1263.3164,2.562,6.805647e35,14,"((-9.805977 / -84.95515) - (X1 * exp(((-0.41720834 * X1) + (2.2072544 * -1.3213087))))) [likelihood params: Float32[]]"
8,63323,-536.25934,-536.25934,27.242743,13.893435,0.000107195716,0.00015454585,0.5283921,-0.015856385,-577.3955,1263.3164,3.042,Inf,14,"((-9.805977 / -84.95515) - (X1 * exp(((-0.41720834 * X1) + (2.2072544 * -1.3213087))))) [likelihood params: Float32[]]"
9,71223,-538.9722,-538.9722,21.501114,16.92025,0.000107195774,0.0001545458,0.52839184,-0.015856028,-577.39355,1263.3145,3.682,Inf,12,"(0.115425415 - (X1 * exp(((-0.4172105 * X1) + (2.2072992 * -1.3212796))))) [likelihood params: Float32[]]"
10,80173,-712.06335,-712.06335,21.501114,13.51248,0.00010283681,0.00015668715,0.54756916,-0.029931545,-747.0769,1346.5063,4.088,Inf,12,"((-1.2948769 * exp(((-0.27167013 * X1) + (X3 * -0.13727026)))) * -0.08373762) [likelihood params: Float32[]]"
