-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10338,3421.8425,3421.8425,14.334076,17.407843,0.00020911594,0.00013148779,0.079993784,0.13570821,3390.1006,367.50342,6.162,Inf,8,"(abs(exp(exp((-0.07669659 * sqrt(abs(X6)))))) ^ -2.507968) [likelihood params: Float32[0.0036]]"
2,18692,3421.8425,3421.8425,14.334076,17.407843,0.00020911594,0.00013148779,0.079993784,0.13570821,3390.1006,367.50342,5.302,Inf,8,"(abs(exp(exp((-0.07669659 * sqrt(abs(X6)))))) ^ -2.507968) [likelihood params: Float32[0.0036]]"
3,27115,3421.8425,3421.8425,14.334076,17.407843,0.00020911594,0.00013148779,0.079993784,0.13570821,3390.1006,367.50342,4.402,Inf,8,"(abs(exp(exp((-0.07669659 * sqrt(abs(X6)))))) ^ -2.507968) [likelihood params: Float32[0.0036]]"
4,35182,3421.8425,3421.8425,14.334076,17.407843,0.00020911594,0.00013148779,0.079993784,0.13570821,3390.1006,367.50342,3.1,Inf,8,"(abs(exp(exp((-0.07669659 * sqrt(abs(X6)))))) ^ -2.507968) [likelihood params: Float32[0.0036]]"
5,42160,3421.8425,3421.8425,14.334076,17.407843,0.00020911594,0.00013148779,0.079993784,0.13570821,3390.1006,367.50342,2.296,5.1608036e18,8,"(abs(exp(exp((-0.07669659 * sqrt(abs(X6)))))) ^ -2.507968) [likelihood params: Float32[0.0036]]"
6,48533,3421.839,3421.839,14.334076,17.407845,0.00020911585,0.0001314879,0.0799942,0.13570744,3390.0972,367.5083,2.038,6.805647e35,8,"(abs(exp(exp((-0.07669744 * sqrt(abs(X6)))))) ^ -2.50797) [likelihood params: Float32[0.0036]]"
7,55206,3416.69,3416.69,12.542316,14.05056,0.00020911585,0.00013148792,0.0799942,0.13570732,3390.0972,367.5088,2.21,610875.44,7,"(0.081433386 / exp((-0.18516253 * sqrt(abs(X6))))) [likelihood params: Float32[0.0036]]"
8,62626,3416.69,3416.69,12.542316,14.05056,0.00020911585,0.00013148792,0.0799942,0.13570732,3390.0972,367.5088,2.66,Inf,7,"(0.081433386 / exp((-0.18516253 * sqrt(abs(X6))))) [likelihood params: Float32[0.0036]]"
9,70492,3416.69,3416.69,12.542316,14.05056,0.00020911585,0.00013148792,0.0799942,0.13570732,3390.0972,367.5088,2.962,Inf,7,"(0.081433386 / exp((-0.18516253 * sqrt(abs(X6))))) [likelihood params: Float32[0.0036]]"
10,79286,3413.0303,3413.0303,9.656628,13.275395,0.00020911587,0.00013148793,0.07999408,0.13570726,3390.0981,367.50928,3.562,Inf,6,"(sqrt(abs(0.0066313976)) - (-0.016564665 * X6)) [likelihood params: Float32[0.0036]]"
11,88993,3413.0303,3413.0303,9.656628,13.275395,0.00020911587,0.00013148793,0.07999408,0.13570726,3390.0981,367.50928,4.09,Inf,6,"(sqrt(abs(0.0066313976)) - (-0.016564665 * X6)) [likelihood params: Float32[0.0036]]"
12,98806,3413.0303,3413.0303,9.656628,13.275395,0.00020911587,0.00013148793,0.07999408,0.13570726,3390.0981,367.50928,4.46,Inf,6,"(sqrt(abs(0.0066313976)) - (-0.016564665 * X6)) [likelihood params: Float32[0.0036]]"
13,109129,3413.0303,3413.0303,9.656628,13.275395,0.00020911587,0.00013148793,0.07999408,0.13570726,3390.0981,367.50928,5.15,Inf,6,"(sqrt(abs(0.0066313976)) - (-0.016564665 * X6)) [likelihood params: Float32[0.0036]]"
