-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9857,-543.1697,-543.1697,0.00010733961,0.00015441891,0.527759,-0.015021682,-571.79443,1258.3848,6.366,Inf,9,"((exp((X1 / sin(-1.1771449))) * 0.05520296) + 0.061171364) [likelihood params: Float32[]]"
2,17934,-543.3801,-543.3801,0.0001073391,0.00015439281,0.5277612,-0.01485014,-571.81396,1257.3706,5.94,Inf,9,"((exp((X1 / sin(-1.178521))) * 0.05520673) + 0.061182257) [likelihood params: Float32[]]"
3,25557,-543.3801,-543.3801,0.0001073391,0.00015439281,0.5277612,-0.01485014,-571.81396,1257.3706,5.406,Inf,9,"((exp((X1 / sin(-1.178521))) * 0.05520673) + 0.061182257) [likelihood params: Float32[]]"
4,33350,-543.3801,-543.3801,0.0001073391,0.00015439281,0.5277612,-0.01485014,-571.81396,1257.3706,4.958,Inf,9,"((exp((X1 / sin(-1.178521))) * 0.05520673) + 0.061182257) [likelihood params: Float32[]]"
5,40738,-543.3801,-543.3801,0.0001073391,0.00015439281,0.5277612,-0.01485014,-571.81396,1257.3706,3.734,Inf,9,"((exp((X1 / sin(-1.178521))) * 0.05520673) + 0.061182257) [likelihood params: Float32[]]"
6,47983,-543.3812,-543.3812,0.000107339045,0.00015436989,0.5277615,-0.014699459,-571.8164,1256.4805,3.206,Inf,9,"((exp((X1 / sin(-1.1770309))) * 0.055195473) + 0.06119783) [likelihood params: Float32[]]"
7,55237,-543.38824,-543.38824,0.00010733917,0.00015439495,0.527761,-0.014864206,-571.8115,1257.4536,3.384,4.357185e8,9,"((exp((X1 / sin(-1.1807221))) * 0.05520945) + 0.06116539) [likelihood params: Float32[]]"
8,63319,-610.27313,-610.27313,0.000105153034,0.00015185394,0.5373789,0.0018383265,-656.9121,1158.7344,3.862,Inf,15,"((exp((X1 / sin(-1.176428))) * sin(0.055216584)) + (sin(0.061653823) - (0.0057436638 * X12))) [likelihood params: Float32[]]"
9,71814,-610.2749,-610.2749,0.00010515301,0.00015185378,0.53737897,0.0018393397,-656.9131,1158.7285,3.956,Inf,15,"((exp((X1 / sin(-1.1763991))) * sin(0.055216476)) + (sin(0.061654076) - (0.0057436693 * X12))) [likelihood params: Float32[]]"
10,80783,-610.2749,-610.2749,0.00010515301,0.00015185378,0.53737897,0.0018393397,-656.9131,1158.7285,4.31,Inf,15,"((exp((X1 / sin(-1.1763991))) * sin(0.055216476)) + (sin(0.061654076) - (0.0057436693 * X12))) [likelihood params: Float32[]]"
11,89922,-610.2749,-610.2749,0.00010515301,0.00015185378,0.53737897,0.0018393397,-656.9131,1158.7285,4.534,6.805647e35,15,"((exp((X1 / sin(-1.1763991))) * sin(0.055216476)) + (sin(0.061654076) - (0.0057436693 * X12))) [likelihood params: Float32[]]"
12,99653,-610.2749,-610.2749,0.00010515301,0.00015185378,0.53737897,0.0018393397,-656.9131,1158.7285,4.95,Inf,15,"((exp((X1 / sin(-1.1763991))) * sin(0.055216476)) + (sin(0.061654076) - (0.0057436693 * X12))) [likelihood params: Float32[]]"
13,109802,-937.7573,-937.7573,9.608232e-5,0.00013243183,0.5772855,0.12950313,-1010.01196,404.1797,5.99,Inf,23,"((exp((X1 / sin(-1.5707728))) * sin((((0.04541919 / 1.5685964) / 0.49518797) / 1.1504011))) + (sin(0.0654266) - (0.056743894 * (0.0017884398 * X2)))) [likelihood params: Float32[]]"
14,120522,-1120.8644,-1120.8644,9.147991e-5,0.00010414458,0.5975338,0.31544,-1189.1724,-694.7886,7.112,Inf,19,"((exp((X1 / sin(16.216402))) * sin((0.004424051 / 0.10262453))) + (sin(0.08114096) - (0.073402695 * (0.0023002152 * X2)))) [likelihood params: Float32[]]"
15,131447,-1120.8673,-1120.8673,9.1479815e-5,0.000104143095,0.59753424,0.3154497,-1189.176,-694.8462,8.176,Inf,19,"((exp((X1 / sin(16.216362))) * sin((0.0044235494 / 0.10261154))) + (sin(0.08114186) - (0.07340547 * (0.0023002236 * X2)))) [likelihood params: Float32[]]"
16,142550,-1603.5062,-1603.5062,7.882487e-5,6.153992e-5,0.6532097,0.5954877,-1681.8008,-2349.993,8.954,Inf,22,"log(abs(exp(((sin((2.324023 - X6)) * sqrt(abs(((exp((X1 / sin(-0.07966915))) * sin(0.17682414)) + 0.01583261)))) - (0.00032330703 * X2))))) [likelihood params: Float32[]]"
17,154042,-2360.4128,-2360.4128,5.9480077e-5,5.9633203e-5,0.7383172,0.60802084,-2434.845,-2424.0693,10.648,Inf,24,"((exp((sin(0.54773545) - (0.025428545 * X2))) * sin(0.01959794)) + (sin(0.06286568) - (exp((X1 / sin((-0.26486245 - X6)))) * sin(-0.053375613)))) [likelihood params: Float32[]]"
18,166325,-2360.4128,-2360.4128,5.9480077e-5,5.9633203e-5,0.7383172,0.60802084,-2434.845,-2424.0693,11.724,Inf,24,"((exp((sin(0.54773545) - (0.025428545 * X2))) * sin(0.01959794)) + (sin(0.06286568) - (exp((X1 / sin((-0.26486245 - X6)))) * sin(-0.053375613)))) [likelihood params: Float32[]]"
19,178394,-2360.4128,-2360.4128,5.9480077e-5,5.9633203e-5,0.7383172,0.60802084,-2434.845,-2424.0693,12.472,Inf,24,"((exp((sin(0.54773545) - (0.025428545 * X2))) * sin(0.01959794)) + (sin(0.06286568) - (exp((X1 / sin((-0.26486245 - X6)))) * sin(-0.053375613)))) [likelihood params: Float32[]]"
