-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11646,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,5.94,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
2,19612,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,6.42,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
3,28089,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,6.306,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
4,36319,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,5.452,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
5,44835,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,5.066,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
6,53270,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,5.218,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
7,61627,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,5.808,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
8,70858,3299.0784,3299.0784,4041.879,22201.5,0.97173756,0.70979285,3253.7637,2099.351,6.696,Inf,13,"(((X1 - X3) + -569.73895) / sin((X4 - (-1.7716762 / log(abs(-0.5730049)))))) [likelihood params: Float32[]]"
9,81540,3220.1106,3220.1106,3818.784,28004.977,0.97329754,0.6339326,3195.2622,2497.9248,8.43,Inf,9,"(((-15585.603 + (X1 * X6)) * -0.043089483) / X4) [likelihood params: Float32[]]"
10,92302,3220.1106,3220.1106,3818.784,28004.977,0.97329754,0.6339326,3195.2622,2497.9248,9.568,Inf,9,"(((-15585.603 + (X1 * X6)) * -0.043089483) / X4) [likelihood params: Float32[]]"
11,104282,3062.8857,3062.8857,3024.829,15497.933,0.9788492,0.7974186,2987.066,1638.9603,10.698,Inf,24,"(((((X5 * X4) + -46.680267) + ((X2 + -2.3855896) * X1)) - ((((X1 - X3) / -40272.78) - sqrt(abs(-16132.68))) / X4)) * 5.793154) [likelihood params: Float32[]]"
12,117110,3016.2083,3016.2083,2863.132,12757.753,0.9799798,0.8332369,2944.6646,1450.769,12.54,Inf,24,"(((((X5 * X4) + -64.68348) + ((X2 + -2.1863632) * X1)) - ((((X1 - X3) / -43998.0) - sqrt(abs(-9463.291))) / X4)) * 8.381176) [likelihood params: Float32[]]"
13,130022,3008.5945,3008.5945,2862.46,12845.9795,0.9799845,0.83208364,2944.4883,1456.8282,14.43,Inf,22,"((((X4 + -63.237232) + ((X2 + -2.1824286) * X1)) - ((((X1 - X3) / -141096.53) - sqrt(abs(-9288.902))) / X4)) * 8.461709) [likelihood params: Float32[]]"
14,143940,3008.5945,3008.5945,2862.46,12845.9795,0.9799845,0.83208364,2944.4883,1456.8282,15.99,Inf,22,"((((X4 + -63.237232) + ((X2 + -2.1824286) * X1)) - ((((X1 - X3) / -141096.53) - sqrt(abs(-9288.902))) / X4)) * 8.461709) [likelihood params: Float32[]]"
15,157639,3008.573,3008.573,2862.458,12844.685,0.9799845,0.8321006,2944.4878,1456.7393,18.122,Inf,22,"((((X4 + -63.245274) + ((X2 + -2.182374) * X1)) - ((((X1 - X3) / -142343.78) - sqrt(abs(-9287.754))) / X4)) * 8.4626045) [likelihood params: Float32[]]"
16,172324,3008.573,3008.573,2862.458,12844.685,0.9799845,0.8321006,2944.4878,1456.7393,20.356,Inf,22,"((((X4 + -63.245274) + ((X2 + -2.182374) * X1)) - ((((X1 - X3) / -142343.78) - sqrt(abs(-9287.754))) / X4)) * 8.4626045) [likelihood params: Float32[]]"
17,188385,3008.573,3008.573,2862.458,12844.685,0.9799845,0.8321006,2944.4878,1456.7393,23.412,Inf,22,"((((X4 + -63.245274) + ((X2 + -2.182374) * X1)) - ((((X1 - X3) / -142343.78) - sqrt(abs(-9287.754))) / X4)) * 8.4626045) [likelihood params: Float32[]]"
18,204833,3008.573,3008.573,2862.458,12844.685,0.9799845,0.8321006,2944.4878,1456.7393,26.488,Inf,22,"((((X4 + -63.245274) + ((X2 + -2.182374) * X1)) - ((((X1 - X3) / -142343.78) - sqrt(abs(-9287.754))) / X4)) * 8.4626045) [likelihood params: Float32[]]"
19,222369,2997.8442,2997.8442,2862.4534,12845.949,0.9799846,0.83208406,2944.4866,1456.8262,30.938,Inf,18,"((((X4 + -62.23925) + ((X2 + -2.182411) * X1)) - ((X4 - sqrt(abs(-9289.152))) / X4)) * 8.461636) [likelihood params: Float32[]]"
20,240069,2800.034,2800.034,1986.8925,18378.613,0.9861068,0.7597637,2714.891,1836.801,33.854,Inf,23,"((exp(log(abs((X2 * -770.17615)))) + ((-17.910831 + (log(abs(sin(1663.0823))) * X1)) * X6)) - ((-772.3814 / X4) + (1351.1456 - X4))) [likelihood params: Float32[]]"
21,258553,2800.034,2800.034,1986.8925,18378.613,0.9861068,0.7597637,2714.891,1836.801,36.168,Inf,23,"((exp(log(abs((X2 * -770.17615)))) + ((-17.910831 + (log(abs(sin(1663.0823))) * X1)) * X6)) - ((-772.3814 / X4) + (1351.1456 - X4))) [likelihood params: Float32[]]"
22,278144,2799.31,2799.31,1982.9229,18515.732,0.9861346,0.7579714,2713.85,1846.2183,38.602,Inf,23,"((exp(log(abs((X2 * -771.299)))) + ((-15.3423195 + (log(abs(sin(1663.0079))) * X1)) * X6)) - ((-772.69135 / X4) + (1429.049 - X1))) [likelihood params: Float32[]]"
