-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10441,4470.484,4470.484,35.155594,15.678198,8487.978,13711.255,0.9406486,0.8207732,4419.65,1516.254,5.778,Inf,16,"(exp((log(abs((-4.434848 * 1.9417213))) + ((X2 / X4) * 0.3221689))) / (sin(-0.5386219) + 0.54520875)) [likelihood params: Float32[]]"
2,18554,4470.484,4470.484,35.155594,15.678198,8487.978,13711.255,0.9406486,0.8207732,4419.65,1516.254,5.752,Inf,16,"(exp((log(abs((-4.434848 * 1.9417213))) + ((X2 / X4) * 0.3221689))) / (sin(-0.5386219) + 0.54520875)) [likelihood params: Float32[]]"
3,27339,4470.484,4470.484,35.155594,15.678198,8487.978,13711.255,0.9406486,0.8207732,4419.65,1516.254,5.48,Inf,16,"(exp((log(abs((-4.434848 * 1.9417213))) + ((X2 / X4) * 0.3221689))) / (sin(-0.5386219) + 0.54520875)) [likelihood params: Float32[]]"
4,36489,3439.1594,3439.1594,31.191624,20.772348,4550.7188,30782.19,0.9681795,0.59763026,3387.1953,2688.6594,5.484,Inf,15,"((((((X4 * 990.87726) - 739.24414) * 0.010163525) / -0.9543633) * (469.7115 - X1)) + X6) [likelihood params: Float32[]]"
5,45212,3439.1594,3439.1594,31.191624,20.772348,4550.7188,30782.19,0.9681795,0.59763026,3387.1953,2688.6594,5.604,Inf,15,"((((((X4 * 990.87726) - 739.24414) * 0.010163525) / -0.9543633) * (469.7115 - X1)) + X6) [likelihood params: Float32[]]"
6,54074,3431.37,3431.37,24.953299,12.780523,4575.282,22075.113,0.9680078,0.7114449,3393.6362,2090.671,5.658,Inf,12,"(-9693.514 - ((X5 * -21441.912) / log(abs((-845.1752 - (X1 / X4)))))) [likelihood params: Float32[]]"
7,63548,3431.37,3431.37,24.953299,12.780523,4575.282,22075.113,0.9680078,0.7114449,3393.6362,2090.671,6.196,Inf,12,"(-9693.514 - ((X5 * -21441.912) / log(abs((-845.1752 - (X1 / X4)))))) [likelihood params: Float32[]]"
8,73871,3431.37,3431.37,24.953299,12.780523,4575.282,22075.113,0.9680078,0.7114449,3393.6362,2090.671,6.718,Inf,12,"(-9693.514 - ((X5 * -21441.912) / log(abs((-845.1752 - (X1 / X4)))))) [likelihood params: Float32[]]"
9,84097,3369.8071,3369.8071,102.92323,9.156701,4056.9934,23504.09,0.9716319,0.6927661,3257.727,2188.8108,7.498,Inf,39,"(sin(sqrt(abs(((abs(((-158.39105 * X3) / X4)) ^ X4) + exp((log(abs((-4.434848 * 1.9417213))) + (((551.4482 + 1706.3624) + ((X3 / X5) * (255.05937 + 254.48517))) * 0.3221689))))))) * ((((524.2868 - X1) / 3.2699428) * X3) / X4)) [likelihood params: Float32[]]"
10,95178,3323.4995,3323.4995,48.354286,16.223175,4061.5505,23955.95,0.9716,0.68685955,3258.922,2219.8438,8.856,Inf,21,"(((((sqrt(abs((((-688031.9 + X1) + -689643.06) - 691367.6))) / X4) * exp(0.88454235)) / 2676.4763) * (510.04617 - X1)) + X6) [likelihood params: Float32[]]"
11,107075,3180.4702,3180.4702,39.509388,12.206723,3565.1562,3604.97,0.97507095,0.9528776,3128.7542,822.17,9.394,Inf,19,"((X3 / ((((2139.806 + 165.68983) + ((X3 / X5) * -2196.4985)) * -0.51396644) / X2)) * (X5 - -18965.793)) [likelihood params: Float32[]]"
12,119907,3080.3738,3080.3738,46.141716,7.8025403,3174.9429,6983.7925,0.97779953,0.90871125,3026.4297,1054.2223,9.78,Inf,21,"(((-15922.688 - X5) / -3271.2942) * (X5 - ((781.8563 - X1) / (57681.59 / (10291.977 + ((X2 / X4) * -6768.679)))))) [likelihood params: Float32[]]"
13,134362,2985.5588,2985.5588,46.141716,20.91317,2763.3691,13274.879,0.9806774,0.8264773,2918.5042,1486.2844,10.996,Inf,21,"((1286.6858 - (266.17966 * X4)) * (X5 - ((-997.7615 - X1) / (-737711.44 / (2347.7024 + ((X2 / X4) * -139.7255)))))) [likelihood params: Float32[]]"
14,149027,2965.0876,2965.0876,46.141716,15.113987,2707.4177,13217.815,0.9810686,0.8272232,2903.832,1482.3654,11.736,Inf,21,"((1157.0723 - (339.88202 * X4)) * (X5 - ((-731.0998 - X1) / (-597764.25 / (2493.4731 + ((X2 / X4) * -171.73639)))))) [likelihood params: Float32[]]"
15,164649,2965.0876,2965.0876,46.141716,15.113987,2707.4177,13217.815,0.9810686,0.8272232,2903.832,1482.3654,13.338,Inf,21,"((1157.0723 - (339.88202 * X4)) * (X5 - ((-731.0998 - X1) / (-597764.25 / (2493.4731 + ((X2 / X4) * -171.73639)))))) [likelihood params: Float32[]]"
16,181144,2878.9194,2878.9194,63.719513,39.24639,2219.7537,11895.336,0.9844786,0.84450996,2775.9536,1391.5396,15.932,6.805647e35,29,"((((991.3953 * 3519.0508) + ((1063.766 - X1) / (-367805.6 / (-464463.7 + ((X2 / X4) * ((X4 * (68412.06 - (X3 + -71576.125))) - 140964.39)))))) - 3.489746e6) + X3) [likelihood params: Float32[]]"
17,199011,2877.3115,2877.3115,63.719513,37.638912,2219.7522,11930.256,0.9844786,0.8440535,2775.9531,1393.9377,18.392,Inf,29,"((((991.4177 * 3519.1301) + ((1077.7979 - X1) / (-368807.88 / (-474367.1 + ((X2 / X4) * ((X4 * (67528.8 - (X3 + -70692.99))) - 139280.67)))))) - 3.4896675e6) + -272.35968) [likelihood params: Float32[]]"
18,216730,2866.3364,2866.3364,73.682724,35.299297,2148.826,11917.369,0.98497456,0.84422195,2757.3545,1393.0527,20.532,Inf,32,"((1881.0774 - (15.523451 * (log(abs((-2.0487266e7 * ((X1 * 1.5812972e7) - -3.195085e6)))) + (X4 * 28.675812)))) * (X5 - ((-1015.11554 - X1) / (-710945.44 / (2151.5234 + ((X2 / X4) * -125.396515)))))) [likelihood params: Float32[]]"
19,235087,2768.899,2768.899,73.682724,35.392456,1776.8934,8113.0757,0.98757523,0.89394987,2659.8237,1131.7798,23.954,Inf,32,"((1916.9763 - (26.639343 * (log(abs((-2.0486812e7 * ((X1 * 1.5814812e7) - -3.1890958e6)))) + (X4 * 5.616293)))) * (X5 - ((-886.503 - X1) / (-569278.2 / (2142.3367 + ((X2 / X4) * -197.00189)))))) [likelihood params: Float32[]]"
20,253904,2768.899,2768.899,73.682724,35.392456,1776.8934,8113.0757,0.98757523,0.89394987,2659.8237,1131.7798,26.268,Inf,32,"((1916.9763 - (26.639343 * (log(abs((-2.0486812e7 * ((X1 * 1.5814812e7) - -3.1890958e6)))) + (X4 * 5.616293)))) * (X5 - ((-886.503 - X1) / (-569278.2 / (2142.3367 + ((X2 / X4) * -197.00189)))))) [likelihood params: Float32[]]"
21,273568,2768.899,2768.899,73.682724,35.392456,1776.8934,8113.0757,0.98757523,0.89394987,2659.8237,1131.7798,29.592,Inf,32,"((1916.9763 - (26.639343 * (log(abs((-2.0486812e7 * ((X1 * 1.5814812e7) - -3.1890958e6)))) + (X4 * 5.616293)))) * (X5 - ((-886.503 - X1) / (-569278.2 / (2142.3367 + ((X2 / X4) * -197.00189)))))) [likelihood params: Float32[]]"
22,293237,2768.899,2768.899,73.682724,35.392456,1776.8934,8113.0757,0.98757523,0.89394987,2659.8237,1131.7798,32.874,Inf,32,"((1916.9763 - (26.639343 * (log(abs((-2.0486812e7 * ((X1 * 1.5814812e7) - -3.1890958e6)))) + (X4 * 5.616293)))) * (X5 - ((-886.503 - X1) / (-569278.2 / (2142.3367 + ((X2 / X4) * -197.00189)))))) [likelihood params: Float32[]]"
23,313320,2727.2285,2727.2285,75.985306,32.045074,1621.968,6178.1475,0.98865855,0.91924226,2619.198,998.89185,34.482,Inf,33,"(((-10838.016 - ((((((X4 * (1154.5427 - (X3 * X2))) - 5420.8555) * -0.012909051) / X5) * (-1933.8704 - X1)) / X3)) / (-151429.6 / (5346.35 + ((X2 / X4) * -56653.41)))) * -0.33362758) [likelihood params: Float32[]]"
24,333970,2695.6575,2695.6575,68.11396,21.261684,1572.7119,6883.7944,0.98900294,0.9100184,2606.2817,1047.3546,36.954,Inf,31,"((345.24643 - (94.72978 * X3)) * ((11.006947 * X4) - ((731.8657 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.046824e6 / (X4 + ((X2 / X4) * -20041.814)))))) [likelihood params: Float32[]]"
25,353732,2684.5496,2684.5496,68.11396,21.555866,1529.2295,6471.7656,0.989307,0.91540426,2594.8796,1019.05707,40.956,Inf,31,"((351.46262 - (93.74067 * X3)) * ((11.369851 * X4) - ((680.22925 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8635082e6 / (X4 + ((X2 / X4) * -24292.994)))))) [likelihood params: Float32[]]"
26,373839,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,42.812,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
27,394283,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,46.91,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
28,414248,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,48.528,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
29,434548,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,51.27,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
30,454315,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,51.684,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
31,475232,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,54.168,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
32,495658,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,54.524,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
33,516453,2677.8396,2677.8396,68.11396,15.305414,1527.4779,6561.323,0.98931926,0.91423357,2594.4202,1025.2078,56.062,Inf,31,"((351.86368 - (93.67024 * X3)) * ((11.328961 * X4) - ((675.6447 - (((X2 / X4) * X1) / (X2 / X4))) / (-1.8484858e6 / (X4 + ((X2 / X4) * -24666.826)))))) [likelihood params: Float32[]]"
34,536682,2647.925,2647.925,172.64845,17.253143,1007.3297,2638.3499,0.99295634,0.96551275,2458.0234,755.784,57.236,Inf,72,"((357.28632 - (92.61078 * X3)) * ((-7.3292127 * X4) - ((731.71344 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.268927e6 / (((-658844.0 + 734584.8) - ((155666.66 - (-540.3965 / (-1.0787094e7 / (387464.34 + -387421.38)))) / (((X5 - X2) * X2) + (X1 * ((577.3815 - ((X4 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -2935.2048) - X5))) / X4)))))) + ((X2 / X4) * -44811.71)))))) [likelihood params: Float32[]]"
35,556912,2647.925,2647.925,172.64845,17.253143,1007.3297,2638.3499,0.99295634,0.96551275,2458.0234,755.784,59.438,Inf,72,"((357.28632 - (92.61078 * X3)) * ((-7.3292127 * X4) - ((731.71344 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.268927e6 / (((-658844.0 + 734584.8) - ((155666.66 - (-540.3965 / (-1.0787094e7 / (387464.34 + -387421.38)))) / (((X5 - X2) * X2) + (X1 * ((577.3815 - ((X4 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -2935.2048) - X5))) / X4)))))) + ((X2 / X4) * -44811.71)))))) [likelihood params: Float32[]]"
36,576489,2647.925,2647.925,172.64845,17.253143,1007.3297,2638.3499,0.99295634,0.96551275,2458.0234,755.784,60.14,Inf,72,"((357.28632 - (92.61078 * X3)) * ((-7.3292127 * X4) - ((731.71344 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.268927e6 / (((-658844.0 + 734584.8) - ((155666.66 - (-540.3965 / (-1.0787094e7 / (387464.34 + -387421.38)))) / (((X5 - X2) * X2) + (X1 * ((577.3815 - ((X4 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -2935.2048) - X5))) / X4)))))) + ((X2 / X4) * -44811.71)))))) [likelihood params: Float32[]]"
37,596025,2647.925,2647.925,172.64845,17.253143,1007.3297,2638.3499,0.99295634,0.96551275,2458.0234,755.784,59.98,Inf,72,"((357.28632 - (92.61078 * X3)) * ((-7.3292127 * X4) - ((731.71344 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.268927e6 / (((-658844.0 + 734584.8) - ((155666.66 - (-540.3965 / (-1.0787094e7 / (387464.34 + -387421.38)))) / (((X5 - X2) * X2) + (X1 * ((577.3815 - ((X4 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -2935.2048) - X5))) / X4)))))) + ((X2 / X4) * -44811.71)))))) [likelihood params: Float32[]]"
38,615573,2634.5122,2634.5122,158.2611,18.227766,1007.32983,2638.9937,0.99295634,0.96550435,2458.0234,755.8282,64.572,Inf,66,"((357.2863 - (92.61079 * X3)) * ((-7.3291435 * X4) - ((731.7139 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.2689262e6 / (((-658844.06 + 734584.75) - ((155669.98 - 338.82898) / (((X5 - X2) * X2) + (X1 * ((576.57544 - ((X4 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -2943.4282) - X5))) / X4)))))) + ((X2 / X4) * -44811.73)))))) [likelihood params: Float32[]]"
39,634996,2633.3809,2633.3809,158.2611,18.069696,1003.6188,2924.3328,0.99298227,0.9617745,2457.0503,775.42487,65.23,Inf,66,"((357.4444 - (92.57992 * X3)) * ((-5.8049164 * X4) - ((720.06696 - (((X2 / X4) * X1) / (X2 / X4))) / (-2.2641652e6 / (((-661547.75 + 731880.94) - ((185511.75 - -29503.018) / (((X5 - X2) * X2) + (X1 * ((-721.88654 - ((-2025.9788 * X5) / (X2 / X4))) / (sqrt(abs((((X2 * X5) - -788.5121) - X5))) / X4)))))) + ((X2 / X4) * -45038.74)))))) [likelihood params: Float32[]]"
