-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9397,-311.1193,-311.1193,0.0012307172,0.001463751,0.964304,0.852307,-334.57822,-153.56824,6.092,Inf,8,"(abs((log(abs(exp(5.634615))) / X1)) ^ sin(0.27021614)) [likelihood params: Float32[]]"
2,17981,-311.1193,-311.1193,0.0012307172,0.001463751,0.964304,0.852307,-334.57822,-153.56824,6.0,Inf,8,"(abs((log(abs(exp(5.634615))) / X1)) ^ sin(0.27021614)) [likelihood params: Float32[]]"
3,26593,-314.53433,-314.53433,0.0012307162,0.0014637521,0.964304,0.8523069,-334.57852,-153.56805,5.328,Inf,7,"(abs((sqrt(abs(31.74888)) / X1)) ^ sin(0.27021617)) [likelihood params: Float32[]]"
4,34648,-317.70044,-317.70044,0.0012241885,0.0014683235,0.96449333,0.8518457,-336.45523,-152.81377,5.01,Inf,7,"(abs((0.15301232 * (X1 + 1.846454))) ^ -0.27804056) [likelihood params: Float32[]]"
5,42927,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,4.478,6.805647e35,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
6,51717,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,4.782,Inf,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
7,60658,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,5.156,Inf,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
8,69875,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,5.742,Inf,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
9,80194,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,6.488,6.805647e35,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
10,90134,-317.70105,-317.70105,0.0012241858,0.001468324,0.9644934,0.8518456,-336.456,-152.8137,7.278,Inf,7,"(abs((0.15301056 * (X1 + 1.8466198))) ^ -0.2780417) [likelihood params: Float32[]]"
11,100965,-322.3689,-322.3689,0.0012307176,0.0014637513,0.964304,0.85230696,-334.5781,-153.56818,8.596,Inf,5,"(abs((0.17747438 * X1)) ^ -0.26693976) [likelihood params: Float32[]]"
12,112614,-334.11832,-334.11832,0.0010667089,0.0018256241,0.9690609,0.8157939,-381.73062,-93.85916,9.562,Inf,17,"((-0.92825913 / (sqrt(abs(log(abs((((0.92166764 / -2.12333) / X2) / 0.014771052))))) + (54.67044 / X1))) + 0.953191) [likelihood params: Float32[]]"
13,123916,-334.11832,-334.11832,0.0010667089,0.0018256241,0.9690609,0.8157939,-381.73062,-93.85916,11.102,Inf,17,"((-0.92825913 / (sqrt(abs(log(abs((((0.92166764 / -2.12333) / X2) / 0.014771052))))) + (54.67044 / X1))) + 0.953191) [likelihood params: Float32[]]"
14,135333,-337.2203,-337.2203,0.0010764624,0.0013896029,0.968778,0.8597886,-378.92645,-165.80267,11.548,Inf,15,"(0.107429974 / (abs((((-0.039749198 * (X2 + -4.8978343)) + (29.789028 / X1)) / X1)) ^ 0.13021015)) [likelihood params: Float32[]]"
15,146527,-337.2203,-337.2203,0.0010764624,0.0013896029,0.968778,0.8597886,-378.92645,-165.80267,12.904,Inf,15,"(0.107429974 / (abs((((-0.039749198 * (X2 + -4.8978343)) + (29.789028 / X1)) / X1)) ^ 0.13021015)) [likelihood params: Float32[]]"
