-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9830,-174.6525,-174.6525,46.141716,10.176796,0.0015910901,0.0016401035,0.95385164,0.834513,-230.97101,-124.47006,6.01,Inf,21,"(sin(sin(X1)) / (abs((log(abs(sin(-1.1845198))) + sqrt(abs((abs(1.3409923) ^ X2))))) ^ (abs(log(abs(X1))) ^ (abs((-19.331266 + X1)) ^ -0.18121418)))) [likelihood params: Float32[]]"
2,18100,-304.1933,-304.1933,19.4591,13.197985,0.0012228139,0.012409041,0.9645332,-0.2520764,-336.8504,1652.4045,5.926,Inf,10,"(abs((sin((sin(1.8626109) - X1)) / -1.5071677)) ^ log(abs(1.9232099))) [likelihood params: Float32[]]"
3,27250,-304.20148,-304.20148,19.4591,13.198332,0.0012227844,0.012408709,0.96453404,-0.2520429,-336.85892,1652.3499,5.804,Inf,10,"(abs((sin((sin(1.8625938) - X1)) / 1.5071542)) ^ log(abs(1.9232343))) [likelihood params: Float32[]]"
4,35855,-306.41223,-306.41223,16.125835,14.325624,0.0012227678,0.012408883,0.9645345,-0.25206053,-336.86368,1652.3787,5.442,Inf,9,"(abs((sin((sin(1.8626037) - X1)) / 1.5071499)) ^ 0.65400946) [likelihood params: Float32[]]"
5,44499,-306.41223,-306.41223,16.125835,14.325624,0.0012227678,0.012408883,0.9645345,-0.25206053,-336.86368,1652.3787,5.32,Inf,9,"(abs((sin((sin(1.8626037) - X1)) / 1.5071499)) ^ 0.65400946) [likelihood params: Float32[]]"
6,52691,-307.56516,-307.56516,16.125835,10.887722,0.0012307155,0.0014637513,0.96430403,0.85230696,-334.5787,-153.56818,5.478,Inf,9,"log(abs((abs((X1 - (0.8225252 * X1))) ^ log(abs(0.7657194))))) [likelihood params: Float32[]]"
7,61517,-309.66928,-309.66928,16.125835,10.6609,0.0012241858,0.0014683254,0.9644934,0.8518455,-336.456,-152.81346,6.618,Inf,9,"log(abs((abs((-0.28254616 - (0.1530111 * X1))) ^ log(abs(0.75726545))))) [likelihood params: Float32[]]"
8,69823,-311.7554,-311.7554,14.4849415,12.356081,0.0012167408,0.0019069309,0.96470934,0.80759,-338.59644,-80.44354,7.622,Inf,9,"(-0.1875411 * (-1.3442689 - (-153.19902 / (-40.678658 - X1)))) [likelihood params: Float32[]]"
9,78477,-311.7554,-311.7554,14.4849415,12.356081,0.0012167408,0.0019069309,0.96470934,0.80759,-338.59644,-80.44354,8.704,Inf,9,"(-0.1875411 * (-1.3442689 - (-153.19902 / (-40.678658 - X1)))) [likelihood params: Float32[]]"
10,88131,-311.7554,-311.7554,14.4849415,12.356081,0.0012167408,0.0019069309,0.96470934,0.80759,-338.59644,-80.44354,11.012,Inf,9,"(-0.1875411 * (-1.3442689 - (-153.19902 / (-40.678658 - X1)))) [likelihood params: Float32[]]"
11,97017,-311.7554,-311.7554,14.4849415,12.356081,0.0012167408,0.0019069309,0.96470934,0.80759,-338.59644,-80.44354,12.626,Inf,9,"(-0.1875411 * (-1.3442689 - (-153.19902 / (-40.678658 - X1)))) [likelihood params: Float32[]]"
12,106530,-314.62772,-314.62772,12.875504,10.355324,0.0012193074,0.0019682797,0.9646349,0.80139995,-337.85852,-70.320984,14.418,Inf,8,"exp((-1.3625786 - (102.843735 / (-78.604095 - X1)))) [likelihood params: Float32[]]"
13,114980,-314.62772,-314.62772,12.875504,10.355324,0.0012193074,0.0019682797,0.9646349,0.80139995,-337.85852,-70.320984,16.754,Inf,8,"exp((-1.3625786 - (102.843735 / (-78.604095 - X1)))) [likelihood params: Float32[]]"
14,123404,-314.62772,-314.62772,12.875504,10.355324,0.0012193074,0.0019682797,0.9646349,0.80139995,-337.85852,-70.320984,18.16,Inf,8,"exp((-1.3625786 - (102.843735 / (-78.604095 - X1)))) [likelihood params: Float32[]]"
15,131963,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,19.738,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
16,139735,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,21.998,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
17,147741,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,24.28,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
18,155660,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,24.454,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
19,163469,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,26.5,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
20,171746,-318.4732,-318.4732,9.704061,10.419416,0.0012167399,0.001906937,0.96470934,0.8075894,-338.59668,-80.442535,27.106,Inf,7,"((28.730448 / (40.67743 + X1)) + 0.2521089) [likelihood params: Float32[]]"
