-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10961,495.40897,495.40897,6.931472,13.635462,0.0040460923,0.0044107763,0.88264614,0.5549512,474.84204,332.69092,6.052,Inf,5,"((6.44519 / X1) + 0.35567868) [likelihood params: Float32[0.02]]"
2,20277,-287.7601,-287.7601,6.931472,8.0771885,0.0013413589,0.0013864088,0.9610949,0.8601109,-302.76874,-166.3297,5.7,Inf,5,"sqrt(abs((2.2313867 / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
3,29611,-287.7601,-287.7601,6.931472,8.0771885,0.0013413589,0.0013864088,0.9610949,0.8601109,-302.76874,-166.3297,5.138,Inf,5,"sqrt(abs((2.2313867 / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
4,38227,-287.7601,-287.7601,6.931472,8.0771885,0.0013413589,0.0013864088,0.9610949,0.8601109,-302.76874,-166.3297,4.92,Inf,5,"sqrt(abs((2.2313867 / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
5,47192,-289.7933,-289.7933,9.704061,3.2716784,0.0013413578,0.001386409,0.9610949,0.8601109,-302.76904,-166.32967,5.338,Inf,7,"sqrt(abs(((4.102648 / 1.8386087) / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
6,56041,-289.7933,-289.7933,9.704061,3.2716784,0.0013413578,0.001386409,0.9610949,0.8601109,-302.76904,-166.32967,5.392,Inf,7,"sqrt(abs(((4.102648 / 1.8386087) / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
7,65942,-289.7933,-289.7933,9.704061,3.2716784,0.0013413578,0.001386409,0.9610949,0.8601109,-302.76904,-166.32967,6.538,Inf,7,"sqrt(abs(((4.102648 / 1.8386087) / sqrt(abs(X1))))) [likelihood params: Float32[0.02]]"
8,76111,-303.42218,-303.42218,19.709354,13.512375,0.0012235323,0.0014846356,0.96451235,0.85019976,-336.6439,-150.12227,7.642,Inf,11,"(abs((((287.14935 / 95.11427) / X1) + (X1 * 0.16005656))) ^ -0.27541313) [likelihood params: Float32[0.02]]"
9,86510,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,8.834,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
10,96497,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,9.422,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
11,107179,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,11.24,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
12,117715,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,12.524,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
13,128880,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,13.36,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
14,139700,-312.71872,-312.71872,11.266066,11.580752,0.001227283,0.0014535568,0.96440357,0.8533356,-335.56552,-155.25027,14.672,Inf,7,"(-0.03462234 + sqrt(abs((-2.5024745 / sqrt(abs(X1)))))) [likelihood params: Float32[0.02]]"
15,150805,-316.4895,-316.4895,6.931472,11.157215,0.0012307174,0.0014637591,0.964304,0.8523062,-334.5782,-153.5669,15.824,Inf,5,"(abs((-5.634652 / X1)) ^ 0.26694062) [likelihood params: Float32[0.02]]"
16,161793,-316.4895,-316.4895,6.931472,11.157215,0.0012307174,0.0014637591,0.964304,0.8523062,-334.5782,-153.5669,17.478,Inf,5,"(abs((-5.634652 / X1)) ^ 0.26694062) [likelihood params: Float32[0.02]]"
