-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10975,17612.107,17612.107,12.875504,12.385952,4351.27,3354.6545,0.46704006,0.5143725,17586.846,10234.447,5.794,Inf,8,"((-37264.188 / X6) - (sqrt(abs(X6)) - 786.57874)) [likelihood params: Float32[65.964195]]"
2,19390,17606.049,17606.049,6.931472,12.349801,4351.052,3354.5427,0.46706676,0.51438874,17586.768,10234.412,5.686,Inf,5,"((-36911.734 / X6) - -773.1488) [likelihood params: Float32[65.962494]]"
3,28190,17563.656,17563.656,17.917595,12.840575,4204.1143,3204.7234,0.48506427,0.5360769,17532.898,10194.316,5.712,Inf,10,"((-37751.758 / X6) - (sqrt(abs(X6)) - (100706.37 / X21))) [likelihood params: Float32[64.83915]]"
4,37101,17563.656,17563.656,17.917595,12.840575,4204.1143,3204.7234,0.48506427,0.5360769,17532.898,10194.316,5.84,Inf,10,"((-37751.758 / X6) - (sqrt(abs(X6)) - (100706.37 / X21))) [likelihood params: Float32[64.83915]]"
5,46541,17560.94,17560.94,14.4849415,14.189606,4202.418,3196.7869,0.48527205,0.53722584,17532.266,10192.468,5.874,Inf,9,"((-37379.35 / X6) - (84.749725 - (109739.93 / X21))) [likelihood params: Float32[64.8261]]"
6,56157,17556.87,17556.87,11.266066,12.797915,4203.8604,3205.8613,0.48509538,0.53591216,17532.805,10194.555,5.916,Inf,7,"((-37404.62 / X6) - (-99007.664 / X21)) [likelihood params: Float32[64.83718]]"
7,66580,17474.22,17474.22,37.429947,21.67834,3899.88,3014.6726,0.522328,0.5635891,17415.113,10134.343,7.458,Inf,18,"((((X2 + sqrt(abs(-44986.2))) / exp(-0.9569093)) + (-3847.527 / (sqrt(abs((171.23015 - 178.26259))) + X8))) - 6.4128737) [likelihood params: Float32[62.44902]]"
8,77929,17474.22,17474.22,37.429947,21.67834,3899.88,3014.6726,0.522328,0.5635891,17415.113,10134.343,7.942,Inf,18,"((((X2 + sqrt(abs(-44986.2))) / exp(-0.9569093)) + (-3847.527 / (sqrt(abs((171.23015 - 178.26259))) + X8))) - 6.4128737) [likelihood params: Float32[62.44902]]"
9,89330,17473.48,17473.48,43.944492,25.092049,3873.428,2971.2131,0.525568,0.56988037,17404.443,10122.47,8.764,Inf,20,"((((X2 + sqrt(abs(-47322.62))) / exp(-0.9822992)) + (-5686.2104 / (sqrt(abs(((2337.9314 / X7) - 73.88168))) + X8))) - -7.5388746) [likelihood params: Float32[62.23688]]"
10,101364,17417.012,17417.012,40.76422,23.14522,3748.656,2853.6758,0.5408505,0.58689535,17353.104,10086.546,10.664,Inf,17,"((((-339910.9 - (exp(6.8610225) * X7)) - (log(abs(X6)) * -119613.734)) + (X8 - 79824.28)) / X21) [likelihood params: Float32[61.226303]]"
