-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9788,199.8805,199.8805,3.295837,8.058518,0.0995033,0.13717225,0.12322813,0.020411551,188.52614,161.32664,5.802,Inf,3,"(0.008798711 * X46) [likelihood params: Float32[0.3154414]]"
2,19065,194.35364,194.35364,3.295837,8.066425,0.097966135,0.12929733,0.13677287,0.07664877,182.99138,148.13446,4.964,Inf,3,"(113.21226 / X6) [likelihood params: Float32[0.31299537]]"
3,28463,165.29816,165.29816,9.656628,13.81385,0.08725465,0.14765742,0.23115695,-0.054466248,141.82768,193.68994,4.346,Inf,6,"sqrt(abs((abs((X32 + -320.73788)) ^ 0.32232046))) [likelihood params: Float32[0.29538903]]"
4,37022,162.4598,162.4598,14.4849415,12.259691,0.08576721,0.1476191,0.24426353,-0.054192543,135.71516,195.7681,3.55,Inf,9,"(((X32 + -345.24423) / (13.293826 + 15.078018)) - -2.7912195) [likelihood params: Float32[0.29286036]]"
5,44748,155.37685,155.37685,6.931472,12.730089,0.08576723,0.14761676,0.24426335,-0.054175854,135.71529,195.76321,2.738,Inf,5,"((X32 + -266.0432) / 28.374989) [likelihood params: Float32[0.2928604]]"
6,51721,155.37657,155.37657,6.931472,12.729845,0.08576723,0.14761847,0.24426335,-0.054188013,135.71526,195.76678,2.3,2173.3477,5,"((X32 + -266.05017) / 28.372543) [likelihood params: Float32[0.29286036]]"
7,58624,155.37616,155.37616,6.931472,12.72961,0.08576718,0.14761692,0.24426383,-0.054177046,135.71507,195.76355,2.22,6.805647e35,5,"((X32 + -266.04343) / 28.374922) [likelihood params: Float32[0.2928604]]"
8,64983,155.37616,155.37616,6.931472,12.72961,0.08576718,0.14761692,0.24426383,-0.054177046,135.71507,195.76355,2.172,6.805647e35,5,"((X32 + -266.04343) / 28.374922) [likelihood params: Float32[0.2928604]]"
9,72352,155.37509,155.37509,6.931472,12.728432,0.08576721,0.1476182,0.24426359,-0.054186225,135.7152,195.76624,2.392,6.805647e35,5,"((X32 + -266.04663) / 28.373842) [likelihood params: Float32[0.2928604]]"
10,80570,131.75864,131.75864,17.513191,11.553815,0.07815887,0.14274861,0.31130433,-0.019410849,102.691635,197.95789,2.81,25768.738,9,"(((X32 + -254.19638) / (10916.504 + X54)) * X46) [likelihood params: Float32[0.2795691]]"
