-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9022,-3208.4773,-3208.4773,6.931472,12.356652,9.748361e-5,0.0001429319,0.49587947,-0.010177612,-3227.7654,-2986.6284,6.154,Inf,5,"(0.10794105 - (0.020089312 * X1)) [likelihood params: Float32[0.009873377]]"
2,18160,-3208.5818,-3208.5818,6.931472,12.252003,9.748366e-5,0.00014293847,0.49587923,-0.010224104,-3227.7651,-2986.5942,5.518,Inf,5,"((X1 - 5.3727837) * -0.020090366) [likelihood params: Float32[0.009873377]]"
3,28139,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,4.886,Inf,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
4,37735,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,4.46,Inf,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
5,46522,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,3.22,Inf,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
6,53374,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,2.12,Inf,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
7,59593,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,2.204,9.823554e10,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
8,65449,-3208.5833,-3208.5833,6.931472,12.250783,9.748362e-5,0.00014293195,0.49587935,-0.01017797,-3227.7654,-2986.628,2.176,-2783.7148,5,"((X1 - 5.3730526) * -0.020089338) [likelihood params: Float32[0.009873377]]"
9,72710,-3208.5835,-3208.5835,6.931472,12.250547,9.748361e-5,0.00014293195,0.49587947,-0.01017797,-3227.7654,-2986.628,2.88,-2771.6868,5,"((X1 - 5.3730564) * -0.020089323) [likelihood params: Float32[0.009873378]]"
10,81219,-3208.5835,-3208.5835,6.931472,12.250547,9.748361e-5,0.00014293195,0.49587947,-0.01017797,-3227.7654,-2986.628,3.232,6.805647e35,5,"((X1 - 5.3730564) * -0.020089323) [likelihood params: Float32[0.009873378]]"
