-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9006,-3100.5974,-3100.5974,35.155594,10.111687,0.00011466616,0.00010012629,0.49552584,0.34185284,-3145.8645,-3203.4736,5.99,Inf,16,"(0.06187733 + (((0.947461 * X8) * sin(sin(X3))) + exp(((X2 + 132.2579) / -42.889862)))) [likelihood params: Float32[0.010708228]]"
2,17611,-3128.5142,-3128.5142,11.266066,11.917994,0.00011334786,0.00016412223,0.5013257,-0.0788033,-3151.6982,-2919.9075,5.526,Inf,7,"(-0.03130399 - (-0.1358033 + (X1 * 0.0218992))) [likelihood params: Float32[0.010646501]]"
3,26191,-3152.6794,-3152.6794,12.542316,11.791811,0.00010780049,0.00015743672,0.5257313,-0.034858227,-3177.0134,-2938.8818,5.05,Inf,7,"sqrt(abs((exp(-4.3731523) / (0.94502807 + X1)))) [likelihood params: Float32[0.0103827]]"
4,34423,-3152.6794,-3152.6794,12.542316,11.791811,0.00010780049,0.00015743672,0.5257313,-0.034858227,-3177.0134,-2938.8818,4.088,Inf,7,"sqrt(abs((exp(-4.3731523) / (0.94502807 + X1)))) [likelihood params: Float32[0.0103827]]"
5,42431,-3156.5117,-3156.5117,11.266066,7.897805,0.000108086795,0.00014876369,0.52447176,0.022150993,-3175.6755,-2979.896,3.122,Inf,7,"sqrt(abs(sqrt(abs((-4.561428e-5 / (0.13181874 + X1)))))) [likelihood params: Float32[0.010396478]]"
6,50129,-3235.3386,-3235.3386,17.917595,12.432097,9.04245e-5,9.576566e-5,0.60217714,0.37051606,-3265.6882,-3229.4744,2.546,Inf,10,"(exp(((X2 + 841.2071) / -335.85883)) + (0.0072066416 / X1)) [likelihood params: Float32[0.009509179]]"
7,56803,-3235.3386,-3235.3386,17.917595,12.432097,9.04245e-5,9.576566e-5,0.60217714,0.37051606,-3265.6882,-3229.4744,2.33,6.805647e35,10,"(exp(((X2 + 841.2071) / -335.85883)) + (0.0072066416 / X1)) [likelihood params: Float32[0.009509179]]"
8,63849,-3235.3386,-3235.3386,17.917595,12.432097,9.04245e-5,9.576566e-5,0.60217714,0.37051606,-3265.6882,-3229.4744,2.436,Inf,10,"(exp(((X2 + 841.2071) / -335.85883)) + (0.0072066416 / X1)) [likelihood params: Float32[0.009509179]]"
9,71991,-3266.5967,-3266.5967,29.11218,13.634621,8.292891e-5,6.4193046e-5,0.635154,0.5780482,-3309.3433,-3416.5376,2.632,Inf,14,"(0.05695845 + ((0.029665897 * sin(sin(X6))) + exp(((X2 + 144.18788) / -47.995094)))) [likelihood params: Float32[0.009106534]]"
10,80719,-3266.5967,-3266.5967,29.11218,13.634621,8.292891e-5,6.4193046e-5,0.635154,0.5780482,-3309.3433,-3416.5376,3.032,Inf,14,"(0.05695845 + ((0.029665897 * sin(sin(X6))) + exp(((X2 + 144.18788) / -47.995094)))) [likelihood params: Float32[0.009106534]]"
11,91077,-3308.9163,-3308.9163,39.55004,18.057493,7.40428e-5,8.0056205e-5,0.67424846,0.47377694,-3366.5237,-3318.9587,3.78,Inf,18,"(0.0746235 + ((-0.0116128465 + ((0.012158312 * sin(sin(X6))) + exp(((X2 + 177.77835) / -49.88845)))) / X1)) [likelihood params: Float32[0.008604809]]"
12,101496,-3315.1128,-3315.1128,39.55004,17.796211,7.317676e-5,7.8928446e-5,0.6780586,0.4811899,-3372.459,-3326.1995,4.2,Inf,18,"(0.07549327 + ((-0.024675593 + ((0.012182258 * sin(sin(X6))) + exp(((X2 + 301.41934) / -93.25023)))) / X1)) [likelihood params: Float32[0.008554342]]"
13,112796,-3315.1128,-3315.1128,39.55004,17.796211,7.317676e-5,7.8928446e-5,0.6780586,0.4811899,-3372.459,-3326.1995,4.778,Inf,18,"(0.07549327 + ((-0.024675593 + ((0.012182258 * sin(sin(X6))) + exp(((X2 + 301.41934) / -93.25023)))) / X1)) [likelihood params: Float32[0.008554342]]"
