-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9827,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,6.22,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
2,18672,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,5.814,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
3,27711,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,5.19,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
4,36522,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,4.308,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
5,44281,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,3.724,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
6,51874,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,3.44,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
7,59318,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,3.758,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
8,66977,-424.7717,-424.7717,9.656628,9.734096,0.0012307166,0.001463751,0.964304,0.852307,-444.1624,-242.41357,4.276,Inf,6,"(abs((sqrt(abs(X1)) * -0.42127708)) ^ -0.5338795) [likelihood params: Float32[0.035081577]]"
9,74526,-427.905,-427.905,6.931472,9.325987,0.0012307162,0.001463754,0.964304,0.8523067,-444.16245,-242.41342,4.722,Inf,5,"(abs((X1 / 5.634612)) ^ -0.2669397) [likelihood params: Float32[0.035081577]]"
10,82312,-427.905,-427.905,6.931472,9.325987,0.0012307162,0.001463754,0.964304,0.8523067,-444.16245,-242.41342,5.234,Inf,5,"(abs((X1 / 5.634612)) ^ -0.2669397) [likelihood params: Float32[0.035081577]]"
11,90521,-427.905,-427.905,6.931472,9.325987,0.0012307162,0.001463754,0.964304,0.8523067,-444.16245,-242.41342,5.576,Inf,5,"(abs((X1 / 5.634612)) ^ -0.2669397) [likelihood params: Float32[0.035081577]]"
