NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
-- NEO GP --
SEED=-1
MAX_LEN=20
POPSIZE=100
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,nll_train,avg_len,avg_fitness,size,expression
1,12188,-1170.088,-1137.5077,-1170.088,21.405012,11.175249,6.8,Inf,11),"sqrt(abs((0.006832397 + (sqrt(abs(sqrt(abs(-109.9703)))) * (abs(3.9165206) ^ log(abs(X1))))))) RARLikelihood{Float32}"
2,23300,-1170.088,-1137.5077,-1170.088,21.405012,11.175249,6.61,Inf,11),"sqrt(abs((0.006832397 + (sqrt(abs(sqrt(abs(-109.9703)))) * (abs(3.9165206) ^ log(abs(X1))))))) RARLikelihood{Float32}"
3,37532,-1218.3936,-1201.0499,-1218.3936,9.704061,7.6395392,7.2,Inf,7),"(((abs(X1) ^ 0.20351483) + -0.32857904) + X1) RARLikelihood{Float32}"
4,48086,-1218.3936,-1201.0499,-1218.3936,9.704061,7.6395392,8.25,Inf,7),"(((abs(X1) ^ 0.20351483) + -0.32857904) + X1) RARLikelihood{Float32}"
5,64842,-1218.3936,-1201.0499,-1218.3936,9.704061,7.6395392,9.55,Inf,7),"(((abs(X1) ^ 0.20351483) + -0.32857904) + X1) RARLikelihood{Float32}"
6,81366,-1249.3751,-1209.7656,-1249.3751,28.56392,11.045577,8.72,Inf,13),"(((X1 - 0.056663893) * 1/(sqrt(abs(sqrt(abs(3.2290752)))))) + (abs(X1) ^ log(abs(1.5615705)))) RARLikelihood{Float32}"
7,96078,-1257.2357,-1220.202,-1257.2357,28.56392,8.469755,8.59,Inf,13),"(((X1 - -0.016096087) * 1/(sqrt(abs(sqrt(abs(X1)))))) + (abs(X1) ^ log(abs(2.0850568)))) RARLikelihood{Float32}"
8,109043,-1257.2357,-1220.202,-1257.2357,28.56392,8.469755,8.35,Inf,13),"(((X1 - -0.016096087) * 1/(sqrt(abs(sqrt(abs(X1)))))) + (abs(X1) ^ log(abs(2.0850568)))) RARLikelihood{Float32}"
9,121459,-1396.3577,-1349.9366,-1396.3577,32.95837,13.462589,8.86,Inf,15),"((((X1 * -2.7946124) - 0.019952653) * 1/(sqrt(abs(sqrt(abs(X1)))))) + (abs(X1) ^ log(abs(2.2511764)))) RARLikelihood{Float32}"
10,134090,-1396.3577,-1349.9366,-1396.3577,32.95837,13.462589,10.26,Inf,15),"((((X1 * -2.7946124) - 0.019952653) * 1/(sqrt(abs(sqrt(abs(X1)))))) + (abs(X1) ^ log(abs(2.2511764)))) RARLikelihood{Float32}"
11,147525,-1530.1156,-1481.1145,-1530.1156,35.155594,13.845442,10.03,Inf,16),"(((X1 - 0.0013763123) * 1/(sqrt(abs((0.014162841 + (-1.7886819 * X1)))))) + (abs(X1) ^ log(abs(2.3766108)))) RARLikelihood{Float32}"
12,159110,-1530.1156,-1481.1145,-1530.1156,35.155594,13.845442,11.65,Inf,16),"(((X1 - 0.0013763123) * 1/(sqrt(abs((0.014162841 + (-1.7886819 * X1)))))) + (abs(X1) ^ log(abs(2.3766108)))) RARLikelihood{Float32}"
13,172455,-1530.1156,-1481.1145,-1530.1156,35.155594,13.845442,12.03,Inf,16),"(((X1 - 0.0013763123) * 1/(sqrt(abs((0.014162841 + (-1.7886819 * X1)))))) + (abs(X1) ^ log(abs(2.3766108)))) RARLikelihood{Float32}"
14,187610,-1538.4182,-1482.6826,-1538.4182,41.74727,13.98822,11.96,Inf,19),"(((X1 - 0.0038108646) * 1/(sqrt(abs((abs((sqrt(abs(30.177263)) * X1)) ^ 1.6808827))))) + (abs((-1.5945816 * X1)) ^ log(abs(2.2736604)))) RARLikelihood{Float32}"
15,198839,-1538.4182,-1482.6826,-1538.4182,41.74727,13.98822,11.41,Inf,19),"(((X1 - 0.0038108646) * 1/(sqrt(abs((abs((sqrt(abs(30.177263)) * X1)) ^ 1.6808827))))) + (abs((-1.5945816 * X1)) ^ log(abs(2.2736604)))) RARLikelihood{Float32}"
16,213393,-1538.4182,-1482.6826,-1538.4182,41.74727,13.98822,11.46,Inf,19),"(((X1 - 0.0038108646) * 1/(sqrt(abs((abs((sqrt(abs(30.177263)) * X1)) ^ 1.6808827))))) + (abs((-1.5945816 * X1)) ^ log(abs(2.2736604)))) RARLikelihood{Float32}"
17,233142,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.04,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
18,244601,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.69,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
19,257666,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.94,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
20,270168,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.41,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
21,287616,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.03,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
22,304431,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.66,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
23,321237,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.88,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
24,336958,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.8,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
25,349582,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.21,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
26,363077,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.68,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
27,377175,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.31,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
28,388568,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.42,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
29,407868,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,12.66,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
30,421401,-1538.4185,-1483.9078,-1538.4185,41.74727,12.763353,13.31,Inf,19),"(((X1 - 0.0038108418) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.3437924)) ^ 3.3617592))))) + (abs((-1.5945793 * X1)) ^ log(abs(2.2736611)))) RARLikelihood{Float32}"
31,434098,-1546.5829,-1491.1672,-1546.5829,39.509388,15.906226,14.5,Inf,19),"(((abs(X1) ^ 1.6122749) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394614)) ^ 6.1541967))))) + (abs((-1.8963598 * X1)) ^ log(abs(2.1465867)))) RARLikelihood{Float32}"
32,451876,-1546.5835,-1491.1678,-1546.5835,39.509388,15.906309,13.45,Inf,19),"(((abs(X1) ^ 1.6122748) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394614)) ^ 6.1541967))))) + (abs((-1.8963598 * X1)) ^ log(abs(2.1465864)))) RARLikelihood{Float32}"
33,469087,-1546.5835,-1491.1678,-1546.5835,39.509388,15.906309,13.72,Inf,19),"(((abs(X1) ^ 1.6122748) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394614)) ^ 6.1541967))))) + (abs((-1.8963598 * X1)) ^ log(abs(2.1465864)))) RARLikelihood{Float32}"
34,482999,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.15,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
35,503276,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.93,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
36,518865,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.06,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
37,537146,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.18,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
38,553126,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.74,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
39,570387,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.45,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
40,600957,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.39,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
41,620406,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.55,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
42,645663,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.82,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
43,666503,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.71,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
44,687042,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.87,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
45,703337,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.35,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
46,717781,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.27,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
47,730850,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,13.65,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
48,748023,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,12.78,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
49,763838,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.01,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
50,780239,-1546.5836,-1491.168,-1546.5836,39.509388,15.906209,14.14,Inf,19),"(((abs(X1) ^ 1.6122799) * 1/(sqrt(abs((abs((sqrt(abs(X1)) * -2.0394604)) ^ 6.1542234))))) + (abs((-1.896362 * X1)) ^ log(abs(2.146586)))) RARLikelihood{Float32}"
