NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,65982,-997.0266,-961.6968,-997.0266,17.513191,17.816677,6.55,Inf,9,"(abs((X1 + sqrt(abs((log(abs(-1.9292582)) * X1))))) ^ 0.9256688) RARMNRLikelihood{Float32} Float32[0.08096939, -0.50253415, 0.73992175]"
2,102778,-997.0266,-961.6968,-997.0266,17.513191,17.816677,5.6866665,Inf,9,"(abs((X1 + sqrt(abs((log(abs(-1.9292582)) * X1))))) ^ 0.9256688) RARMNRLikelihood{Float32} Float32[0.08096939, -0.50253415, 0.73992175]"
3,138788,-997.0266,-961.6968,-997.0266,17.513191,17.816677,6.05,Inf,9,"(abs((X1 + sqrt(abs((log(abs(-1.9292582)) * X1))))) ^ 0.9256688) RARMNRLikelihood{Float32} Float32[0.08096939, -0.50253415, 0.73992175]"
4,168141,-997.3994,3.4028235e38,-997.3994,50.536167,3.4028235e38,6.403333,Inf,23,"(4.6933174 + ((abs(((abs(X1) ^ 2.0413435) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.0093326485)) / log(abs(-0.80885255)))) RARMNRLikelihood{Float32} Float32[0.08052896, -0.4955526, 0.738191]"
5,203278,-999.542,3.4028235e38,-999.542,50.536167,3.4028235e38,6.74,Inf,23,"(5.353453 + ((abs(((abs(X1) ^ 2.643149) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.008264714)) / log(abs(-0.83062893)))) RARMNRLikelihood{Float32} Float32[0.08108317, -0.50249606, 0.74318796]"
6,237108,-999.666,3.4028235e38,-999.666,50.536167,3.4028235e38,7.1566668,Inf,23,"(5.353756 + ((abs(((abs(X1) ^ 2.643309) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.008277884)) / log(abs(-0.83064353)))) RARMNRLikelihood{Float32} Float32[0.080769666, -0.50252616, 0.7398979]"
7,273228,-999.666,3.4028235e38,-999.666,50.536167,3.4028235e38,7.4366665,Inf,23,"(5.353756 + ((abs(((abs(X1) ^ 2.643309) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.008277884)) / log(abs(-0.83064353)))) RARMNRLikelihood{Float32} Float32[0.080769666, -0.50252616, 0.7398979]"
8,319902,-999.666,3.4028235e38,-999.666,50.536167,3.4028235e38,8.626667,Inf,23,"(5.353756 + ((abs(((abs(X1) ^ 2.643309) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.008277884)) / log(abs(-0.83064353)))) RARMNRLikelihood{Float32} Float32[0.080769666, -0.50252616, 0.7398979]"
9,364713,-999.666,3.4028235e38,-999.666,50.536167,3.4028235e38,9.12,Inf,23,"(5.353756 + ((abs(((abs(X1) ^ 2.643309) / (-1.8670916e-15 / (X1 / ((X1 / 1.1943605e6) - 3.4395657))))) ^ (sqrt(abs(X1)) * 0.008277884)) / log(abs(-0.83064353)))) RARMNRLikelihood{Float32} Float32[0.080769666, -0.50252616, 0.7398979]"
10,409925,-1002.0691,-928.9288,-1002.0691,52.539574,20.600763,10.666667,Inf,27,"(((abs(((X1 + (X1 + X1)) - X1)) ^ 0.55862284) + ((abs((((abs(((X1 + X1) - X1)) ^ -3.2906423) + 109.792) / X1)) ^ -0.20248128) * X1)) / -1.0851886) RARMNRLikelihood{Float32} Float32[0.08059862, -0.50253195, 0.7399798]"
