-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10907,33449.023,33468.094,5.5451775,13.523633,4443.2275,3481.3694,0.4557768,0.49602902,33449.023,17105.682,5.63,Inf,4,"(abs(sqrt(abs(X6))) ^ 2.6128318) [likelihood params: Float32[18.0]]"
2,19421,33449.023,33468.094,5.5451775,13.523633,4443.2275,3481.3694,0.4557768,0.49602902,33449.023,17105.682,5.296,Inf,4,"(abs(sqrt(abs(X6))) ^ 2.6128318) [likelihood params: Float32[18.0]]"
3,28199,33449.023,33468.094,5.5451775,13.523633,4443.2275,3481.3694,0.4557768,0.49602902,33449.023,17105.682,5.214,Inf,4,"(abs(sqrt(abs(X6))) ^ 2.6128318) [likelihood params: Float32[18.0]]"
4,36226,33449.023,33468.094,5.5451775,13.523633,4443.2275,3481.3694,0.4557768,0.49602902,33449.023,17105.682,5.336,Inf,4,"(abs(sqrt(abs(X6))) ^ 2.6128318) [likelihood params: Float32[18.0]]"
5,45285,33449.023,33468.094,5.5451775,13.523633,4443.2275,3481.3694,0.4557768,0.49602902,33449.023,17105.682,5.956,Inf,4,"(abs(sqrt(abs(X6))) ^ 2.6128318) [likelihood params: Float32[18.0]]"
6,54812,33010.457,33043.363,17.513191,15.3960905,4352.6055,3334.342,0.46687657,0.517313,33010.457,16682.979,6.838,Inf,9,"sqrt(abs((((X25 - 2.1723732e7) / X6) + sqrt(abs(-1.401445e11))))) [likelihood params: Float32[18.0]]"
7,64779,32909.664,32970.86,45.747715,15.450131,4331.7783,3336.3833,0.46942747,0.51701754,32909.664,16688.848,7.444,Inf,22,"sqrt(abs((((((X6 + -65.43046) - 12.2566805) - ((-353.6928 + log(abs(log(abs(416749.16))))) + log(abs(log(abs(417304.66)))))) + -323.92963) * (X10 - -3543.689)))) [likelihood params: Float32[18.0]]"
8,75434,32909.664,32970.86,45.747715,15.450131,4331.7783,3336.3833,0.46942747,0.51701754,32909.664,16688.848,8.578,Inf,22,"sqrt(abs((((((X6 + -65.43046) - 12.2566805) - ((-353.6928 + log(abs(log(abs(416749.16))))) + log(abs(log(abs(417304.66)))))) + -323.92963) * (X10 - -3543.689)))) [likelihood params: Float32[18.0]]"
9,86405,32799.707,32923.26,52.959457,70.59277,4309.0576,3094.2886,0.47221047,0.5520637,32799.707,15992.824,9.618,Inf,23,"((((exp(-355.40613) - (X6 + (log(abs(log(abs(2.6304538e9)))) + -56.007053))) * 0.0055803377) * ((-3057.2148 + (17.460377 * X12)) - 86.131134)) * sqrt(abs(X20))) [likelihood params: Float32[18.0]]"
10,98041,32732.191,32854.566,52.959457,69.41283,4295.1064,3080.6091,0.4739192,0.554044,32732.191,15953.497,11.178,Inf,23,"((((exp(-355.40613) - (X6 + (log(abs(log(abs(2.630453e9)))) + -55.896248))) * 0.0055472995) * ((-3057.4976 + (17.458368 * X12)) - 86.41392)) * sqrt(abs(X20))) [likelihood params: Float32[18.0]]"
