-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10613,33857.953,33875.996,4527.7256,3574.5442,0.44542718,0.4825408,33857.953,17373.559,5.962,Inf,5,"((-2093.835 / X8) + 529.6423) [likelihood params: Float32[]]"
2,19115,33857.953,33875.996,4527.7256,3574.5442,0.44542718,0.4825408,33857.953,17373.559,5.942,Inf,5,"((-2093.835 / X8) + 529.6423) [likelihood params: Float32[]]"
3,27190,33857.95,33875.992,4527.725,3574.5496,0.44542718,0.48254,33857.95,17373.574,6.14,Inf,5,"((-2093.849 / X8) + 529.6436) [likelihood params: Float32[]]"
4,35664,33857.95,33875.992,4527.725,3574.5496,0.44542718,0.48254,33857.95,17373.574,6.228,Inf,5,"((-2093.849 / X8) + 529.6436) [likelihood params: Float32[]]"
5,44901,33070.457,33087.39,4365.0034,3382.2598,0.46535802,0.51037633,33070.457,16820.742,6.34,Inf,5,"(-163.2239 + (X6 * 5.8022437)) [likelihood params: Float32[]]"
6,54781,33070.457,33087.39,4365.0034,3382.2598,0.46535802,0.51037633,33070.457,16820.742,7.072,Inf,5,"(-163.2239 + (X6 * 5.8022437)) [likelihood params: Float32[]]"
7,64833,32898.445,33075.13,4329.46,3419.2463,0.46971148,0.50502205,32898.445,16927.078,7.618,Inf,38,"(sqrt(abs(-7.142615e7)) - ((((sqrt(abs(((((-203.18747 - X23) * -0.0014960117) * (0.8031164 * X6)) + (-43.18853 + log(abs(1.1603208e9)))))) / (((1.6618439e6 + X6) / X8) / -6.7482765e6)) + -102570.76) + sqrt(abs((log(abs((1.5255918e8 + -1.2899868e7))) * 6.528814e8)))) + X13)) [likelihood params: Float32[]]"
8,75510,32898.246,33066.156,4329.4185,3419.4026,0.4697165,0.50499946,32898.246,16927.527,8.346,Inf,38,"(sqrt(abs(-7.142615e7)) - ((((sqrt(abs(((((-203.19127 - X23) * -0.001496033) * (0.8031278 * X6)) + (-43.188114 + log(abs(1.1603208e9)))))) / (((1.6618445e6 + X6) / X8) / -6.7482765e6)) + -102570.76) + sqrt(abs((log(abs((1.5255918e8 + -1.2899868e7))) * 6.528814e8)))) + X13)) [likelihood params: Float32[]]"
9,85763,32245.879,32429.783,4194.6187,3288.3452,0.48622733,0.5239717,32245.879,16550.738,9.28,Inf,40,"(sqrt(abs(-7.147047e7)) - ((((sqrt(abs(((((-63.027554 - X23) * -0.001463909) * (0.78583443 * X6)) + (-31.913202 + log(abs(1.1603208e9)))))) / (((2.0884196e6 + X6) / X8) / -6.6321525e6)) + -102648.41) + sqrt(abs((log(abs((1.5254309e8 + (-135372.2 * X6)))) * 6.52818e8)))) + X13)) [likelihood params: Float32[]]"
10,97055,31857.547,31899.008,4114.3765,3245.236,0.49605572,0.53021216,31857.547,16426.799,10.256,Inf,13,"((-610.52167 / X8) + (((-88.915474 - X23) * -0.006856789) * (3.6810029 * X6))) [likelihood params: Float32[]]"
